Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2017-08-02,1,33,µg/mc
"Parco S. Chiara",PM10,2017-08-02,2,36,µg/mc
"Parco S. Chiara",PM10,2017-08-02,3,36,µg/mc
"Parco S. Chiara",PM10,2017-08-02,4,35,µg/mc
"Parco S. Chiara",PM10,2017-08-02,5,35,µg/mc
"Parco S. Chiara",PM10,2017-08-02,6,36,µg/mc
"Parco S. Chiara",PM10,2017-08-02,7,33,µg/mc
"Parco S. Chiara",PM10,2017-08-02,8,30,µg/mc
"Parco S. Chiara",PM10,2017-08-02,9,29,µg/mc
"Parco S. Chiara",PM10,2017-08-02,10,26,µg/mc
"Parco S. Chiara",PM10,2017-08-02,11,19,µg/mc
"Parco S. Chiara",PM10,2017-08-02,12,14,µg/mc
"Parco S. Chiara",PM10,2017-08-02,13,11,µg/mc
"Parco S. Chiara",PM10,2017-08-02,14,11,µg/mc
"Parco S. Chiara",PM10,2017-08-02,15,13,µg/mc
"Parco S. Chiara",PM10,2017-08-02,16,17,µg/mc
"Parco S. Chiara",PM10,2017-08-02,17,20,µg/mc
"Parco S. Chiara",PM10,2017-08-02,18,26,µg/mc
"Parco S. Chiara",PM10,2017-08-02,19,30,µg/mc
"Parco S. Chiara",PM10,2017-08-02,20,34,µg/mc
"Parco S. Chiara",PM10,2017-08-02,21,38,µg/mc
"Parco S. Chiara",PM10,2017-08-02,22,40,µg/mc
"Parco S. Chiara",PM10,2017-08-02,23,40,µg/mc
"Parco S. Chiara",PM10,2017-08-02,24,41,µg/mc
"Parco S. Chiara",PM10,2017-08-03,1,36,µg/mc
"Parco S. Chiara",PM10,2017-08-03,2,41,µg/mc
"Parco S. Chiara",PM10,2017-08-03,3,38,µg/mc
"Parco S. Chiara",PM10,2017-08-03,4,35,µg/mc
"Parco S. Chiara",PM10,2017-08-03,5,37,µg/mc
"Parco S. Chiara",PM10,2017-08-03,6,37,µg/mc
"Parco S. Chiara",PM10,2017-08-03,7,36,µg/mc
"Parco S. Chiara",PM10,2017-08-03,8,31,µg/mc
"Parco S. Chiara",PM10,2017-08-03,12,15,µg/mc
"Parco S. Chiara",PM10,2017-08-03,13,14,µg/mc
"Parco S. Chiara",PM10,2017-08-03,14,16,µg/mc
"Parco S. Chiara",PM10,2017-08-03,15,20,µg/mc
"Parco S. Chiara",PM10,2017-08-03,16,19,µg/mc
"Parco S. Chiara",PM10,2017-08-03,17,21,µg/mc
"Parco S. Chiara",PM10,2017-08-03,18,27,µg/mc
"Parco S. Chiara",PM10,2017-08-03,19,31,µg/mc
"Parco S. Chiara",PM10,2017-08-03,20,33,µg/mc
"Parco S. Chiara",PM10,2017-08-03,21,31,µg/mc
"Parco S. Chiara",PM10,2017-08-03,22,32,µg/mc
"Parco S. Chiara",PM10,2017-08-03,23,34,µg/mc
"Parco S. Chiara",PM10,2017-08-03,24,37,µg/mc
"Parco S. Chiara",PM10,2017-08-04,1,36,µg/mc
"Parco S. Chiara",PM10,2017-08-04,2,36,µg/mc
"Parco S. Chiara",PM10,2017-08-04,3,37,µg/mc
"Parco S. Chiara",PM10,2017-08-04,4,38,µg/mc
"Parco S. Chiara",PM10,2017-08-04,5,38,µg/mc
"Parco S. Chiara",PM10,2017-08-04,6,39,µg/mc
"Parco S. Chiara",PM10,2017-08-04,7,39,µg/mc
"Parco S. Chiara",PM10,2017-08-04,8,36,µg/mc
"Parco S. Chiara",PM10,2017-08-04,9,34,µg/mc
"Parco S. Chiara",PM10,2017-08-04,10,31,µg/mc
"Parco S. Chiara",PM10,2017-08-04,11,25,µg/mc
"Parco S. Chiara",PM10,2017-08-04,12,21,µg/mc
"Parco S. Chiara",PM10,2017-08-04,13,19,µg/mc
"Parco S. Chiara",PM10,2017-08-04,14,20,µg/mc
"Parco S. Chiara",PM10,2017-08-04,15,23,µg/mc
"Parco S. Chiara",PM10,2017-08-04,16,29,µg/mc
"Parco S. Chiara",PM10,2017-08-04,17,32,µg/mc
"Parco S. Chiara",PM10,2017-08-04,18,29,µg/mc
"Parco S. Chiara",PM10,2017-08-04,19,29,µg/mc
"Parco S. Chiara",PM10,2017-08-04,20,32,µg/mc
"Parco S. Chiara",PM10,2017-08-04,21,37,µg/mc
"Parco S. Chiara",PM10,2017-08-04,22,40,µg/mc
"Parco S. Chiara",PM10,2017-08-04,23,45,µg/mc
"Parco S. Chiara",PM10,2017-08-04,24,41,µg/mc
"Parco S. Chiara",PM10,2017-08-05,1,41,µg/mc
"Parco S. Chiara",PM10,2017-08-05,2,43,µg/mc
"Parco S. Chiara",PM10,2017-08-05,3,44,µg/mc
"Parco S. Chiara",PM10,2017-08-05,4,39,µg/mc
"Parco S. Chiara",PM10,2017-08-05,5,37,µg/mc
"Parco S. Chiara",PM10,2017-08-05,6,34,µg/mc
"Parco S. Chiara",PM10,2017-08-05,7,30,µg/mc
"Parco S. Chiara",PM10,2017-08-05,8,26,µg/mc
"Parco S. Chiara",PM10,2017-08-05,9,22,µg/mc
"Parco S. Chiara",PM10,2017-08-05,10,20,µg/mc
"Parco S. Chiara",PM10,2017-08-05,11,16,µg/mc
"Parco S. Chiara",PM10,2017-08-05,12,12,µg/mc
"Parco S. Chiara",PM10,2017-08-05,13,12,µg/mc
"Parco S. Chiara",PM10,2017-08-05,14,14,µg/mc
"Parco S. Chiara",PM10,2017-08-05,15,17,µg/mc
"Parco S. Chiara",PM10,2017-08-05,16,20,µg/mc
"Parco S. Chiara",PM10,2017-08-05,17,26,µg/mc
"Parco S. Chiara",PM10,2017-08-05,18,30,µg/mc
"Parco S. Chiara",PM10,2017-08-05,19,33,µg/mc
"Parco S. Chiara",PM10,2017-08-05,20,36,µg/mc
"Parco S. Chiara",PM10,2017-08-05,21,44,µg/mc
"Parco S. Chiara",PM10,2017-08-05,22,45,µg/mc
"Parco S. Chiara",PM10,2017-08-05,23,43,µg/mc
"Parco S. Chiara",PM10,2017-08-05,24,42,µg/mc
"Parco S. Chiara",PM10,2017-08-06,1,27,µg/mc
"Parco S. Chiara",PM10,2017-08-06,2,17,µg/mc
"Parco S. Chiara",PM10,2017-08-06,3,18,µg/mc
"Parco S. Chiara",PM10,2017-08-06,4,19,µg/mc
"Parco S. Chiara",PM10,2017-08-06,5,20,µg/mc
"Parco S. Chiara",PM10,2017-08-06,6,20,µg/mc
"Parco S. Chiara",PM10,2017-08-06,7,19,µg/mc
"Parco S. Chiara",PM10,2017-08-06,8,18,µg/mc
"Parco S. Chiara",PM10,2017-08-06,9,17,µg/mc
"Parco S. Chiara",PM10,2017-08-06,10,15,µg/mc
"Parco S. Chiara",PM10,2017-08-06,11,12,µg/mc
"Parco S. Chiara",PM10,2017-08-06,12,14,µg/mc
"Parco S. Chiara",PM10,2017-08-06,13,14,µg/mc
"Parco S. Chiara",PM10,2017-08-06,14,18,µg/mc
"Parco S. Chiara",PM10,2017-08-06,15,13,µg/mc
"Parco S. Chiara",PM10,2017-08-06,16,12,µg/mc
"Parco S. Chiara",PM10,2017-08-06,17,13,µg/mc
"Parco S. Chiara",PM10,2017-08-06,18,10,µg/mc
"Parco S. Chiara",PM10,2017-08-06,19,8,µg/mc
"Parco S. Chiara",PM10,2017-08-06,20,7,µg/mc
"Parco S. Chiara",PM10,2017-08-06,21,6,µg/mc
"Parco S. Chiara",PM10,2017-08-06,22,6,µg/mc
"Parco S. Chiara",PM10,2017-08-06,23,5,µg/mc
"Parco S. Chiara",PM10,2017-08-06,24,6,µg/mc
"Parco S. Chiara",PM10,2017-08-07,1,7,µg/mc
"Parco S. Chiara",PM10,2017-08-07,2,7,µg/mc
"Parco S. Chiara",PM10,2017-08-07,3,7,µg/mc
"Parco S. Chiara",PM10,2017-08-07,4,7,µg/mc
"Parco S. Chiara",PM10,2017-08-07,5,7,µg/mc
"Parco S. Chiara",PM10,2017-08-07,6,8,µg/mc
"Parco S. Chiara",PM10,2017-08-07,7,8,µg/mc
"Parco S. Chiara",PM10,2017-08-07,8,6,µg/mc
"Parco S. Chiara",PM10,2017-08-07,9,5,µg/mc
"Parco S. Chiara",PM10,2017-08-07,10,4,µg/mc
"Parco S. Chiara",PM10,2017-08-07,11,2,µg/mc
"Parco S. Chiara",PM10,2017-08-07,12,2,µg/mc
"Parco S. Chiara",PM10,2017-08-07,13,2,µg/mc
"Parco S. Chiara",PM10,2017-08-07,14,2,µg/mc
"Parco S. Chiara",PM10,2017-08-07,15,2,µg/mc
"Parco S. Chiara",PM10,2017-08-07,16,3,µg/mc
"Parco S. Chiara",PM10,2017-08-07,17,4,µg/mc
"Parco S. Chiara",PM10,2017-08-07,18,6,µg/mc
"Parco S. Chiara",PM10,2017-08-07,19,7,µg/mc
"Parco S. Chiara",PM10,2017-08-07,20,8,µg/mc
"Parco S. Chiara",PM10,2017-08-07,21,10,µg/mc
"Parco S. Chiara",PM10,2017-08-07,22,10,µg/mc
"Parco S. Chiara",PM10,2017-08-07,23,10,µg/mc
"Parco S. Chiara",PM10,2017-08-07,24,10,µg/mc
"Parco S. Chiara",PM10,2017-08-08,1,10,µg/mc
"Parco S. Chiara",PM10,2017-08-08,2,10,µg/mc
"Parco S. Chiara",PM10,2017-08-08,3,11,µg/mc
"Parco S. Chiara",PM10,2017-08-08,4,11,µg/mc
"Parco S. Chiara",PM10,2017-08-08,5,11,µg/mc
"Parco S. Chiara",PM10,2017-08-08,6,11,µg/mc
"Parco S. Chiara",PM10,2017-08-08,7,13,µg/mc
"Parco S. Chiara",PM10,2017-08-08,8,15,µg/mc
"Parco S. Chiara",PM10,2017-08-08,9,11,µg/mc
"Parco S. Chiara",PM10,2017-08-08,10,9,µg/mc
"Parco S. Chiara",PM10,2017-08-08,11,8,µg/mc
"Parco S. Chiara",PM10,2017-08-08,12,7,µg/mc
"Parco S. Chiara",PM10,2017-08-08,13,4,µg/mc
"Parco S. Chiara",PM10,2017-08-08,14,4,µg/mc
"Parco S. Chiara",PM10,2017-08-08,15,4,µg/mc
"Parco S. Chiara",PM10,2017-08-08,16,7,µg/mc
"Parco S. Chiara",PM10,2017-08-08,17,11,µg/mc
"Parco S. Chiara",PM10,2017-08-08,18,13,µg/mc
"Parco S. Chiara",PM10,2017-08-08,19,17,µg/mc
"Parco S. Chiara",PM10,2017-08-08,20,20,µg/mc
"Parco S. Chiara",PM10,2017-08-08,21,22,µg/mc
"Parco S. Chiara",PM10,2017-08-08,22,22,µg/mc
"Parco S. Chiara",PM10,2017-08-08,23,19,µg/mc
"Parco S. Chiara",PM10,2017-08-08,24,23,µg/mc
"Parco S. Chiara",PM10,2017-08-09,1,22,µg/mc
"Parco S. Chiara",PM10,2017-08-09,2,23,µg/mc
"Parco S. Chiara",PM10,2017-08-09,3,21,µg/mc
"Parco S. Chiara",PM10,2017-08-09,4,15,µg/mc
"Parco S. Chiara",PM10,2017-08-09,5,15,µg/mc
"Parco S. Chiara",PM10,2017-08-09,6,16,µg/mc
"Parco S. Chiara",PM10,2017-08-09,7,16,µg/mc
"Parco S. Chiara",PM10,2017-08-09,8,15,µg/mc
"Parco S. Chiara",PM10,2017-08-09,9,13,µg/mc
"Parco S. Chiara",PM10,2017-08-09,10,12,µg/mc
"Parco S. Chiara",PM10,2017-08-09,11,10,µg/mc
"Parco S. Chiara",PM10,2017-08-09,12,8,µg/mc
"Parco S. Chiara",PM10,2017-08-09,13,5,µg/mc
"Parco S. Chiara",PM10,2017-08-09,14,4,µg/mc
"Parco S. Chiara",PM10,2017-08-09,15,7,µg/mc
"Parco S. Chiara",PM10,2017-08-09,16,16,µg/mc
"Parco S. Chiara",PM10,2017-08-09,17,20,µg/mc
"Parco S. Chiara",PM10,2017-08-09,18,27,µg/mc
"Parco S. Chiara",PM10,2017-08-09,19,34,µg/mc
