Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2012-12-26,1,52,µg/mc
"Parco S. Chiara",PM10,2012-12-26,2,58,µg/mc
"Parco S. Chiara",PM10,2012-12-26,3,63,µg/mc
"Parco S. Chiara",PM10,2012-12-26,4,60,µg/mc
"Parco S. Chiara",PM10,2012-12-26,5,62,µg/mc
"Parco S. Chiara",PM10,2012-12-26,6,60,µg/mc
"Parco S. Chiara",PM10,2012-12-26,7,58,µg/mc
"Parco S. Chiara",PM10,2012-12-26,8,57,µg/mc
"Parco S. Chiara",PM10,2012-12-26,9,56,µg/mc
"Parco S. Chiara",PM10,2012-12-26,10,57,µg/mc
"Parco S. Chiara",PM10,2012-12-26,11,58,µg/mc
"Parco S. Chiara",PM10,2012-12-26,12,52,µg/mc
"Parco S. Chiara",PM10,2012-12-26,13,54,µg/mc
"Parco S. Chiara",PM10,2012-12-26,14,51,µg/mc
"Parco S. Chiara",PM10,2012-12-26,15,47,µg/mc
"Parco S. Chiara",PM10,2012-12-26,16,46,µg/mc
"Parco S. Chiara",PM10,2012-12-26,17,44,µg/mc
"Parco S. Chiara",PM10,2012-12-26,18,43,µg/mc
"Parco S. Chiara",PM10,2012-12-26,19,36,µg/mc
"Parco S. Chiara",PM10,2012-12-26,20,31,µg/mc
"Parco S. Chiara",PM10,2012-12-26,21,28,µg/mc
"Parco S. Chiara",PM10,2012-12-26,22,25,µg/mc
"Parco S. Chiara",PM10,2012-12-26,23,24,µg/mc
"Parco S. Chiara",PM10,2012-12-26,24,25,µg/mc
"Parco S. Chiara",PM10,2012-12-27,1,23,µg/mc
"Parco S. Chiara",PM10,2012-12-27,2,18,µg/mc
"Parco S. Chiara",PM10,2012-12-27,3,14,µg/mc
"Parco S. Chiara",PM10,2012-12-27,4,12,µg/mc
"Parco S. Chiara",PM10,2012-12-27,5,11,µg/mc
"Parco S. Chiara",PM10,2012-12-27,6,9,µg/mc
"Parco S. Chiara",PM10,2012-12-27,7,11,µg/mc
"Parco S. Chiara",PM10,2012-12-27,8,11,µg/mc
"Parco S. Chiara",PM10,2012-12-27,9,14,µg/mc
"Parco S. Chiara",PM10,2012-12-27,10,18,µg/mc
"Parco S. Chiara",PM10,2012-12-27,11,19,µg/mc
"Parco S. Chiara",PM10,2012-12-27,12,19,µg/mc
"Parco S. Chiara",PM10,2012-12-27,13,17,µg/mc
"Parco S. Chiara",PM10,2012-12-27,14,20,µg/mc
"Parco S. Chiara",PM10,2012-12-27,15,17,µg/mc
"Parco S. Chiara",PM10,2012-12-27,16,26,µg/mc
"Parco S. Chiara",PM10,2012-12-27,17,31,µg/mc
"Parco S. Chiara",PM10,2012-12-27,18,32,µg/mc
"Parco S. Chiara",PM10,2012-12-27,19,31,µg/mc
"Parco S. Chiara",PM10,2012-12-27,20,31,µg/mc
"Parco S. Chiara",PM10,2012-12-27,21,27,µg/mc
"Parco S. Chiara",PM10,2012-12-27,22,36,µg/mc
"Parco S. Chiara",PM10,2012-12-27,23,34,µg/mc
"Parco S. Chiara",PM10,2012-12-27,24,20,µg/mc
"Parco S. Chiara",PM10,2012-12-28,1,19,µg/mc
"Parco S. Chiara",PM10,2012-12-28,2,19,µg/mc
"Parco S. Chiara",PM10,2012-12-28,3,18,µg/mc
"Parco S. Chiara",PM10,2012-12-28,4,16,µg/mc
"Parco S. Chiara",PM10,2012-12-28,5,16,µg/mc
"Parco S. Chiara",PM10,2012-12-28,6,16,µg/mc
"Parco S. Chiara",PM10,2012-12-28,7,17,µg/mc
"Parco S. Chiara",PM10,2012-12-28,8,19,µg/mc
"Parco S. Chiara",PM10,2012-12-28,9,23,µg/mc
"Parco S. Chiara",PM10,2012-12-28,10,29,µg/mc
"Parco S. Chiara",PM10,2012-12-28,11,24,µg/mc
"Parco S. Chiara",PM10,2012-12-28,12,18,µg/mc
"Parco S. Chiara",PM10,2012-12-28,13,12,µg/mc
"Parco S. Chiara",PM10,2012-12-28,14,6,µg/mc
"Parco S. Chiara",PM10,2012-12-28,15,3,µg/mc
"Parco S. Chiara",PM10,2012-12-28,16,3,µg/mc
"Parco S. Chiara",PM10,2012-12-28,17,5,µg/mc
"Parco S. Chiara",PM10,2012-12-28,18,11,µg/mc
"Parco S. Chiara",PM10,2012-12-28,19,17,µg/mc
"Parco S. Chiara",PM10,2012-12-28,20,19,µg/mc
"Parco S. Chiara",PM10,2012-12-28,21,17,µg/mc
"Parco S. Chiara",PM10,2012-12-28,22,15,µg/mc
