Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2014-08-18,1,12,µg/mc
"Parco S. Chiara",PM10,2014-08-18,2,13,µg/mc
"Parco S. Chiara",PM10,2014-08-18,3,13,µg/mc
"Parco S. Chiara",PM10,2014-08-18,4,13,µg/mc
"Parco S. Chiara",PM10,2014-08-18,5,12,µg/mc
"Parco S. Chiara",PM10,2014-08-18,6,13,µg/mc
"Parco S. Chiara",PM10,2014-08-18,7,12,µg/mc
"Parco S. Chiara",PM10,2014-08-18,8,13,µg/mc
"Parco S. Chiara",PM10,2014-08-18,9,14,µg/mc
"Parco S. Chiara",PM10,2014-08-18,10,12,µg/mc
"Parco S. Chiara",PM10,2014-08-18,11,11,µg/mc
"Parco S. Chiara",PM10,2014-08-18,12,9,µg/mc
"Parco S. Chiara",PM10,2014-08-18,13,8,µg/mc
"Parco S. Chiara",PM10,2014-08-18,14,8,µg/mc
"Parco S. Chiara",PM10,2014-08-18,15,9,µg/mc
"Parco S. Chiara",PM10,2014-08-18,16,9,µg/mc
"Parco S. Chiara",PM10,2014-08-18,17,8,µg/mc
"Parco S. Chiara",PM10,2014-08-18,18,8,µg/mc
"Parco S. Chiara",PM10,2014-08-18,19,10,µg/mc
"Parco S. Chiara",PM10,2014-08-18,20,13,µg/mc
"Parco S. Chiara",PM10,2014-08-18,21,17,µg/mc
"Parco S. Chiara",PM10,2014-08-18,22,19,µg/mc
"Parco S. Chiara",PM10,2014-08-18,23,19,µg/mc
"Parco S. Chiara",PM10,2014-08-18,24,20,µg/mc
"Parco S. Chiara",PM10,2014-08-19,1,20,µg/mc
"Parco S. Chiara",PM10,2014-08-19,2,20,µg/mc
"Parco S. Chiara",PM10,2014-08-19,3,20,µg/mc
"Parco S. Chiara",PM10,2014-08-19,4,20,µg/mc
"Parco S. Chiara",PM10,2014-08-19,5,20,µg/mc
"Parco S. Chiara",PM10,2014-08-19,6,19,µg/mc
"Parco S. Chiara",PM10,2014-08-19,7,18,µg/mc
"Parco S. Chiara",PM10,2014-08-19,8,19,µg/mc
"Parco S. Chiara",PM10,2014-08-19,9,24,µg/mc
"Parco S. Chiara",PM10,2014-08-19,10,26,µg/mc
"Parco S. Chiara",PM10,2014-08-19,11,26,µg/mc
"Parco S. Chiara",PM10,2014-08-19,12,24,µg/mc
"Parco S. Chiara",PM10,2014-08-19,13,24,µg/mc
"Parco S. Chiara",PM10,2014-08-19,14,20,µg/mc
"Parco S. Chiara",PM10,2014-08-19,15,18,µg/mc
"Parco S. Chiara",PM10,2014-08-19,16,14,µg/mc
"Parco S. Chiara",PM10,2014-08-19,17,10,µg/mc
"Parco S. Chiara",PM10,2014-08-19,18,8,µg/mc
"Parco S. Chiara",PM10,2014-08-19,19,9,µg/mc
"Parco S. Chiara",PM10,2014-08-19,20,9,µg/mc
"Parco S. Chiara",PM10,2014-08-19,21,14,µg/mc
"Parco S. Chiara",PM10,2014-08-19,22,13,µg/mc
"Parco S. Chiara",PM10,2014-08-19,23,14,µg/mc
"Parco S. Chiara",PM10,2014-08-19,24,14,µg/mc
"Parco S. Chiara",PM10,2014-08-20,1,13,µg/mc
"Parco S. Chiara",PM10,2014-08-20,2,12,µg/mc
"Parco S. Chiara",PM10,2014-08-20,3,13,µg/mc
"Parco S. Chiara",PM10,2014-08-20,4,14,µg/mc
"Parco S. Chiara",PM10,2014-08-20,5,14,µg/mc
"Parco S. Chiara",PM10,2014-08-20,6,14,µg/mc
"Parco S. Chiara",PM10,2014-08-20,7,15,µg/mc
"Parco S. Chiara",PM10,2014-08-20,8,14,µg/mc
"Parco S. Chiara",PM10,2014-08-20,9,13,µg/mc
"Parco S. Chiara",PM10,2014-08-20,10,13,µg/mc
"Parco S. Chiara",PM10,2014-08-20,11,11,µg/mc
"Parco S. Chiara",PM10,2014-08-20,12,10,µg/mc
"Parco S. Chiara",PM10,2014-08-20,13,9,µg/mc
"Parco S. Chiara",PM10,2014-08-20,14,7,µg/mc
"Parco S. Chiara",PM10,2014-08-20,15,5,µg/mc
"Parco S. Chiara",PM10,2014-08-20,16,4,µg/mc
"Parco S. Chiara",PM10,2014-08-20,17,5,µg/mc
"Parco S. Chiara",PM10,2014-08-20,18,7,µg/mc
"Parco S. Chiara",PM10,2014-08-20,19,10,µg/mc
"Parco S. Chiara",PM10,2014-08-20,20,12,µg/mc
"Parco S. Chiara",PM10,2014-08-20,21,15,µg/mc
"Parco S. Chiara",PM10,2014-08-20,22,13,µg/mc
"Parco S. Chiara",PM10,2014-08-20,23,15,µg/mc
"Parco S. Chiara",PM10,2014-08-20,24,16,µg/mc
