Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2013-10-22,1,33,µg/mc
"Parco S. Chiara",PM10,2013-10-22,2,31,µg/mc
"Parco S. Chiara",PM10,2013-10-22,3,29,µg/mc
"Parco S. Chiara",PM10,2013-10-22,4,27,µg/mc
"Parco S. Chiara",PM10,2013-10-22,5,27,µg/mc
"Parco S. Chiara",PM10,2013-10-22,6,23,µg/mc
"Parco S. Chiara",PM10,2013-10-22,7,20,µg/mc
"Parco S. Chiara",PM10,2013-10-22,8,20,µg/mc
"Parco S. Chiara",PM10,2013-10-22,9,22,µg/mc
"Parco S. Chiara",PM10,2013-10-22,10,25,µg/mc
"Parco S. Chiara",PM10,2013-10-22,11,24,µg/mc
"Parco S. Chiara",PM10,2013-10-22,12,23,µg/mc
"Parco S. Chiara",PM10,2013-10-22,13,25,µg/mc
"Parco S. Chiara",PM10,2013-10-22,14,24,µg/mc
"Parco S. Chiara",PM10,2013-10-22,15,23,µg/mc
"Parco S. Chiara",PM10,2013-10-22,16,24,µg/mc
"Parco S. Chiara",PM10,2013-10-22,17,25,µg/mc
"Parco S. Chiara",PM10,2013-10-22,18,26,µg/mc
"Parco S. Chiara",PM10,2013-10-22,19,30,µg/mc
"Parco S. Chiara",PM10,2013-10-22,20,29,µg/mc
"Parco S. Chiara",PM10,2013-10-22,21,33,µg/mc
"Parco S. Chiara",PM10,2013-10-22,22,33,µg/mc
"Parco S. Chiara",PM10,2013-10-22,23,34,µg/mc
"Parco S. Chiara",PM10,2013-10-22,24,35,µg/mc
"Parco S. Chiara",PM10,2013-10-23,1,35,µg/mc
"Parco S. Chiara",PM10,2013-10-23,2,34,µg/mc
"Parco S. Chiara",PM10,2013-10-23,3,34,µg/mc
"Parco S. Chiara",PM10,2013-10-23,4,34,µg/mc
"Parco S. Chiara",PM10,2013-10-23,5,34,µg/mc
"Parco S. Chiara",PM10,2013-10-23,6,34,µg/mc
"Parco S. Chiara",PM10,2013-10-23,7,36,µg/mc
"Parco S. Chiara",PM10,2013-10-23,8,39,µg/mc
"Parco S. Chiara",PM10,2013-10-23,9,43,µg/mc
"Parco S. Chiara",PM10,2013-10-23,10,44,µg/mc
"Parco S. Chiara",PM10,2013-10-23,11,49,µg/mc
"Parco S. Chiara",PM10,2013-10-23,12,51,µg/mc
"Parco S. Chiara",PM10,2013-10-23,13,48,µg/mc
"Parco S. Chiara",PM10,2013-10-23,14,50,µg/mc
"Parco S. Chiara",PM10,2013-10-23,15,51,µg/mc
"Parco S. Chiara",PM10,2013-10-23,16,54,µg/mc
"Parco S. Chiara",PM10,2013-10-23,17,45,µg/mc
"Parco S. Chiara",PM10,2013-10-23,18,22,µg/mc
"Parco S. Chiara",PM10,2013-10-23,19,11,µg/mc
"Parco S. Chiara",PM10,2013-10-23,20,8,µg/mc
"Parco S. Chiara",PM10,2013-10-23,21,8,µg/mc
"Parco S. Chiara",PM10,2013-10-23,22,7,µg/mc
"Parco S. Chiara",PM10,2013-10-23,23,7,µg/mc
"Parco S. Chiara",PM10,2013-10-23,24,5,µg/mc
"Parco S. Chiara",PM10,2013-10-24,1,4,µg/mc
"Parco S. Chiara",PM10,2013-10-24,2,5,µg/mc
"Parco S. Chiara",PM10,2013-10-24,3,4,µg/mc
"Parco S. Chiara",PM10,2013-10-24,4,4,µg/mc
"Parco S. Chiara",PM10,2013-10-24,5,4,µg/mc
"Parco S. Chiara",PM10,2013-10-24,6,4,µg/mc
"Parco S. Chiara",PM10,2013-10-24,7,4,µg/mc
"Parco S. Chiara",PM10,2013-10-24,8,5,µg/mc
"Parco S. Chiara",PM10,2013-10-24,9,7,µg/mc
"Parco S. Chiara",PM10,2013-10-24,10,8,µg/mc
"Parco S. Chiara",PM10,2013-10-24,11,9,µg/mc
"Parco S. Chiara",PM10,2013-10-24,12,10,µg/mc
"Parco S. Chiara",PM10,2013-10-24,13,8,µg/mc
"Parco S. Chiara",PM10,2013-10-24,14,7,µg/mc
"Parco S. Chiara",PM10,2013-10-24,15,5,µg/mc
"Parco S. Chiara",PM10,2013-10-24,16,6,µg/mc
"Parco S. Chiara",PM10,2013-10-24,17,8,µg/mc
"Parco S. Chiara",PM10,2013-10-24,18,10,µg/mc
"Parco S. Chiara",PM10,2013-10-24,19,16,µg/mc
"Parco S. Chiara",PM10,2013-10-24,20,24,µg/mc
"Parco S. Chiara",PM10,2013-10-24,21,26,µg/mc
"Parco S. Chiara",PM10,2013-10-24,22,26,µg/mc
"Parco S. Chiara",PM10,2013-10-24,23,25,µg/mc
"Parco S. Chiara",PM10,2013-10-24,24,23,µg/mc
"Parco S. Chiara",PM10,2013-10-25,1,20,µg/mc
"Parco S. Chiara",PM10,2013-10-25,2,22,µg/mc
"Parco S. Chiara",PM10,2013-10-25,3,22,µg/mc
"Parco S. Chiara",PM10,2013-10-25,4,23,µg/mc
