Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2017-02-03,1,79,µg/mc
"Parco S. Chiara",PM10,2017-02-03,2,71,µg/mc
"Parco S. Chiara",PM10,2017-02-03,3,62,µg/mc
"Parco S. Chiara",PM10,2017-02-03,4,60,µg/mc
"Parco S. Chiara",PM10,2017-02-03,5,62,µg/mc
"Parco S. Chiara",PM10,2017-02-03,6,65,µg/mc
"Parco S. Chiara",PM10,2017-02-03,7,73,µg/mc
"Parco S. Chiara",PM10,2017-02-03,8,65,µg/mc
"Parco S. Chiara",PM10,2017-02-03,9,58,µg/mc
"Parco S. Chiara",PM10,2017-02-03,10,56,µg/mc
"Parco S. Chiara",PM10,2017-02-03,11,39,µg/mc
"Parco S. Chiara",PM10,2017-02-03,14,32,µg/mc
"Parco S. Chiara",PM10,2017-02-03,15,27,µg/mc
"Parco S. Chiara",PM10,2017-02-03,16,21,µg/mc
"Parco S. Chiara",PM10,2017-02-03,17,24,µg/mc
"Parco S. Chiara",PM10,2017-02-03,18,30,µg/mc
"Parco S. Chiara",PM10,2017-02-03,19,29,µg/mc
"Parco S. Chiara",PM10,2017-02-03,20,29,µg/mc
"Parco S. Chiara",PM10,2017-02-03,21,26,µg/mc
"Parco S. Chiara",PM10,2017-02-03,22,26,µg/mc
"Parco S. Chiara",PM10,2017-02-03,23,24,µg/mc
"Parco S. Chiara",PM10,2017-02-03,24,29,µg/mc
"Parco S. Chiara",PM10,2017-02-04,1,32,µg/mc
"Parco S. Chiara",PM10,2017-02-04,2,36,µg/mc
"Parco S. Chiara",PM10,2017-02-04,3,40,µg/mc
"Parco S. Chiara",PM10,2017-02-04,4,50,µg/mc
"Parco S. Chiara",PM10,2017-02-04,5,50,µg/mc
"Parco S. Chiara",PM10,2017-02-04,6,44,µg/mc
"Parco S. Chiara",PM10,2017-02-04,7,41,µg/mc
"Parco S. Chiara",PM10,2017-02-04,8,45,µg/mc
"Parco S. Chiara",PM10,2017-02-04,9,46,µg/mc
"Parco S. Chiara",PM10,2017-02-04,10,46,µg/mc
"Parco S. Chiara",PM10,2017-02-04,11,45,µg/mc
"Parco S. Chiara",PM10,2017-02-04,12,43,µg/mc
"Parco S. Chiara",PM10,2017-02-04,13,41,µg/mc
"Parco S. Chiara",PM10,2017-02-04,14,43,µg/mc
"Parco S. Chiara",PM10,2017-02-04,15,32,µg/mc
"Parco S. Chiara",PM10,2017-02-04,16,17,µg/mc
"Parco S. Chiara",PM10,2017-02-04,17,11,µg/mc
"Parco S. Chiara",PM10,2017-02-04,18,11,µg/mc
"Parco S. Chiara",PM10,2017-02-04,19,11,µg/mc
"Parco S. Chiara",PM10,2017-02-04,20,14,µg/mc
"Parco S. Chiara",PM10,2017-02-04,21,15,µg/mc
"Parco S. Chiara",PM10,2017-02-04,22,15,µg/mc
"Parco S. Chiara",PM10,2017-02-04,23,18,µg/mc
"Parco S. Chiara",PM10,2017-02-04,24,20,µg/mc
