Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2020-05-18,1,13,µg/mc
"Parco S. Chiara",PM10,2020-05-18,2,13,µg/mc
"Parco S. Chiara",PM10,2020-05-18,3,13,µg/mc
"Parco S. Chiara",PM10,2020-05-18,4,13,µg/mc
"Parco S. Chiara",PM10,2020-05-18,5,13,µg/mc
"Parco S. Chiara",PM10,2020-05-18,6,13,µg/mc
"Parco S. Chiara",PM10,2020-05-18,7,13,µg/mc
"Parco S. Chiara",PM10,2020-05-18,8,12,µg/mc
"Parco S. Chiara",PM10,2020-05-18,9,10,µg/mc
"Parco S. Chiara",PM10,2020-05-18,10,10,µg/mc
"Parco S. Chiara",PM10,2020-05-18,11,9,µg/mc
"Parco S. Chiara",PM10,2020-05-18,12,8,µg/mc
"Parco S. Chiara",PM10,2020-05-18,13,8,µg/mc
"Parco S. Chiara",PM10,2020-05-18,14,9,µg/mc
"Parco S. Chiara",PM10,2020-05-18,15,10,µg/mc
"Parco S. Chiara",PM10,2020-05-18,16,11,µg/mc
"Parco S. Chiara",PM10,2020-05-18,17,14,µg/mc
"Parco S. Chiara",PM10,2020-05-18,18,17,µg/mc
"Parco S. Chiara",PM10,2020-05-18,19,20,µg/mc
"Parco S. Chiara",PM10,2020-05-18,20,21,µg/mc
"Parco S. Chiara",PM10,2020-05-18,21,22,µg/mc
"Parco S. Chiara",PM10,2020-05-18,22,24,µg/mc
"Parco S. Chiara",PM10,2020-05-18,23,25,µg/mc
"Parco S. Chiara",PM10,2020-05-18,24,23,µg/mc
"Parco S. Chiara",PM10,2020-05-19,1,19,µg/mc
"Parco S. Chiara",PM10,2020-05-19,2,17,µg/mc
"Parco S. Chiara",PM10,2020-05-19,3,17,µg/mc
"Parco S. Chiara",PM10,2020-05-19,4,16,µg/mc
"Parco S. Chiara",PM10,2020-05-19,5,16,µg/mc
"Parco S. Chiara",PM10,2020-05-19,6,16,µg/mc
"Parco S. Chiara",PM10,2020-05-19,7,15,µg/mc
"Parco S. Chiara",PM10,2020-05-19,8,15,µg/mc
"Parco S. Chiara",PM10,2020-05-19,9,15,µg/mc
"Parco S. Chiara",PM10,2020-05-19,10,14,µg/mc
"Parco S. Chiara",PM10,2020-05-19,11,14,µg/mc
"Parco S. Chiara",PM10,2020-05-19,12,13,µg/mc
"Parco S. Chiara",PM10,2020-05-19,13,15,µg/mc
"Parco S. Chiara",PM10,2020-05-19,14,21,µg/mc
"Parco S. Chiara",PM10,2020-05-19,15,23,µg/mc
"Parco S. Chiara",PM10,2020-05-19,16,24,µg/mc
"Parco S. Chiara",PM10,2020-05-19,17,22,µg/mc
"Parco S. Chiara",PM10,2020-05-19,18,19,µg/mc
"Parco S. Chiara",PM10,2020-05-19,19,20,µg/mc
"Parco S. Chiara",PM10,2020-05-19,20,17,µg/mc
"Parco S. Chiara",PM10,2020-05-19,21,17,µg/mc
"Parco S. Chiara",PM10,2020-05-19,22,18,µg/mc
"Parco S. Chiara",PM10,2020-05-19,23,18,µg/mc
"Parco S. Chiara",PM10,2020-05-19,24,18,µg/mc
"Parco S. Chiara",PM10,2020-05-20,1,17,µg/mc
