Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2014-02-19,1,20,µg/mc
"Parco S. Chiara",PM10,2014-02-19,2,21,µg/mc
"Parco S. Chiara",PM10,2014-02-19,3,19,µg/mc
"Parco S. Chiara",PM10,2014-02-19,4,18,µg/mc
"Parco S. Chiara",PM10,2014-02-19,5,18,µg/mc
"Parco S. Chiara",PM10,2014-02-19,6,16,µg/mc
"Parco S. Chiara",PM10,2014-02-19,7,14,µg/mc
"Parco S. Chiara",PM10,2014-02-19,8,15,µg/mc
"Parco S. Chiara",PM10,2014-02-19,9,15,µg/mc
"Parco S. Chiara",PM10,2014-02-19,10,15,µg/mc
"Parco S. Chiara",PM10,2014-02-19,11,15,µg/mc
"Parco S. Chiara",PM10,2014-02-19,12,15,µg/mc
"Parco S. Chiara",PM10,2014-02-19,13,12,µg/mc
"Parco S. Chiara",PM10,2014-02-19,14,12,µg/mc
"Parco S. Chiara",PM10,2014-02-19,15,12,µg/mc
"Parco S. Chiara",PM10,2014-02-19,17,12,µg/mc
"Parco S. Chiara",PM10,2014-02-19,18,18,µg/mc
"Parco S. Chiara",PM10,2014-02-19,19,19,µg/mc
"Parco S. Chiara",PM10,2014-02-19,20,22,µg/mc
"Parco S. Chiara",PM10,2014-02-19,21,18,µg/mc
"Parco S. Chiara",PM10,2014-02-19,22,17,µg/mc
"Parco S. Chiara",PM10,2014-02-19,23,15,µg/mc
"Parco S. Chiara",PM10,2014-02-19,24,16,µg/mc
"Parco S. Chiara",PM10,2014-02-20,1,16,µg/mc
"Parco S. Chiara",PM10,2014-02-20,2,10,µg/mc
"Parco S. Chiara",PM10,2014-02-20,3,18,µg/mc
"Parco S. Chiara",PM10,2014-02-20,4,18,µg/mc
"Parco S. Chiara",PM10,2014-02-20,5,13,µg/mc
"Parco S. Chiara",PM10,2014-02-20,6,12,µg/mc
"Parco S. Chiara",PM10,2014-02-20,7,11,µg/mc
"Parco S. Chiara",PM10,2014-02-20,8,10,µg/mc
"Parco S. Chiara",PM10,2014-02-20,9,12,µg/mc
"Parco S. Chiara",PM10,2014-02-20,10,12,µg/mc
"Parco S. Chiara",PM10,2014-02-20,11,14,µg/mc
"Parco S. Chiara",PM10,2014-02-20,12,12,µg/mc
"Parco S. Chiara",PM10,2014-02-20,13,9,µg/mc
"Parco S. Chiara",PM10,2014-02-20,14,10,µg/mc
"Parco S. Chiara",PM10,2014-02-20,15,7,µg/mc
"Parco S. Chiara",PM10,2014-02-20,16,6,µg/mc
"Parco S. Chiara",PM10,2014-02-20,17,9,µg/mc
"Parco S. Chiara",PM10,2014-02-20,18,15,µg/mc
"Parco S. Chiara",PM10,2014-02-20,19,27,µg/mc
"Parco S. Chiara",PM10,2014-02-20,20,38,µg/mc
"Parco S. Chiara",PM10,2014-02-20,21,45,µg/mc
"Parco S. Chiara",PM10,2014-02-20,22,40,µg/mc
"Parco S. Chiara",PM10,2014-02-20,23,34,µg/mc
"Parco S. Chiara",PM10,2014-02-20,24,23,µg/mc
"Parco S. Chiara",PM10,2014-02-21,1,23,µg/mc
"Parco S. Chiara",PM10,2014-02-21,2,22,µg/mc
"Parco S. Chiara",PM10,2014-02-21,3,19,µg/mc
"Parco S. Chiara",PM10,2014-02-21,4,17,µg/mc
"Parco S. Chiara",PM10,2014-02-21,5,15,µg/mc
"Parco S. Chiara",PM10,2014-02-21,6,14,µg/mc
"Parco S. Chiara",PM10,2014-02-21,7,14,µg/mc
"Parco S. Chiara",PM10,2014-02-21,8,17,µg/mc
"Parco S. Chiara",PM10,2014-02-21,9,19,µg/mc
"Parco S. Chiara",PM10,2014-02-21,10,17,µg/mc
"Parco S. Chiara",PM10,2014-02-21,11,14,µg/mc
"Parco S. Chiara",PM10,2014-02-21,12,11,µg/mc
"Parco S. Chiara",PM10,2014-02-21,13,9,µg/mc
"Parco S. Chiara",PM10,2014-02-21,14,11,µg/mc
"Parco S. Chiara",PM10,2014-02-21,15,11,µg/mc
"Parco S. Chiara",PM10,2014-02-21,16,11,µg/mc
"Parco S. Chiara",PM10,2014-02-21,17,14,µg/mc
"Parco S. Chiara",PM10,2014-02-21,18,22,µg/mc
