Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2020-03-19,1,26,µg/mc
"Parco S. Chiara",PM10,2020-03-19,2,24,µg/mc
"Parco S. Chiara",PM10,2020-03-19,3,27,µg/mc
"Parco S. Chiara",PM10,2020-03-19,4,21,µg/mc
"Parco S. Chiara",PM10,2020-03-19,5,17,µg/mc
"Parco S. Chiara",PM10,2020-03-19,6,17,µg/mc
"Parco S. Chiara",PM10,2020-03-19,7,17,µg/mc
"Parco S. Chiara",PM10,2020-03-19,8,19,µg/mc
"Parco S. Chiara",PM10,2020-03-19,9,16,µg/mc
"Parco S. Chiara",PM10,2020-03-19,10,14,µg/mc
"Parco S. Chiara",PM10,2020-03-19,11,13,µg/mc
"Parco S. Chiara",PM10,2020-03-19,12,12,µg/mc
"Parco S. Chiara",PM10,2020-03-19,13,12,µg/mc
"Parco S. Chiara",PM10,2020-03-19,14,12,µg/mc
"Parco S. Chiara",PM10,2020-03-19,15,13,µg/mc
"Parco S. Chiara",PM10,2020-03-19,16,13,µg/mc
"Parco S. Chiara",PM10,2020-03-19,17,14,µg/mc
"Parco S. Chiara",PM10,2020-03-19,18,18,µg/mc
"Parco S. Chiara",PM10,2020-03-19,19,23,µg/mc
"Parco S. Chiara",PM10,2020-03-19,20,25,µg/mc
"Parco S. Chiara",PM10,2020-03-19,21,24,µg/mc
"Parco S. Chiara",PM10,2020-03-19,22,23,µg/mc
"Parco S. Chiara",PM10,2020-03-19,23,24,µg/mc
"Parco S. Chiara",PM10,2020-03-19,24,25,µg/mc
"Parco S. Chiara",PM10,2020-03-20,1,25,µg/mc
"Parco S. Chiara",PM10,2020-03-20,2,24,µg/mc
"Parco S. Chiara",PM10,2020-03-20,3,24,µg/mc
"Parco S. Chiara",PM10,2020-03-20,4,23,µg/mc
"Parco S. Chiara",PM10,2020-03-20,5,22,µg/mc
"Parco S. Chiara",PM10,2020-03-20,6,21,µg/mc
"Parco S. Chiara",PM10,2020-03-20,7,21,µg/mc
"Parco S. Chiara",PM10,2020-03-20,8,21,µg/mc
"Parco S. Chiara",PM10,2020-03-20,9,20,µg/mc
"Parco S. Chiara",PM10,2020-03-20,10,19,µg/mc
"Parco S. Chiara",PM10,2020-03-20,11,17,µg/mc
"Parco S. Chiara",PM10,2020-03-20,12,15,µg/mc
"Parco S. Chiara",PM10,2020-03-20,13,15,µg/mc
