Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-07-23,1,35,µg/mc
"Parco S. Chiara",PM10,2019-07-23,2,36,µg/mc
"Parco S. Chiara",PM10,2019-07-23,3,37,µg/mc
"Parco S. Chiara",PM10,2019-07-23,4,38,µg/mc
"Parco S. Chiara",PM10,2019-07-23,5,37,µg/mc
"Parco S. Chiara",PM10,2019-07-23,6,37,µg/mc
"Parco S. Chiara",PM10,2019-07-23,7,38,µg/mc
"Parco S. Chiara",PM10,2019-07-23,8,33,µg/mc
"Parco S. Chiara",PM10,2019-07-23,9,26,µg/mc
"Parco S. Chiara",PM10,2019-07-23,10,22,µg/mc
"Parco S. Chiara",PM10,2019-07-23,11,18,µg/mc
"Parco S. Chiara",PM10,2019-07-23,12,16,µg/mc
"Parco S. Chiara",PM10,2019-07-23,13,13,µg/mc
"Parco S. Chiara",PM10,2019-07-23,14,13,µg/mc
"Parco S. Chiara",PM10,2019-07-23,15,14,µg/mc
"Parco S. Chiara",PM10,2019-07-23,16,13,µg/mc
"Parco S. Chiara",PM10,2019-07-23,17,16,µg/mc
"Parco S. Chiara",PM10,2019-07-23,18,22,µg/mc
"Parco S. Chiara",PM10,2019-07-23,19,26,µg/mc
"Parco S. Chiara",PM10,2019-07-23,20,31,µg/mc
"Parco S. Chiara",PM10,2019-07-23,21,38,µg/mc
"Parco S. Chiara",PM10,2019-07-23,22,44,µg/mc
"Parco S. Chiara",PM10,2019-07-23,23,43,µg/mc
"Parco S. Chiara",PM10,2019-07-23,24,40,µg/mc
"Parco S. Chiara",PM10,2019-07-24,1,41,µg/mc
"Parco S. Chiara",PM10,2019-07-24,2,40,µg/mc
"Parco S. Chiara",PM10,2019-07-24,3,43,µg/mc
"Parco S. Chiara",PM10,2019-07-24,4,40,µg/mc
"Parco S. Chiara",PM10,2019-07-24,5,36,µg/mc
"Parco S. Chiara",PM10,2019-07-24,6,34,µg/mc
"Parco S. Chiara",PM10,2019-07-24,7,35,µg/mc
"Parco S. Chiara",PM10,2019-07-24,8,40,µg/mc
"Parco S. Chiara",PM10,2019-07-24,9,42,µg/mc
"Parco S. Chiara",PM10,2019-07-24,10,37,µg/mc
"Parco S. Chiara",PM10,2019-07-24,11,30,µg/mc
"Parco S. Chiara",PM10,2019-07-24,12,25,µg/mc
"Parco S. Chiara",PM10,2019-07-24,13,22,µg/mc
"Parco S. Chiara",PM10,2019-07-24,14,19,µg/mc
"Parco S. Chiara",PM10,2019-07-24,15,17,µg/mc
"Parco S. Chiara",PM10,2019-07-24,16,17,µg/mc
"Parco S. Chiara",PM10,2019-07-24,17,22,µg/mc
"Parco S. Chiara",PM10,2019-07-24,18,28,µg/mc
"Parco S. Chiara",PM10,2019-07-24,19,34,µg/mc
"Parco S. Chiara",PM10,2019-07-24,20,39,µg/mc
"Parco S. Chiara",PM10,2019-07-24,21,45,µg/mc
"Parco S. Chiara",PM10,2019-07-24,22,41,µg/mc
"Parco S. Chiara",PM10,2019-07-24,23,36,µg/mc
"Parco S. Chiara",PM10,2019-07-24,24,39,µg/mc
"Parco S. Chiara",PM10,2019-07-25,1,39,µg/mc
"Parco S. Chiara",PM10,2019-07-25,2,40,µg/mc
"Parco S. Chiara",PM10,2019-07-25,3,37,µg/mc
"Parco S. Chiara",PM10,2019-07-25,4,34,µg/mc
"Parco S. Chiara",PM10,2019-07-25,5,35,µg/mc
"Parco S. Chiara",PM10,2019-07-25,6,36,µg/mc
"Parco S. Chiara",PM10,2019-07-25,7,34,µg/mc
"Parco S. Chiara",PM10,2019-07-25,8,40,µg/mc
"Parco S. Chiara",PM10,2019-07-25,9,42,µg/mc
"Parco S. Chiara",PM10,2019-07-25,10,42,µg/mc
"Parco S. Chiara",PM10,2019-07-25,11,39,µg/mc
"Parco S. Chiara",PM10,2019-07-25,12,31,µg/mc
"Parco S. Chiara",PM10,2019-07-25,13,25,µg/mc
"Parco S. Chiara",PM10,2019-07-25,14,20,µg/mc
"Parco S. Chiara",PM10,2019-07-25,15,17,µg/mc
"Parco S. Chiara",PM10,2019-07-25,16,17,µg/mc
"Parco S. Chiara",PM10,2019-07-25,17,21,µg/mc
"Parco S. Chiara",PM10,2019-07-25,18,26,µg/mc
"Parco S. Chiara",PM10,2019-07-25,19,28,µg/mc
"Parco S. Chiara",PM10,2019-07-25,20,31,µg/mc
"Parco S. Chiara",PM10,2019-07-25,21,22,µg/mc
"Parco S. Chiara",PM10,2019-07-25,22,15,µg/mc
"Parco S. Chiara",PM10,2019-07-25,23,17,µg/mc
"Parco S. Chiara",PM10,2019-07-25,24,15,µg/mc
"Parco S. Chiara",PM10,2019-07-26,1,12,µg/mc
"Parco S. Chiara",PM10,2019-07-26,2,12,µg/mc
"Parco S. Chiara",PM10,2019-07-26,3,14,µg/mc
"Parco S. Chiara",PM10,2019-07-26,4,15,µg/mc
"Parco S. Chiara",PM10,2019-07-26,5,15,µg/mc
"Parco S. Chiara",PM10,2019-07-26,6,16,µg/mc
"Parco S. Chiara",PM10,2019-07-26,7,15,µg/mc
"Parco S. Chiara",PM10,2019-07-26,8,15,µg/mc
"Parco S. Chiara",PM10,2019-07-26,9,15,µg/mc
"Parco S. Chiara",PM10,2019-07-26,10,13,µg/mc
"Parco S. Chiara",PM10,2019-07-26,11,12,µg/mc
"Parco S. Chiara",PM10,2019-07-26,12,10,µg/mc
"Parco S. Chiara",PM10,2019-07-26,13,8,µg/mc
"Parco S. Chiara",PM10,2019-07-26,14,8,µg/mc
"Parco S. Chiara",PM10,2019-07-26,15,8,µg/mc
"Parco S. Chiara",PM10,2019-07-26,16,11,µg/mc
"Parco S. Chiara",PM10,2019-07-26,17,16,µg/mc
"Parco S. Chiara",PM10,2019-07-26,18,12,µg/mc
"Parco S. Chiara",PM10,2019-07-26,19,24,µg/mc
"Parco S. Chiara",PM10,2019-07-26,20,22,µg/mc
"Parco S. Chiara",PM10,2019-07-26,21,16,µg/mc
