Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-05-24,1,23,µg/mc
"Parco S. Chiara",PM10,2019-05-24,2,24,µg/mc
"Parco S. Chiara",PM10,2019-05-24,3,21,µg/mc
"Parco S. Chiara",PM10,2019-05-24,4,17,µg/mc
"Parco S. Chiara",PM10,2019-05-24,5,15,µg/mc
"Parco S. Chiara",PM10,2019-05-24,6,14,µg/mc
"Parco S. Chiara",PM10,2019-05-24,7,13,µg/mc
"Parco S. Chiara",PM10,2019-05-24,8,11,µg/mc
"Parco S. Chiara",PM10,2019-05-24,9,10,µg/mc
"Parco S. Chiara",PM10,2019-05-24,10,8,µg/mc
"Parco S. Chiara",PM10,2019-05-24,11,7,µg/mc
"Parco S. Chiara",PM10,2019-05-24,12,10,µg/mc
"Parco S. Chiara",PM10,2019-05-24,13,14,µg/mc
"Parco S. Chiara",PM10,2019-05-24,14,24,µg/mc
"Parco S. Chiara",PM10,2019-05-24,15,26,µg/mc
"Parco S. Chiara",PM10,2019-05-24,16,19,µg/mc
"Parco S. Chiara",PM10,2019-05-24,17,18,µg/mc
"Parco S. Chiara",PM10,2019-05-24,18,25,µg/mc
"Parco S. Chiara",PM10,2019-05-24,19,33,µg/mc
"Parco S. Chiara",PM10,2019-05-24,20,37,µg/mc
"Parco S. Chiara",PM10,2019-05-24,21,45,µg/mc
"Parco S. Chiara",PM10,2019-05-24,22,37,µg/mc
"Parco S. Chiara",PM10,2019-05-24,23,30,µg/mc
"Parco S. Chiara",PM10,2019-05-24,24,27,µg/mc
"Parco S. Chiara",PM10,2019-05-25,1,23,µg/mc
"Parco S. Chiara",PM10,2019-05-25,2,22,µg/mc
"Parco S. Chiara",PM10,2019-05-25,3,21,µg/mc
"Parco S. Chiara",PM10,2019-05-25,4,21,µg/mc
"Parco S. Chiara",PM10,2019-05-25,5,23,µg/mc
"Parco S. Chiara",PM10,2019-05-25,6,28,µg/mc
"Parco S. Chiara",PM10,2019-05-25,7,30,µg/mc
