Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-11-20,1,14,µg/mc
"Parco S. Chiara",PM10,2019-11-20,2,14,µg/mc
"Parco S. Chiara",PM10,2019-11-20,3,14,µg/mc
"Parco S. Chiara",PM10,2019-11-20,4,15,µg/mc
"Parco S. Chiara",PM10,2019-11-20,5,14,µg/mc
"Parco S. Chiara",PM10,2019-11-20,6,14,µg/mc
"Parco S. Chiara",PM10,2019-11-20,7,14,µg/mc
"Parco S. Chiara",PM10,2019-11-20,8,15,µg/mc
"Parco S. Chiara",PM10,2019-11-20,9,15,µg/mc
"Parco S. Chiara",PM10,2019-11-20,10,14,µg/mc
"Parco S. Chiara",PM10,2019-11-20,11,15,µg/mc
"Parco S. Chiara",PM10,2019-11-20,12,12,µg/mc
"Parco S. Chiara",PM10,2019-11-20,13,11,µg/mc
"Parco S. Chiara",PM10,2019-11-20,14,10,µg/mc
"Parco S. Chiara",PM10,2019-11-20,15,10,µg/mc
"Parco S. Chiara",PM10,2019-11-20,16,10,µg/mc
"Parco S. Chiara",PM10,2019-11-20,17,13,µg/mc
"Parco S. Chiara",PM10,2019-11-20,18,20,µg/mc
"Parco S. Chiara",PM10,2019-11-20,19,26,µg/mc
"Parco S. Chiara",PM10,2019-11-20,20,25,µg/mc
"Parco S. Chiara",PM10,2019-11-20,21,26,µg/mc
"Parco S. Chiara",PM10,2019-11-20,22,23,µg/mc
"Parco S. Chiara",PM10,2019-11-20,23,23,µg/mc
"Parco S. Chiara",PM10,2019-11-20,24,20,µg/mc
"Parco S. Chiara",PM10,2019-11-21,1,19,µg/mc
"Parco S. Chiara",PM10,2019-11-21,2,20,µg/mc
"Parco S. Chiara",PM10,2019-11-21,3,20,µg/mc
"Parco S. Chiara",PM10,2019-11-21,4,18,µg/mc
"Parco S. Chiara",PM10,2019-11-21,5,18,µg/mc
"Parco S. Chiara",PM10,2019-11-21,6,18,µg/mc
"Parco S. Chiara",PM10,2019-11-21,7,17,µg/mc
"Parco S. Chiara",PM10,2019-11-21,8,17,µg/mc
"Parco S. Chiara",PM10,2019-11-21,9,18,µg/mc
"Parco S. Chiara",PM10,2019-11-21,10,19,µg/mc
"Parco S. Chiara",PM10,2019-11-21,11,18,µg/mc
"Parco S. Chiara",PM10,2019-11-21,12,18,µg/mc
"Parco S. Chiara",PM10,2019-11-21,13,18,µg/mc
"Parco S. Chiara",PM10,2019-11-21,14,17,µg/mc
