Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2013-06-24,1,17,µg/mc
"Parco S. Chiara",PM10,2013-06-24,2,10,µg/mc
"Parco S. Chiara",PM10,2013-06-24,3,10,µg/mc
"Parco S. Chiara",PM10,2013-06-24,4,8,µg/mc
"Parco S. Chiara",PM10,2013-06-24,5,7,µg/mc
"Parco S. Chiara",PM10,2013-06-24,6,6,µg/mc
"Parco S. Chiara",PM10,2013-06-24,7,6,µg/mc
"Parco S. Chiara",PM10,2013-06-24,8,6,µg/mc
"Parco S. Chiara",PM10,2013-06-24,9,6,µg/mc
"Parco S. Chiara",PM10,2013-06-24,10,6,µg/mc
"Parco S. Chiara",PM10,2013-06-24,11,6,µg/mc
"Parco S. Chiara",PM10,2013-06-24,12,6,µg/mc
"Parco S. Chiara",PM10,2013-06-24,13,5,µg/mc
"Parco S. Chiara",PM10,2013-06-24,14,4,µg/mc
"Parco S. Chiara",PM10,2013-06-24,15,4,µg/mc
"Parco S. Chiara",PM10,2013-06-24,16,4,µg/mc
"Parco S. Chiara",PM10,2013-06-24,17,5,µg/mc
"Parco S. Chiara",PM10,2013-06-24,18,5,µg/mc
"Parco S. Chiara",PM10,2013-06-24,19,4,µg/mc
"Parco S. Chiara",PM10,2013-06-24,20,4,µg/mc
"Parco S. Chiara",PM10,2013-06-24,21,5,µg/mc
"Parco S. Chiara",PM10,2013-06-24,22,5,µg/mc
"Parco S. Chiara",PM10,2013-06-24,23,6,µg/mc
"Parco S. Chiara",PM10,2013-06-24,24,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,1,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,2,8,µg/mc
"Parco S. Chiara",PM10,2013-06-25,3,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,4,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,5,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,6,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,7,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,8,6,µg/mc
"Parco S. Chiara",PM10,2013-06-25,9,5,µg/mc
"Parco S. Chiara",PM10,2013-06-25,10,5,µg/mc
"Parco S. Chiara",PM10,2013-06-25,11,4,µg/mc
"Parco S. Chiara",PM10,2013-06-25,12,3,µg/mc
"Parco S. Chiara",PM10,2013-06-25,13,3,µg/mc
"Parco S. Chiara",PM10,2013-06-25,14,3,µg/mc
"Parco S. Chiara",PM10,2013-06-25,15,4,µg/mc
"Parco S. Chiara",PM10,2013-06-25,16,5,µg/mc
"Parco S. Chiara",PM10,2013-06-25,17,6,µg/mc
"Parco S. Chiara",PM10,2013-06-25,18,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,19,7,µg/mc
"Parco S. Chiara",PM10,2013-06-25,20,6,µg/mc
"Parco S. Chiara",PM10,2013-06-25,21,5,µg/mc
"Parco S. Chiara",PM10,2013-06-25,22,5,µg/mc
"Parco S. Chiara",PM10,2013-06-25,23,6,µg/mc
