Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2021-07-12,1,16,µg/mc
"Parco S. Chiara",PM10,2021-07-12,2,16,µg/mc
"Parco S. Chiara",PM10,2021-07-12,3,14,µg/mc
"Parco S. Chiara",PM10,2021-07-12,4,14,µg/mc
"Parco S. Chiara",PM10,2021-07-12,5,14,µg/mc
"Parco S. Chiara",PM10,2021-07-12,6,14,µg/mc
"Parco S. Chiara",PM10,2021-07-12,7,14,µg/mc
"Parco S. Chiara",PM10,2021-07-12,8,12,µg/mc
"Parco S. Chiara",PM10,2021-07-12,9,11,µg/mc
"Parco S. Chiara",PM10,2021-07-12,10,10,µg/mc
"Parco S. Chiara",PM10,2021-07-12,11,8,µg/mc
"Parco S. Chiara",PM10,2021-07-12,12,9,µg/mc
"Parco S. Chiara",PM10,2021-07-12,13,10,µg/mc
"Parco S. Chiara",PM10,2021-07-12,14,13,µg/mc
"Parco S. Chiara",PM10,2021-07-12,15,14,µg/mc
"Parco S. Chiara",PM10,2021-07-12,16,14,µg/mc
"Parco S. Chiara",PM10,2021-07-12,17,16,µg/mc
"Parco S. Chiara",PM10,2021-07-12,18,21,µg/mc
"Parco S. Chiara",PM10,2021-07-12,19,24,µg/mc
"Parco S. Chiara",PM10,2021-07-12,20,28,µg/mc
"Parco S. Chiara",PM10,2021-07-12,21,30,µg/mc
"Parco S. Chiara",PM10,2021-07-12,22,32,µg/mc
"Parco S. Chiara",PM10,2021-07-12,23,32,µg/mc
"Parco S. Chiara",PM10,2021-07-12,24,27,µg/mc
"Parco S. Chiara",PM10,2021-07-13,1,25,µg/mc
"Parco S. Chiara",PM10,2021-07-13,2,26,µg/mc
"Parco S. Chiara",PM10,2021-07-13,3,26,µg/mc
"Parco S. Chiara",PM10,2021-07-13,4,26,µg/mc
"Parco S. Chiara",PM10,2021-07-13,5,27,µg/mc
"Parco S. Chiara",PM10,2021-07-13,6,27,µg/mc
"Parco S. Chiara",PM10,2021-07-13,7,27,µg/mc
"Parco S. Chiara",PM10,2021-07-13,8,22,µg/mc
"Parco S. Chiara",PM10,2021-07-13,9,20,µg/mc
"Parco S. Chiara",PM10,2021-07-13,10,15,µg/mc
"Parco S. Chiara",PM10,2021-07-13,11,14,µg/mc
"Parco S. Chiara",PM10,2021-07-13,12,14,µg/mc
"Parco S. Chiara",PM10,2021-07-13,13,16,µg/mc
"Parco S. Chiara",PM10,2021-07-13,14,25,µg/mc
"Parco S. Chiara",PM10,2021-07-13,15,23,µg/mc
"Parco S. Chiara",PM10,2021-07-13,16,14,µg/mc
"Parco S. Chiara",PM10,2021-07-13,17,16,µg/mc
"Parco S. Chiara",PM10,2021-07-13,18,14,µg/mc
"Parco S. Chiara",PM10,2021-07-13,19,14,µg/mc
"Parco S. Chiara",PM10,2021-07-13,20,11,µg/mc
"Parco S. Chiara",PM10,2021-07-13,21,11,µg/mc
"Parco S. Chiara",PM10,2021-07-13,22,9,µg/mc
"Parco S. Chiara",PM10,2021-07-13,23,8,µg/mc
"Parco S. Chiara",PM10,2021-07-13,24,9,µg/mc
"Parco S. Chiara",PM10,2021-07-14,1,10,µg/mc
"Parco S. Chiara",PM10,2021-07-14,2,10,µg/mc
"Parco S. Chiara",PM10,2021-07-14,3,9,µg/mc
"Parco S. Chiara",PM10,2021-07-14,4,8,µg/mc
"Parco S. Chiara",PM10,2021-07-14,5,9,µg/mc
"Parco S. Chiara",PM10,2021-07-14,6,9,µg/mc
"Parco S. Chiara",PM10,2021-07-14,7,9,µg/mc
"Parco S. Chiara",PM10,2021-07-14,8,9,µg/mc
"Parco S. Chiara",PM10,2021-07-14,9,8,µg/mc
"Parco S. Chiara",PM10,2021-07-14,10,8,µg/mc
"Parco S. Chiara",PM10,2021-07-14,11,8,µg/mc
"Parco S. Chiara",PM10,2021-07-14,12,9,µg/mc
"Parco S. Chiara",PM10,2021-07-14,13,8,µg/mc
"Parco S. Chiara",PM10,2021-07-14,14,7,µg/mc
"Parco S. Chiara",PM10,2021-07-14,15,6,µg/mc
"Parco S. Chiara",PM10,2021-07-14,16,6,µg/mc
"Parco S. Chiara",PM10,2021-07-14,17,4,µg/mc
"Parco S. Chiara",PM10,2021-07-14,18,4,µg/mc
"Parco S. Chiara",PM10,2021-07-14,19,5,µg/mc
"Parco S. Chiara",PM10,2021-07-14,20,6,µg/mc
"Parco S. Chiara",PM10,2021-07-14,21,8,µg/mc
"Parco S. Chiara",PM10,2021-07-14,22,8,µg/mc
