Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2021-03-14,1,15,µg/mc
"Parco S. Chiara",PM10,2021-03-14,2,13,µg/mc
"Parco S. Chiara",PM10,2021-03-14,3,12,µg/mc
"Parco S. Chiara",PM10,2021-03-14,4,26,µg/mc
"Parco S. Chiara",PM10,2021-03-14,5,22,µg/mc
"Parco S. Chiara",PM10,2021-03-14,6,42,µg/mc
"Parco S. Chiara",PM10,2021-03-14,7,23,µg/mc
"Parco S. Chiara",PM10,2021-03-14,8,30,µg/mc
"Parco S. Chiara",PM10,2021-03-14,9,8,µg/mc
"Parco S. Chiara",PM10,2021-03-14,10,5,µg/mc
"Parco S. Chiara",PM10,2021-03-14,11,4,µg/mc
"Parco S. Chiara",PM10,2021-03-14,12,3,µg/mc
"Parco S. Chiara",PM10,2021-03-14,13,1,µg/mc
"Parco S. Chiara",PM10,2021-03-14,14,0,µg/mc
"Parco S. Chiara",PM10,2021-03-14,15,0,µg/mc
"Parco S. Chiara",PM10,2021-03-14,16,0,µg/mc
"Parco S. Chiara",PM10,2021-03-14,17,1,µg/mc
"Parco S. Chiara",PM10,2021-03-14,18,0,µg/mc
"Parco S. Chiara",PM10,2021-03-14,19,0,µg/mc
"Parco S. Chiara",PM10,2021-03-14,20,0,µg/mc
"Parco S. Chiara",PM10,2021-03-14,21,3,µg/mc
"Parco S. Chiara",PM10,2021-03-14,22,4,µg/mc
"Parco S. Chiara",PM10,2021-03-14,23,5,µg/mc
"Parco S. Chiara",PM10,2021-03-14,24,6,µg/mc
"Parco S. Chiara",PM10,2021-03-15,1,8,µg/mc
"Parco S. Chiara",PM10,2021-03-15,2,12,µg/mc
"Parco S. Chiara",PM10,2021-03-15,3,13,µg/mc
"Parco S. Chiara",PM10,2021-03-15,4,12,µg/mc
"Parco S. Chiara",PM10,2021-03-15,5,11,µg/mc
"Parco S. Chiara",PM10,2021-03-15,6,10,µg/mc
"Parco S. Chiara",PM10,2021-03-15,7,10,µg/mc
"Parco S. Chiara",PM10,2021-03-15,8,12,µg/mc
"Parco S. Chiara",PM10,2021-03-15,9,12,µg/mc
"Parco S. Chiara",PM10,2021-03-15,10,13,µg/mc
"Parco S. Chiara",PM10,2021-03-15,11,6,µg/mc
"Parco S. Chiara",PM10,2021-03-15,12,4,µg/mc
"Parco S. Chiara",PM10,2021-03-15,13,3,µg/mc
"Parco S. Chiara",PM10,2021-03-15,14,3,µg/mc
"Parco S. Chiara",PM10,2021-03-15,15,4,µg/mc
"Parco S. Chiara",PM10,2021-03-15,16,5,µg/mc
"Parco S. Chiara",PM10,2021-03-15,17,6,µg/mc
"Parco S. Chiara",PM10,2021-03-15,18,7,µg/mc
"Parco S. Chiara",PM10,2021-03-15,19,8,µg/mc
"Parco S. Chiara",PM10,2021-03-15,20,11,µg/mc
"Parco S. Chiara",PM10,2021-03-15,21,13,µg/mc
"Parco S. Chiara",PM10,2021-03-15,22,11,µg/mc
"Parco S. Chiara",PM10,2021-03-15,23,9,µg/mc
"Parco S. Chiara",PM10,2021-03-15,24,6,µg/mc
"Parco S. Chiara",PM10,2021-03-16,1,4,µg/mc
"Parco S. Chiara",PM10,2021-03-16,2,3,µg/mc
"Parco S. Chiara",PM10,2021-03-16,3,3,µg/mc
"Parco S. Chiara",PM10,2021-03-16,4,2,µg/mc
"Parco S. Chiara",PM10,2021-03-16,5,2,µg/mc
"Parco S. Chiara",PM10,2021-03-16,6,4,µg/mc
"Parco S. Chiara",PM10,2021-03-16,7,5,µg/mc
"Parco S. Chiara",PM10,2021-03-16,8,9,µg/mc
"Parco S. Chiara",PM10,2021-03-16,9,8,µg/mc
"Parco S. Chiara",PM10,2021-03-16,10,5,µg/mc
"Parco S. Chiara",PM10,2021-03-16,11,3,µg/mc
"Parco S. Chiara",PM10,2021-03-16,12,3,µg/mc
"Parco S. Chiara",PM10,2021-03-16,13,1,µg/mc
"Parco S. Chiara",PM10,2021-03-16,14,4,µg/mc
"Parco S. Chiara",PM10,2021-03-16,15,6,µg/mc
"Parco S. Chiara",PM10,2021-03-16,16,7,µg/mc
"Parco S. Chiara",PM10,2021-03-16,17,4,µg/mc
"Parco S. Chiara",PM10,2021-03-16,18,3,µg/mc
"Parco S. Chiara",PM10,2021-03-16,19,3,µg/mc
"Parco S. Chiara",PM10,2021-03-16,20,2,µg/mc
"Parco S. Chiara",PM10,2021-03-16,21,1,µg/mc
"Parco S. Chiara",PM10,2021-03-16,22,3,µg/mc
"Parco S. Chiara",PM10,2021-03-16,23,5,µg/mc
"Parco S. Chiara",PM10,2021-03-16,24,8,µg/mc
"Parco S. Chiara",PM10,2021-03-17,1,6,µg/mc
"Parco S. Chiara",PM10,2021-03-17,2,7,µg/mc
"Parco S. Chiara",PM10,2021-03-17,3,7,µg/mc
"Parco S. Chiara",PM10,2021-03-17,4,5,µg/mc
"Parco S. Chiara",PM10,2021-03-17,5,5,µg/mc
"Parco S. Chiara",PM10,2021-03-17,6,5,µg/mc
"Parco S. Chiara",PM10,2021-03-17,7,11,µg/mc
"Parco S. Chiara",PM10,2021-03-17,8,14,µg/mc
"Parco S. Chiara",PM10,2021-03-17,9,10,µg/mc
"Parco S. Chiara",PM10,2021-03-17,10,6,µg/mc
"Parco S. Chiara",PM10,2021-03-17,11,4,µg/mc
"Parco S. Chiara",PM10,2021-03-17,12,4,µg/mc
"Parco S. Chiara",PM10,2021-03-17,13,4,µg/mc
"Parco S. Chiara",PM10,2021-03-17,14,6,µg/mc
"Parco S. Chiara",PM10,2021-03-17,15,7,µg/mc
"Parco S. Chiara",PM10,2021-03-17,16,7,µg/mc
"Parco S. Chiara",PM10,2021-03-17,17,10,µg/mc
"Parco S. Chiara",PM10,2021-03-17,18,5,µg/mc
"Parco S. Chiara",PM10,2021-03-17,19,5,µg/mc
"Parco S. Chiara",PM10,2021-03-17,20,4,µg/mc
"Parco S. Chiara",PM10,2021-03-17,21,4,µg/mc
"Parco S. Chiara",PM10,2021-03-17,22,4,µg/mc
"Parco S. Chiara",PM10,2021-03-17,23,6,µg/mc
"Parco S. Chiara",PM10,2021-03-17,24,5,µg/mc
"Parco S. Chiara",PM10,2021-03-18,1,4,µg/mc
"Parco S. Chiara",PM10,2021-03-18,2,4,µg/mc
"Parco S. Chiara",PM10,2021-03-18,3,3,µg/mc
"Parco S. Chiara",PM10,2021-03-18,4,3,µg/mc
