Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2016-08-07,1,9,µg/mc
"Parco S. Chiara",PM10,2016-08-07,2,10,µg/mc
"Parco S. Chiara",PM10,2016-08-07,3,10,µg/mc
"Parco S. Chiara",PM10,2016-08-07,4,11,µg/mc
"Parco S. Chiara",PM10,2016-08-07,5,10,µg/mc
"Parco S. Chiara",PM10,2016-08-07,6,10,µg/mc
"Parco S. Chiara",PM10,2016-08-07,7,10,µg/mc
"Parco S. Chiara",PM10,2016-08-07,8,9,µg/mc
"Parco S. Chiara",PM10,2016-08-07,9,7,µg/mc
"Parco S. Chiara",PM10,2016-08-07,10,5,µg/mc
"Parco S. Chiara",PM10,2016-08-07,11,4,µg/mc
"Parco S. Chiara",PM10,2016-08-07,12,3,µg/mc
"Parco S. Chiara",PM10,2016-08-07,13,2,µg/mc
"Parco S. Chiara",PM10,2016-08-07,14,2,µg/mc
"Parco S. Chiara",PM10,2016-08-07,15,3,µg/mc
"Parco S. Chiara",PM10,2016-08-07,16,2,µg/mc
"Parco S. Chiara",PM10,2016-08-07,17,3,µg/mc
"Parco S. Chiara",PM10,2016-08-07,18,5,µg/mc
"Parco S. Chiara",PM10,2016-08-07,19,7,µg/mc
"Parco S. Chiara",PM10,2016-08-07,20,11,µg/mc
"Parco S. Chiara",PM10,2016-08-07,21,16,µg/mc
"Parco S. Chiara",PM10,2016-08-07,22,18,µg/mc
"Parco S. Chiara",PM10,2016-08-07,23,18,µg/mc
"Parco S. Chiara",PM10,2016-08-07,24,17,µg/mc
"Parco S. Chiara",PM10,2016-08-08,1,17,µg/mc
"Parco S. Chiara",PM10,2016-08-08,2,17,µg/mc
"Parco S. Chiara",PM10,2016-08-08,3,18,µg/mc
"Parco S. Chiara",PM10,2016-08-08,4,18,µg/mc
"Parco S. Chiara",PM10,2016-08-08,5,17,µg/mc
"Parco S. Chiara",PM10,2016-08-08,6,18,µg/mc
"Parco S. Chiara",PM10,2016-08-08,7,19,µg/mc
"Parco S. Chiara",PM10,2016-08-08,8,17,µg/mc
"Parco S. Chiara",PM10,2016-08-08,9,13,µg/mc
"Parco S. Chiara",PM10,2016-08-08,10,8,µg/mc
"Parco S. Chiara",PM10,2016-08-08,11,6,µg/mc
"Parco S. Chiara",PM10,2016-08-08,12,6,µg/mc
"Parco S. Chiara",PM10,2016-08-08,13,5,µg/mc
"Parco S. Chiara",PM10,2016-08-08,14,6,µg/mc
"Parco S. Chiara",PM10,2016-08-08,15,7,µg/mc
"Parco S. Chiara",PM10,2016-08-08,16,9,µg/mc
"Parco S. Chiara",PM10,2016-08-08,17,10,µg/mc
"Parco S. Chiara",PM10,2016-08-08,18,14,µg/mc
"Parco S. Chiara",PM10,2016-08-08,19,17,µg/mc
"Parco S. Chiara",PM10,2016-08-08,20,20,µg/mc
"Parco S. Chiara",PM10,2016-08-08,21,25,µg/mc
"Parco S. Chiara",PM10,2016-08-08,22,25,µg/mc
"Parco S. Chiara",PM10,2016-08-08,23,26,µg/mc
"Parco S. Chiara",PM10,2016-08-08,24,25,µg/mc
"Parco S. Chiara",PM10,2016-08-09,1,24,µg/mc
"Parco S. Chiara",PM10,2016-08-09,2,23,µg/mc
"Parco S. Chiara",PM10,2016-08-09,3,23,µg/mc
"Parco S. Chiara",PM10,2016-08-09,4,23,µg/mc
"Parco S. Chiara",PM10,2016-08-09,5,24,µg/mc
"Parco S. Chiara",PM10,2016-08-09,6,24,µg/mc
"Parco S. Chiara",PM10,2016-08-09,7,22,µg/mc
"Parco S. Chiara",PM10,2016-08-09,8,21,µg/mc
"Parco S. Chiara",PM10,2016-08-09,9,17,µg/mc
"Parco S. Chiara",PM10,2016-08-09,10,14,µg/mc
"Parco S. Chiara",PM10,2016-08-09,11,15,µg/mc
"Parco S. Chiara",PM10,2016-08-09,15,7,µg/mc
"Parco S. Chiara",PM10,2016-08-09,16,8,µg/mc
"Parco S. Chiara",PM10,2016-08-09,17,8,µg/mc
"Parco S. Chiara",PM10,2016-08-09,18,9,µg/mc
"Parco S. Chiara",PM10,2016-08-09,19,10,µg/mc
"Parco S. Chiara",PM10,2016-08-09,20,10,µg/mc
"Parco S. Chiara",PM10,2016-08-09,21,15,µg/mc
"Parco S. Chiara",PM10,2016-08-09,22,16,µg/mc
"Parco S. Chiara",PM10,2016-08-09,23,15,µg/mc
"Parco S. Chiara",PM10,2016-08-09,24,13,µg/mc
"Parco S. Chiara",PM10,2016-08-10,1,12,µg/mc
"Parco S. Chiara",PM10,2016-08-10,2,13,µg/mc
"Parco S. Chiara",PM10,2016-08-10,3,14,µg/mc
"Parco S. Chiara",PM10,2016-08-10,4,13,µg/mc
"Parco S. Chiara",PM10,2016-08-10,5,13,µg/mc
"Parco S. Chiara",PM10,2016-08-10,6,12,µg/mc
"Parco S. Chiara",PM10,2016-08-10,7,10,µg/mc
"Parco S. Chiara",PM10,2016-08-10,8,8,µg/mc
"Parco S. Chiara",PM10,2016-08-10,9,5,µg/mc
"Parco S. Chiara",PM10,2016-08-10,10,3,µg/mc
"Parco S. Chiara",PM10,2016-08-10,11,2,µg/mc
"Parco S. Chiara",PM10,2016-08-10,12,2,µg/mc
"Parco S. Chiara",PM10,2016-08-10,13,2,µg/mc
"Parco S. Chiara",PM10,2016-08-10,14,2,µg/mc
"Parco S. Chiara",PM10,2016-08-10,15,2,µg/mc
"Parco S. Chiara",PM10,2016-08-10,16,2,µg/mc
"Parco S. Chiara",PM10,2016-08-10,17,2,µg/mc
"Parco S. Chiara",PM10,2016-08-10,18,3,µg/mc
"Parco S. Chiara",PM10,2016-08-10,19,3,µg/mc
"Parco S. Chiara",PM10,2016-08-10,20,3,µg/mc
"Parco S. Chiara",PM10,2016-08-10,21,4,µg/mc
"Parco S. Chiara",PM10,2016-08-10,22,5,µg/mc
"Parco S. Chiara",PM10,2016-08-10,23,6,µg/mc
"Parco S. Chiara",PM10,2016-08-10,24,6,µg/mc
"Parco S. Chiara",PM10,2016-08-11,1,6,µg/mc
"Parco S. Chiara",PM10,2016-08-11,2,8,µg/mc
"Parco S. Chiara",PM10,2016-08-11,3,8,µg/mc
"Parco S. Chiara",PM10,2016-08-11,4,8,µg/mc
"Parco S. Chiara",PM10,2016-08-11,5,8,µg/mc
"Parco S. Chiara",PM10,2016-08-11,6,8,µg/mc
"Parco S. Chiara",PM10,2016-08-11,7,9,µg/mc
"Parco S. Chiara",PM10,2016-08-11,8,7,µg/mc
"Parco S. Chiara",PM10,2016-08-11,9,4,µg/mc
"Parco S. Chiara",PM10,2016-08-11,10,3,µg/mc
"Parco S. Chiara",PM10,2016-08-11,11,2,µg/mc
"Parco S. Chiara",PM10,2016-08-11,12,2,µg/mc
"Parco S. Chiara",PM10,2016-08-11,13,2,µg/mc
"Parco S. Chiara",PM10,2016-08-11,14,2,µg/mc
"Parco S. Chiara",PM10,2016-08-11,15,2,µg/mc
"Parco S. Chiara",PM10,2016-08-11,16,3,µg/mc
"Parco S. Chiara",PM10,2016-08-11,17,4,µg/mc
