Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2020-11-14,1,39,µg/mc
"Parco S. Chiara",PM10,2020-11-14,2,36,µg/mc
"Parco S. Chiara",PM10,2020-11-14,3,30,µg/mc
"Parco S. Chiara",PM10,2020-11-14,4,28,µg/mc
"Parco S. Chiara",PM10,2020-11-14,5,26,µg/mc
"Parco S. Chiara",PM10,2020-11-14,6,24,µg/mc
"Parco S. Chiara",PM10,2020-11-14,7,23,µg/mc
"Parco S. Chiara",PM10,2020-11-14,8,26,µg/mc
"Parco S. Chiara",PM10,2020-11-14,9,25,µg/mc
"Parco S. Chiara",PM10,2020-11-14,10,24,µg/mc
"Parco S. Chiara",PM10,2020-11-14,11,20,µg/mc
"Parco S. Chiara",PM10,2020-11-14,12,18,µg/mc
"Parco S. Chiara",PM10,2020-11-14,13,18,µg/mc
"Parco S. Chiara",PM10,2020-11-14,14,19,µg/mc
"Parco S. Chiara",PM10,2020-11-14,15,20,µg/mc
"Parco S. Chiara",PM10,2020-11-14,16,20,µg/mc
"Parco S. Chiara",PM10,2020-11-14,17,25,µg/mc
"Parco S. Chiara",PM10,2020-11-14,18,36,µg/mc
"Parco S. Chiara",PM10,2020-11-14,19,38,µg/mc
"Parco S. Chiara",PM10,2020-11-14,20,49,µg/mc
"Parco S. Chiara",PM10,2020-11-14,21,53,µg/mc
"Parco S. Chiara",PM10,2020-11-14,22,57,µg/mc
"Parco S. Chiara",PM10,2020-11-14,23,47,µg/mc
"Parco S. Chiara",PM10,2020-11-14,24,44,µg/mc
"Parco S. Chiara",PM10,2020-11-15,1,37,µg/mc
"Parco S. Chiara",PM10,2020-11-15,2,35,µg/mc
"Parco S. Chiara",PM10,2020-11-15,3,31,µg/mc
"Parco S. Chiara",PM10,2020-11-15,4,27,µg/mc
"Parco S. Chiara",PM10,2020-11-15,5,24,µg/mc
"Parco S. Chiara",PM10,2020-11-15,6,22,µg/mc
"Parco S. Chiara",PM10,2020-11-15,7,21,µg/mc
"Parco S. Chiara",PM10,2020-11-15,8,20,µg/mc
"Parco S. Chiara",PM10,2020-11-15,9,20,µg/mc
"Parco S. Chiara",PM10,2020-11-15,10,20,µg/mc
"Parco S. Chiara",PM10,2020-11-15,11,18,µg/mc
"Parco S. Chiara",PM10,2020-11-15,12,15,µg/mc
"Parco S. Chiara",PM10,2020-11-15,13,14,µg/mc
"Parco S. Chiara",PM10,2020-11-15,14,14,µg/mc
"Parco S. Chiara",PM10,2020-11-15,15,15,µg/mc
"Parco S. Chiara",PM10,2020-11-15,16,15,µg/mc
"Parco S. Chiara",PM10,2020-11-15,17,17,µg/mc
"Parco S. Chiara",PM10,2020-11-15,18,29,µg/mc
"Parco S. Chiara",PM10,2020-11-15,19,35,µg/mc
"Parco S. Chiara",PM10,2020-11-15,20,38,µg/mc
"Parco S. Chiara",PM10,2020-11-15,21,42,µg/mc
"Parco S. Chiara",PM10,2020-11-15,22,38,µg/mc
"Parco S. Chiara",PM10,2020-11-15,23,45,µg/mc
"Parco S. Chiara",PM10,2020-11-15,24,42,µg/mc
"Parco S. Chiara",PM10,2020-11-16,1,38,µg/mc
"Parco S. Chiara",PM10,2020-11-16,2,26,µg/mc
"Parco S. Chiara",PM10,2020-11-16,3,23,µg/mc
"Parco S. Chiara",PM10,2020-11-16,4,22,µg/mc
"Parco S. Chiara",PM10,2020-11-16,5,22,µg/mc
"Parco S. Chiara",PM10,2020-11-16,6,22,µg/mc
"Parco S. Chiara",PM10,2020-11-16,7,23,µg/mc
"Parco S. Chiara",PM10,2020-11-16,8,26,µg/mc
"Parco S. Chiara",PM10,2020-11-16,9,25,µg/mc
"Parco S. Chiara",PM10,2020-11-16,10,23,µg/mc
"Parco S. Chiara",PM10,2020-11-16,11,23,µg/mc
"Parco S. Chiara",PM10,2020-11-16,12,18,µg/mc
"Parco S. Chiara",PM10,2020-11-16,13,14,µg/mc
"Parco S. Chiara",PM10,2020-11-16,14,12,µg/mc
"Parco S. Chiara",PM10,2020-11-16,15,11,µg/mc
"Parco S. Chiara",PM10,2020-11-16,16,11,µg/mc
"Parco S. Chiara",PM10,2020-11-16,17,14,µg/mc
"Parco S. Chiara",PM10,2020-11-16,18,18,µg/mc
"Parco S. Chiara",PM10,2020-11-16,19,19,µg/mc
"Parco S. Chiara",PM10,2020-11-16,20,17,µg/mc
"Parco S. Chiara",PM10,2020-11-16,21,13,µg/mc
"Parco S. Chiara",PM10,2020-11-16,22,11,µg/mc
"Parco S. Chiara",PM10,2020-11-16,23,9,µg/mc
"Parco S. Chiara",PM10,2020-11-16,24,7,µg/mc
"Parco S. Chiara",PM10,2020-11-17,1,6,µg/mc
"Parco S. Chiara",PM10,2020-11-17,2,6,µg/mc
"Parco S. Chiara",PM10,2020-11-17,3,5,µg/mc
"Parco S. Chiara",PM10,2020-11-17,4,4,µg/mc
"Parco S. Chiara",PM10,2020-11-17,5,4,µg/mc
"Parco S. Chiara",PM10,2020-11-17,6,5,µg/mc
"Parco S. Chiara",PM10,2020-11-17,7,6,µg/mc
"Parco S. Chiara",PM10,2020-11-17,8,9,µg/mc
"Parco S. Chiara",PM10,2020-11-17,9,12,µg/mc
"Parco S. Chiara",PM10,2020-11-17,10,11,µg/mc
"Parco S. Chiara",PM10,2020-11-17,11,8,µg/mc
"Parco S. Chiara",PM10,2020-11-17,12,6,µg/mc
"Parco S. Chiara",PM10,2020-11-17,13,4,µg/mc
"Parco S. Chiara",PM10,2020-11-17,14,4,µg/mc
"Parco S. Chiara",PM10,2020-11-17,15,6,µg/mc
"Parco S. Chiara",PM10,2020-11-17,16,8,µg/mc
"Parco S. Chiara",PM10,2020-11-17,17,18,µg/mc
"Parco S. Chiara",PM10,2020-11-17,18,26,µg/mc
"Parco S. Chiara",PM10,2020-11-17,19,25,µg/mc
"Parco S. Chiara",PM10,2020-11-17,20,28,µg/mc
"Parco S. Chiara",PM10,2020-11-17,21,38,µg/mc
"Parco S. Chiara",PM10,2020-11-17,22,32,µg/mc
"Parco S. Chiara",PM10,2020-11-17,23,30,µg/mc
"Parco S. Chiara",PM10,2020-11-17,24,26,µg/mc
"Parco S. Chiara",PM10,2020-11-18,1,21,µg/mc
"Parco S. Chiara",PM10,2020-11-18,2,21,µg/mc
"Parco S. Chiara",PM10,2020-11-18,3,20,µg/mc
"Parco S. Chiara",PM10,2020-11-18,4,20,µg/mc
"Parco S. Chiara",PM10,2020-11-18,5,18,µg/mc
"Parco S. Chiara",PM10,2020-11-18,6,18,µg/mc
"Parco S. Chiara",PM10,2020-11-18,7,16,µg/mc
"Parco S. Chiara",PM10,2020-11-18,8,18,µg/mc
"Parco S. Chiara",PM10,2020-11-18,9,24,µg/mc
"Parco S. Chiara",PM10,2020-11-18,10,18,µg/mc
"Parco S. Chiara",PM10,2020-11-18,11,18,µg/mc
"Parco S. Chiara",PM10,2020-11-18,12,13,µg/mc
"Parco S. Chiara",PM10,2020-11-18,13,11,µg/mc
"Parco S. Chiara",PM10,2020-11-18,14,11,µg/mc
"Parco S. Chiara",PM10,2020-11-18,15,12,µg/mc
"Parco S. Chiara",PM10,2020-11-18,16,12,µg/mc
"Parco S. Chiara",PM10,2020-11-18,17,24,µg/mc
"Parco S. Chiara",PM10,2020-11-18,18,45,µg/mc
"Parco S. Chiara",PM10,2020-11-18,19,49,µg/mc
"Parco S. Chiara",PM10,2020-11-18,20,50,µg/mc
"Parco S. Chiara",PM10,2020-11-18,21,44,µg/mc
"Parco S. Chiara",PM10,2020-11-18,22,43,µg/mc
"Parco S. Chiara",PM10,2020-11-18,23,35,µg/mc
"Parco S. Chiara",PM10,2020-11-18,24,30,µg/mc
"Parco S. Chiara",PM10,2020-11-19,1,27,µg/mc
"Parco S. Chiara",PM10,2020-11-19,2,24,µg/mc
"Parco S. Chiara",PM10,2020-11-19,3,23,µg/mc
"Parco S. Chiara",PM10,2020-11-19,4,22,µg/mc
"Parco S. Chiara",PM10,2020-11-19,5,20,µg/mc
"Parco S. Chiara",PM10,2020-11-19,6,18,µg/mc
"Parco S. Chiara",PM10,2020-11-19,7,18,µg/mc
"Parco S. Chiara",PM10,2020-11-19,8,19,µg/mc
"Parco S. Chiara",PM10,2020-11-19,9,25,µg/mc
"Parco S. Chiara",PM10,2020-11-19,10,23,µg/mc
"Parco S. Chiara",PM10,2020-11-19,11,18,µg/mc
"Parco S. Chiara",PM10,2020-11-19,12,16,µg/mc
"Parco S. Chiara",PM10,2020-11-19,13,11,µg/mc
"Parco S. Chiara",PM10,2020-11-19,14,12,µg/mc
"Parco S. Chiara",PM10,2020-11-19,15,13,µg/mc
"Parco S. Chiara",PM10,2020-11-19,16,15,µg/mc
"Parco S. Chiara",PM10,2020-11-19,17,22,µg/mc
"Parco S. Chiara",PM10,2020-11-19,18,32,µg/mc
"Parco S. Chiara",PM10,2020-11-19,19,35,µg/mc
"Parco S. Chiara",PM10,2020-11-19,20,37,µg/mc
"Parco S. Chiara",PM10,2020-11-19,21,40,µg/mc
"Parco S. Chiara",PM10,2020-11-19,22,32,µg/mc
"Parco S. Chiara",PM10,2020-11-19,23,25,µg/mc
"Parco S. Chiara",PM10,2020-11-19,24,6,µg/mc
"Parco S. Chiara",PM10,2020-11-20,1,3,µg/mc
"Parco S. Chiara",PM10,2020-11-20,2,1,µg/mc
"Parco S. Chiara",PM10,2020-11-20,3,1,µg/mc
"Parco S. Chiara",PM10,2020-11-20,4,1,µg/mc
"Parco S. Chiara",PM10,2020-11-20,5,1,µg/mc
