Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2013-02-24,1,10,µg/mc
"Parco S. Chiara",PM10,2013-02-24,2,10,µg/mc
"Parco S. Chiara",PM10,2013-02-24,3,8,µg/mc
"Parco S. Chiara",PM10,2013-02-24,4,8,µg/mc
"Parco S. Chiara",PM10,2013-02-24,5,10,µg/mc
"Parco S. Chiara",PM10,2013-02-24,6,11,µg/mc
"Parco S. Chiara",PM10,2013-02-24,7,12,µg/mc
"Parco S. Chiara",PM10,2013-02-24,8,14,µg/mc
"Parco S. Chiara",PM10,2013-02-24,9,16,µg/mc
"Parco S. Chiara",PM10,2013-02-24,10,17,µg/mc
"Parco S. Chiara",PM10,2013-02-24,11,18,µg/mc
"Parco S. Chiara",PM10,2013-02-24,12,20,µg/mc
"Parco S. Chiara",PM10,2013-02-24,13,23,µg/mc
"Parco S. Chiara",PM10,2013-02-24,14,25,µg/mc
"Parco S. Chiara",PM10,2013-02-24,15,24,µg/mc
"Parco S. Chiara",PM10,2013-02-24,16,23,µg/mc
"Parco S. Chiara",PM10,2013-02-24,17,27,µg/mc
"Parco S. Chiara",PM10,2013-02-24,18,28,µg/mc
"Parco S. Chiara",PM10,2013-02-24,19,32,µg/mc
"Parco S. Chiara",PM10,2013-02-24,20,33,µg/mc
"Parco S. Chiara",PM10,2013-02-24,21,41,µg/mc
"Parco S. Chiara",PM10,2013-02-24,22,47,µg/mc
"Parco S. Chiara",PM10,2013-02-24,23,40,µg/mc
"Parco S. Chiara",PM10,2013-02-24,24,43,µg/mc
"Parco S. Chiara",PM10,2013-02-25,1,43,µg/mc
"Parco S. Chiara",PM10,2013-02-25,2,44,µg/mc
"Parco S. Chiara",PM10,2013-02-25,3,38,µg/mc
"Parco S. Chiara",PM10,2013-02-25,4,34,µg/mc
"Parco S. Chiara",PM10,2013-02-25,5,29,µg/mc
"Parco S. Chiara",PM10,2013-02-25,6,21,µg/mc
"Parco S. Chiara",PM10,2013-02-25,7,21,µg/mc
"Parco S. Chiara",PM10,2013-02-25,8,17,µg/mc
"Parco S. Chiara",PM10,2013-02-25,9,17,µg/mc
"Parco S. Chiara",PM10,2013-02-25,10,21,µg/mc
"Parco S. Chiara",PM10,2013-02-25,11,18,µg/mc
"Parco S. Chiara",PM10,2013-02-25,12,16,µg/mc
"Parco S. Chiara",PM10,2013-02-25,13,17,µg/mc
"Parco S. Chiara",PM10,2013-02-25,14,14,µg/mc
"Parco S. Chiara",PM10,2013-02-25,15,14,µg/mc
"Parco S. Chiara",PM10,2013-02-25,16,16,µg/mc
"Parco S. Chiara",PM10,2013-02-25,17,19,µg/mc
"Parco S. Chiara",PM10,2013-02-25,18,23,µg/mc
"Parco S. Chiara",PM10,2013-02-25,19,17,µg/mc
"Parco S. Chiara",PM10,2013-02-25,20,21,µg/mc
"Parco S. Chiara",PM10,2013-02-25,21,28,µg/mc
"Parco S. Chiara",PM10,2013-02-25,22,31,µg/mc
"Parco S. Chiara",PM10,2013-02-25,23,27,µg/mc
"Parco S. Chiara",PM10,2013-02-25,24,24,µg/mc
"Parco S. Chiara",PM10,2013-02-26,1,20,µg/mc
"Parco S. Chiara",PM10,2013-02-26,2,18,µg/mc
"Parco S. Chiara",PM10,2013-02-26,3,17,µg/mc
