Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2017-04-04,1,13,µg/mc
"Parco S. Chiara",PM10,2017-04-04,2,14,µg/mc
"Parco S. Chiara",PM10,2017-04-04,3,14,µg/mc
"Parco S. Chiara",PM10,2017-04-04,4,14,µg/mc
"Parco S. Chiara",PM10,2017-04-04,5,13,µg/mc
"Parco S. Chiara",PM10,2017-04-04,6,13,µg/mc
"Parco S. Chiara",PM10,2017-04-04,7,16,µg/mc
"Parco S. Chiara",PM10,2017-04-04,8,19,µg/mc
"Parco S. Chiara",PM10,2017-04-04,9,19,µg/mc
"Parco S. Chiara",PM10,2017-04-04,10,16,µg/mc
"Parco S. Chiara",PM10,2017-04-04,11,13,µg/mc
"Parco S. Chiara",PM10,2017-04-04,12,15,µg/mc
"Parco S. Chiara",PM10,2017-04-04,13,11,µg/mc
"Parco S. Chiara",PM10,2017-04-04,14,10,µg/mc
"Parco S. Chiara",PM10,2017-04-04,16,12,µg/mc
"Parco S. Chiara",PM10,2017-04-04,17,14,µg/mc
"Parco S. Chiara",PM10,2017-04-04,18,21,µg/mc
"Parco S. Chiara",PM10,2017-04-04,19,17,µg/mc
"Parco S. Chiara",PM10,2017-04-04,20,22,µg/mc
"Parco S. Chiara",PM10,2017-04-04,21,24,µg/mc
"Parco S. Chiara",PM10,2017-04-04,22,20,µg/mc
"Parco S. Chiara",PM10,2017-04-04,23,15,µg/mc
"Parco S. Chiara",PM10,2017-04-04,24,10,µg/mc
"Parco S. Chiara",PM10,2017-04-05,1,8,µg/mc
"Parco S. Chiara",PM10,2017-04-05,2,7,µg/mc
"Parco S. Chiara",PM10,2017-04-05,3,8,µg/mc
"Parco S. Chiara",PM10,2017-04-05,4,9,µg/mc
"Parco S. Chiara",PM10,2017-04-05,5,9,µg/mc
"Parco S. Chiara",PM10,2017-04-05,6,8,µg/mc
"Parco S. Chiara",PM10,2017-04-05,7,9,µg/mc
"Parco S. Chiara",PM10,2017-04-05,8,9,µg/mc
"Parco S. Chiara",PM10,2017-04-05,9,10,µg/mc
"Parco S. Chiara",PM10,2017-04-05,10,12,µg/mc
"Parco S. Chiara",PM10,2017-04-05,11,10,µg/mc
"Parco S. Chiara",PM10,2017-04-05,12,7,µg/mc
"Parco S. Chiara",PM10,2017-04-05,13,7,µg/mc
"Parco S. Chiara",PM10,2017-04-05,14,7,µg/mc
"Parco S. Chiara",PM10,2017-04-05,15,6,µg/mc
"Parco S. Chiara",PM10,2017-04-05,16,5,µg/mc
"Parco S. Chiara",PM10,2017-04-05,17,4,µg/mc
"Parco S. Chiara",PM10,2017-04-05,18,6,µg/mc
"Parco S. Chiara",PM10,2017-04-05,19,9,µg/mc
"Parco S. Chiara",PM10,2017-04-05,20,13,µg/mc
