Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2017-06-03,1,20,µg/mc
"Parco S. Chiara",PM10,2017-06-03,2,20,µg/mc
"Parco S. Chiara",PM10,2017-06-03,3,20,µg/mc
"Parco S. Chiara",PM10,2017-06-03,4,20,µg/mc
"Parco S. Chiara",PM10,2017-06-03,5,19,µg/mc
"Parco S. Chiara",PM10,2017-06-03,6,18,µg/mc
"Parco S. Chiara",PM10,2017-06-03,7,17,µg/mc
"Parco S. Chiara",PM10,2017-06-03,8,14,µg/mc
"Parco S. Chiara",PM10,2017-06-03,9,13,µg/mc
"Parco S. Chiara",PM10,2017-06-03,10,11,µg/mc
"Parco S. Chiara",PM10,2017-06-03,11,9,µg/mc
"Parco S. Chiara",PM10,2017-06-03,12,7,µg/mc
"Parco S. Chiara",PM10,2017-06-03,13,7,µg/mc
"Parco S. Chiara",PM10,2017-06-03,14,10,µg/mc
"Parco S. Chiara",PM10,2017-06-03,15,16,µg/mc
"Parco S. Chiara",PM10,2017-06-03,16,16,µg/mc
"Parco S. Chiara",PM10,2017-06-03,17,18,µg/mc
"Parco S. Chiara",PM10,2017-06-03,18,17,µg/mc
"Parco S. Chiara",PM10,2017-06-03,19,23,µg/mc
"Parco S. Chiara",PM10,2017-06-03,20,25,µg/mc
"Parco S. Chiara",PM10,2017-06-03,21,37,µg/mc
"Parco S. Chiara",PM10,2017-06-03,22,50,µg/mc
"Parco S. Chiara",PM10,2017-06-03,23,49,µg/mc
"Parco S. Chiara",PM10,2017-06-03,24,32,µg/mc
"Parco S. Chiara",PM10,2017-06-04,1,29,µg/mc
"Parco S. Chiara",PM10,2017-06-04,2,25,µg/mc
"Parco S. Chiara",PM10,2017-06-04,3,26,µg/mc
"Parco S. Chiara",PM10,2017-06-04,4,26,µg/mc
"Parco S. Chiara",PM10,2017-06-04,5,29,µg/mc
"Parco S. Chiara",PM10,2017-06-04,6,26,µg/mc
"Parco S. Chiara",PM10,2017-06-04,7,28,µg/mc
"Parco S. Chiara",PM10,2017-06-04,8,26,µg/mc
"Parco S. Chiara",PM10,2017-06-04,9,24,µg/mc
"Parco S. Chiara",PM10,2017-06-04,10,24,µg/mc
"Parco S. Chiara",PM10,2017-06-04,11,24,µg/mc
"Parco S. Chiara",PM10,2017-06-04,12,30,µg/mc
