Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2021-11-09,1,23,µg/mc
"Parco S. Chiara",PM10,2021-11-09,2,18,µg/mc
"Parco S. Chiara",PM10,2021-11-09,3,15,µg/mc
"Parco S. Chiara",PM10,2021-11-09,4,13,µg/mc
"Parco S. Chiara",PM10,2021-11-09,5,12,µg/mc
"Parco S. Chiara",PM10,2021-11-09,6,10,µg/mc
"Parco S. Chiara",PM10,2021-11-09,7,11,µg/mc
"Parco S. Chiara",PM10,2021-11-09,8,12,µg/mc
"Parco S. Chiara",PM10,2021-11-09,9,15,µg/mc
"Parco S. Chiara",PM10,2021-11-09,10,14,µg/mc
"Parco S. Chiara",PM10,2021-11-09,11,13,µg/mc
"Parco S. Chiara",PM10,2021-11-09,12,12,µg/mc
"Parco S. Chiara",PM10,2021-11-09,13,11,µg/mc
"Parco S. Chiara",PM10,2021-11-09,14,12,µg/mc
"Parco S. Chiara",PM10,2021-11-09,15,11,µg/mc
"Parco S. Chiara",PM10,2021-11-09,16,14,µg/mc
"Parco S. Chiara",PM10,2021-11-09,17,21,µg/mc
"Parco S. Chiara",PM10,2021-11-09,18,28,µg/mc
"Parco S. Chiara",PM10,2021-11-09,19,30,µg/mc
"Parco S. Chiara",PM10,2021-11-09,20,33,µg/mc
"Parco S. Chiara",PM10,2021-11-09,21,36,µg/mc
"Parco S. Chiara",PM10,2021-11-09,22,39,µg/mc
"Parco S. Chiara",PM10,2021-11-09,23,24,µg/mc
"Parco S. Chiara",PM10,2021-11-09,24,19,µg/mc
"Parco S. Chiara",PM10,2021-11-10,1,16,µg/mc
"Parco S. Chiara",PM10,2021-11-10,2,16,µg/mc
"Parco S. Chiara",PM10,2021-11-10,3,16,µg/mc
"Parco S. Chiara",PM10,2021-11-10,4,14,µg/mc
"Parco S. Chiara",PM10,2021-11-10,5,13,µg/mc
"Parco S. Chiara",PM10,2021-11-10,6,13,µg/mc
"Parco S. Chiara",PM10,2021-11-10,7,12,µg/mc
"Parco S. Chiara",PM10,2021-11-10,8,14,µg/mc
"Parco S. Chiara",PM10,2021-11-10,9,16,µg/mc
"Parco S. Chiara",PM10,2021-11-10,10,14,µg/mc
"Parco S. Chiara",PM10,2021-11-10,11,14,µg/mc
"Parco S. Chiara",PM10,2021-11-10,12,14,µg/mc
"Parco S. Chiara",PM10,2021-11-10,13,11,µg/mc
"Parco S. Chiara",PM10,2021-11-10,14,12,µg/mc
"Parco S. Chiara",PM10,2021-11-10,15,9,µg/mc
"Parco S. Chiara",PM10,2021-11-10,16,13,µg/mc
"Parco S. Chiara",PM10,2021-11-10,17,25,µg/mc
"Parco S. Chiara",PM10,2021-11-10,18,25,µg/mc
"Parco S. Chiara",PM10,2021-11-10,19,28,µg/mc
"Parco S. Chiara",PM10,2021-11-10,20,32,µg/mc
"Parco S. Chiara",PM10,2021-11-10,21,33,µg/mc
"Parco S. Chiara",PM10,2021-11-10,22,36,µg/mc
