Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2014-12-16,1,37,µg/mc
"Parco S. Chiara",PM10,2014-12-16,2,37,µg/mc
"Parco S. Chiara",PM10,2014-12-16,3,39,µg/mc
"Parco S. Chiara",PM10,2014-12-16,4,38,µg/mc
"Parco S. Chiara",PM10,2014-12-16,5,38,µg/mc
"Parco S. Chiara",PM10,2014-12-16,6,36,µg/mc
"Parco S. Chiara",PM10,2014-12-16,7,35,µg/mc
"Parco S. Chiara",PM10,2014-12-16,8,34,µg/mc
"Parco S. Chiara",PM10,2014-12-16,9,33,µg/mc
"Parco S. Chiara",PM10,2014-12-16,10,33,µg/mc
"Parco S. Chiara",PM10,2014-12-16,11,34,µg/mc
"Parco S. Chiara",PM10,2014-12-16,12,33,µg/mc
"Parco S. Chiara",PM10,2014-12-16,13,32,µg/mc
"Parco S. Chiara",PM10,2014-12-16,14,30,µg/mc
"Parco S. Chiara",PM10,2014-12-16,15,30,µg/mc
"Parco S. Chiara",PM10,2014-12-16,16,26,µg/mc
"Parco S. Chiara",PM10,2014-12-16,17,26,µg/mc
"Parco S. Chiara",PM10,2014-12-16,18,27,µg/mc
"Parco S. Chiara",PM10,2014-12-16,19,33,µg/mc
"Parco S. Chiara",PM10,2014-12-16,20,32,µg/mc
"Parco S. Chiara",PM10,2014-12-16,21,29,µg/mc
"Parco S. Chiara",PM10,2014-12-16,22,27,µg/mc
"Parco S. Chiara",PM10,2014-12-16,23,23,µg/mc
"Parco S. Chiara",PM10,2014-12-16,24,20,µg/mc
"Parco S. Chiara",PM10,2014-12-17,1,18,µg/mc
"Parco S. Chiara",PM10,2014-12-17,2,18,µg/mc
"Parco S. Chiara",PM10,2014-12-17,3,16,µg/mc
"Parco S. Chiara",PM10,2014-12-17,4,17,µg/mc
"Parco S. Chiara",PM10,2014-12-17,5,16,µg/mc
"Parco S. Chiara",PM10,2014-12-17,6,16,µg/mc
"Parco S. Chiara",PM10,2014-12-17,7,15,µg/mc
"Parco S. Chiara",PM10,2014-12-17,8,16,µg/mc
"Parco S. Chiara",PM10,2014-12-17,9,18,µg/mc
"Parco S. Chiara",PM10,2014-12-17,10,18,µg/mc
"Parco S. Chiara",PM10,2014-12-17,11,13,µg/mc
"Parco S. Chiara",PM10,2014-12-17,12,15,µg/mc
"Parco S. Chiara",PM10,2014-12-17,13,13,µg/mc
"Parco S. Chiara",PM10,2014-12-17,14,12,µg/mc
"Parco S. Chiara",PM10,2014-12-17,15,18,µg/mc
"Parco S. Chiara",PM10,2014-12-17,16,19,µg/mc
"Parco S. Chiara",PM10,2014-12-17,17,22,µg/mc
"Parco S. Chiara",PM10,2014-12-17,18,22,µg/mc
"Parco S. Chiara",PM10,2014-12-17,19,22,µg/mc
"Parco S. Chiara",PM10,2014-12-17,20,21,µg/mc
"Parco S. Chiara",PM10,2014-12-17,21,24,µg/mc
"Parco S. Chiara",PM10,2014-12-17,22,24,µg/mc
"Parco S. Chiara",PM10,2014-12-17,23,23,µg/mc
"Parco S. Chiara",PM10,2014-12-17,24,23,µg/mc
"Parco S. Chiara",PM10,2014-12-18,1,20,µg/mc
"Parco S. Chiara",PM10,2014-12-18,2,20,µg/mc
"Parco S. Chiara",PM10,2014-12-18,3,18,µg/mc
"Parco S. Chiara",PM10,2014-12-18,4,17,µg/mc
"Parco S. Chiara",PM10,2014-12-18,5,16,µg/mc
"Parco S. Chiara",PM10,2014-12-18,6,15,µg/mc
"Parco S. Chiara",PM10,2014-12-18,7,16,µg/mc
"Parco S. Chiara",PM10,2014-12-18,8,16,µg/mc
"Parco S. Chiara",PM10,2014-12-18,9,19,µg/mc
"Parco S. Chiara",PM10,2014-12-18,10,16,µg/mc
"Parco S. Chiara",PM10,2014-12-18,11,15,µg/mc
"Parco S. Chiara",PM10,2014-12-18,12,13,µg/mc
"Parco S. Chiara",PM10,2014-12-18,13,12,µg/mc
"Parco S. Chiara",PM10,2014-12-18,14,13,µg/mc
"Parco S. Chiara",PM10,2014-12-18,15,13,µg/mc
"Parco S. Chiara",PM10,2014-12-18,16,14,µg/mc
"Parco S. Chiara",PM10,2014-12-18,17,17,µg/mc
"Parco S. Chiara",PM10,2014-12-18,18,26,µg/mc
"Parco S. Chiara",PM10,2014-12-18,19,30,µg/mc
"Parco S. Chiara",PM10,2014-12-18,20,29,µg/mc
"Parco S. Chiara",PM10,2014-12-18,21,38,µg/mc
"Parco S. Chiara",PM10,2014-12-18,22,37,µg/mc
"Parco S. Chiara",PM10,2014-12-18,23,31,µg/mc
"Parco S. Chiara",PM10,2014-12-18,24,29,µg/mc
"Parco S. Chiara",PM10,2014-12-19,1,29,µg/mc
"Parco S. Chiara",PM10,2014-12-19,2,26,µg/mc
"Parco S. Chiara",PM10,2014-12-19,3,25,µg/mc
"Parco S. Chiara",PM10,2014-12-19,4,24,µg/mc
"Parco S. Chiara",PM10,2014-12-19,5,22,µg/mc
"Parco S. Chiara",PM10,2014-12-19,6,21,µg/mc
"Parco S. Chiara",PM10,2014-12-19,7,21,µg/mc
"Parco S. Chiara",PM10,2014-12-19,8,23,µg/mc
"Parco S. Chiara",PM10,2014-12-19,9,25,µg/mc
"Parco S. Chiara",PM10,2014-12-19,10,27,µg/mc
"Parco S. Chiara",PM10,2014-12-19,11,26,µg/mc
"Parco S. Chiara",PM10,2014-12-19,12,22,µg/mc
"Parco S. Chiara",PM10,2014-12-19,13,18,µg/mc
"Parco S. Chiara",PM10,2014-12-19,14,18,µg/mc
"Parco S. Chiara",PM10,2014-12-19,15,18,µg/mc
"Parco S. Chiara",PM10,2014-12-19,16,20,µg/mc
"Parco S. Chiara",PM10,2014-12-19,17,26,µg/mc
"Parco S. Chiara",PM10,2014-12-19,18,32,µg/mc
"Parco S. Chiara",PM10,2014-12-19,19,33,µg/mc
"Parco S. Chiara",PM10,2014-12-19,20,33,µg/mc
"Parco S. Chiara",PM10,2014-12-19,21,35,µg/mc
"Parco S. Chiara",PM10,2014-12-19,22,40,µg/mc
"Parco S. Chiara",PM10,2014-12-19,23,39,µg/mc
"Parco S. Chiara",PM10,2014-12-19,24,35,µg/mc
"Parco S. Chiara",PM10,2014-12-20,1,36,µg/mc
"Parco S. Chiara",PM10,2014-12-20,2,36,µg/mc
"Parco S. Chiara",PM10,2014-12-20,3,35,µg/mc
"Parco S. Chiara",PM10,2014-12-20,4,30,µg/mc
"Parco S. Chiara",PM10,2014-12-20,5,28,µg/mc
"Parco S. Chiara",PM10,2014-12-20,6,24,µg/mc
"Parco S. Chiara",PM10,2014-12-20,7,23,µg/mc
"Parco S. Chiara",PM10,2014-12-20,8,23,µg/mc
"Parco S. Chiara",PM10,2014-12-20,9,24,µg/mc
"Parco S. Chiara",PM10,2014-12-20,10,24,µg/mc
"Parco S. Chiara",PM10,2014-12-20,11,23,µg/mc
"Parco S. Chiara",PM10,2014-12-20,12,20,µg/mc
"Parco S. Chiara",PM10,2014-12-20,13,25,µg/mc
"Parco S. Chiara",PM10,2014-12-20,14,21,µg/mc
"Parco S. Chiara",PM10,2014-12-20,15,20,µg/mc
"Parco S. Chiara",PM10,2014-12-20,16,31,µg/mc
"Parco S. Chiara",PM10,2014-12-20,17,36,µg/mc
"Parco S. Chiara",PM10,2014-12-20,18,36,µg/mc
"Parco S. Chiara",PM10,2014-12-20,19,35,µg/mc
"Parco S. Chiara",PM10,2014-12-20,20,34,µg/mc
"Parco S. Chiara",PM10,2014-12-20,21,33,µg/mc
