Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2022-05-08,1,12,µg/mc
"Parco S. Chiara",PM10,2022-05-08,2,11,µg/mc
"Parco S. Chiara",PM10,2022-05-08,3,10,µg/mc
"Parco S. Chiara",PM10,2022-05-08,4,10,µg/mc
"Parco S. Chiara",PM10,2022-05-08,5,10,µg/mc
"Parco S. Chiara",PM10,2022-05-08,6,12,µg/mc
"Parco S. Chiara",PM10,2022-05-08,7,11,µg/mc
"Parco S. Chiara",PM10,2022-05-08,8,11,µg/mc
"Parco S. Chiara",PM10,2022-05-08,9,12,µg/mc
"Parco S. Chiara",PM10,2022-05-08,10,13,µg/mc
"Parco S. Chiara",PM10,2022-05-08,11,14,µg/mc
"Parco S. Chiara",PM10,2022-05-08,12,12,µg/mc
"Parco S. Chiara",PM10,2022-05-08,13,11,µg/mc
"Parco S. Chiara",PM10,2022-05-08,14,8,µg/mc
"Parco S. Chiara",PM10,2022-05-08,15,7,µg/mc
"Parco S. Chiara",PM10,2022-05-08,16,7,µg/mc
"Parco S. Chiara",PM10,2022-05-08,17,7,µg/mc
"Parco S. Chiara",PM10,2022-05-08,18,8,µg/mc
"Parco S. Chiara",PM10,2022-05-08,19,9,µg/mc
"Parco S. Chiara",PM10,2022-05-08,20,12,µg/mc
"Parco S. Chiara",PM10,2022-05-08,21,13,µg/mc
"Parco S. Chiara",PM10,2022-05-08,22,13,µg/mc
"Parco S. Chiara",PM10,2022-05-08,23,13,µg/mc
"Parco S. Chiara",PM10,2022-05-08,24,13,µg/mc
"Parco S. Chiara",PM10,2022-05-09,1,14,µg/mc
"Parco S. Chiara",PM10,2022-05-09,2,17,µg/mc
"Parco S. Chiara",PM10,2022-05-09,3,16,µg/mc
"Parco S. Chiara",PM10,2022-05-09,4,15,µg/mc
"Parco S. Chiara",PM10,2022-05-09,5,14,µg/mc
"Parco S. Chiara",PM10,2022-05-09,6,14,µg/mc
"Parco S. Chiara",PM10,2022-05-09,7,14,µg/mc
"Parco S. Chiara",PM10,2022-05-09,8,11,µg/mc
"Parco S. Chiara",PM10,2022-05-09,9,11,µg/mc
"Parco S. Chiara",PM10,2022-05-09,10,9,µg/mc
"Parco S. Chiara",PM10,2022-05-09,11,9,µg/mc
"Parco S. Chiara",PM10,2022-05-09,12,9,µg/mc
"Parco S. Chiara",PM10,2022-05-09,13,10,µg/mc
"Parco S. Chiara",PM10,2022-05-09,14,10,µg/mc
"Parco S. Chiara",PM10,2022-05-09,15,11,µg/mc
"Parco S. Chiara",PM10,2022-05-09,16,14,µg/mc
"Parco S. Chiara",PM10,2022-05-09,17,20,µg/mc
"Parco S. Chiara",PM10,2022-05-09,18,20,µg/mc
"Parco S. Chiara",PM10,2022-05-09,19,18,µg/mc
"Parco S. Chiara",PM10,2022-05-09,20,20,µg/mc
"Parco S. Chiara",PM10,2022-05-09,21,22,µg/mc
"Parco S. Chiara",PM10,2022-05-09,22,21,µg/mc
"Parco S. Chiara",PM10,2022-05-09,23,21,µg/mc
"Parco S. Chiara",PM10,2022-05-09,24,21,µg/mc
"Parco S. Chiara",PM10,2022-05-10,1,21,µg/mc
"Parco S. Chiara",PM10,2022-05-10,2,19,µg/mc
"Parco S. Chiara",PM10,2022-05-10,3,20,µg/mc
"Parco S. Chiara",PM10,2022-05-10,4,20,µg/mc
"Parco S. Chiara",PM10,2022-05-10,5,21,µg/mc
"Parco S. Chiara",PM10,2022-05-10,6,21,µg/mc
"Parco S. Chiara",PM10,2022-05-10,7,33,µg/mc
"Parco S. Chiara",PM10,2022-05-10,8,21,µg/mc
"Parco S. Chiara",PM10,2022-05-10,9,19,µg/mc
"Parco S. Chiara",PM10,2022-05-10,10,18,µg/mc
"Parco S. Chiara",PM10,2022-05-10,11,16,µg/mc
"Parco S. Chiara",PM10,2022-05-10,12,15,µg/mc
"Parco S. Chiara",PM10,2022-05-10,13,16,µg/mc
"Parco S. Chiara",PM10,2022-05-10,14,15,µg/mc
"Parco S. Chiara",PM10,2022-05-10,15,17,µg/mc
"Parco S. Chiara",PM10,2022-05-10,16,18,µg/mc
"Parco S. Chiara",PM10,2022-05-10,17,18,µg/mc
"Parco S. Chiara",PM10,2022-05-10,18,21,µg/mc
"Parco S. Chiara",PM10,2022-05-10,19,24,µg/mc
"Parco S. Chiara",PM10,2022-05-10,20,26,µg/mc
"Parco S. Chiara",PM10,2022-05-10,21,26,µg/mc
"Parco S. Chiara",PM10,2022-05-10,22,26,µg/mc
"Parco S. Chiara",PM10,2022-05-10,23,27,µg/mc
"Parco S. Chiara",PM10,2022-05-10,24,27,µg/mc
"Parco S. Chiara",PM10,2022-05-11,1,27,µg/mc
"Parco S. Chiara",PM10,2022-05-11,2,29,µg/mc
"Parco S. Chiara",PM10,2022-05-11,3,29,µg/mc
"Parco S. Chiara",PM10,2022-05-11,4,29,µg/mc
"Parco S. Chiara",PM10,2022-05-11,5,28,µg/mc
"Parco S. Chiara",PM10,2022-05-11,6,28,µg/mc
"Parco S. Chiara",PM10,2022-05-11,7,28,µg/mc
"Parco S. Chiara",PM10,2022-05-11,8,23,µg/mc
"Parco S. Chiara",PM10,2022-05-11,9,22,µg/mc
"Parco S. Chiara",PM10,2022-05-11,10,21,µg/mc
"Parco S. Chiara",PM10,2022-05-11,11,18,µg/mc
"Parco S. Chiara",PM10,2022-05-11,12,20,µg/mc
"Parco S. Chiara",PM10,2022-05-11,13,22,µg/mc
"Parco S. Chiara",PM10,2022-05-11,14,20,µg/mc
"Parco S. Chiara",PM10,2022-05-11,15,22,µg/mc
"Parco S. Chiara",PM10,2022-05-11,16,21,µg/mc
"Parco S. Chiara",PM10,2022-05-11,17,22,µg/mc
"Parco S. Chiara",PM10,2022-05-11,18,23,µg/mc
"Parco S. Chiara",PM10,2022-05-11,19,26,µg/mc
"Parco S. Chiara",PM10,2022-05-11,20,28,µg/mc
"Parco S. Chiara",PM10,2022-05-11,21,28,µg/mc
"Parco S. Chiara",PM10,2022-05-11,22,27,µg/mc
"Parco S. Chiara",PM10,2022-05-11,23,29,µg/mc
"Parco S. Chiara",PM10,2022-05-11,24,28,µg/mc
"Parco S. Chiara",PM10,2022-05-12,1,30,µg/mc
"Parco S. Chiara",PM10,2022-05-12,2,30,µg/mc
"Parco S. Chiara",PM10,2022-05-12,3,29,µg/mc
"Parco S. Chiara",PM10,2022-05-12,4,29,µg/mc
"Parco S. Chiara",PM10,2022-05-12,5,29,µg/mc
"Parco S. Chiara",PM10,2022-05-12,6,29,µg/mc
"Parco S. Chiara",PM10,2022-05-12,7,29,µg/mc
"Parco S. Chiara",PM10,2022-05-12,8,27,µg/mc
"Parco S. Chiara",PM10,2022-05-12,9,27,µg/mc
"Parco S. Chiara",PM10,2022-05-12,10,23,µg/mc
"Parco S. Chiara",PM10,2022-05-12,11,22,µg/mc
"Parco S. Chiara",PM10,2022-05-12,12,20,µg/mc
"Parco S. Chiara",PM10,2022-05-12,13,17,µg/mc
"Parco S. Chiara",PM10,2022-05-12,14,16,µg/mc
"Parco S. Chiara",PM10,2022-05-12,15,19,µg/mc
"Parco S. Chiara",PM10,2022-05-12,16,22,µg/mc
"Parco S. Chiara",PM10,2022-05-12,17,21,µg/mc
"Parco S. Chiara",PM10,2022-05-12,18,21,µg/mc
"Parco S. Chiara",PM10,2022-05-12,19,22,µg/mc
"Parco S. Chiara",PM10,2022-05-12,20,22,µg/mc
"Parco S. Chiara",PM10,2022-05-12,21,25,µg/mc
"Parco S. Chiara",PM10,2022-05-12,22,27,µg/mc
"Parco S. Chiara",PM10,2022-05-12,23,29,µg/mc
"Parco S. Chiara",PM10,2022-05-12,24,31,µg/mc
"Parco S. Chiara",PM10,2022-05-13,1,31,µg/mc
"Parco S. Chiara",PM10,2022-05-13,2,32,µg/mc
"Parco S. Chiara",PM10,2022-05-13,3,32,µg/mc
"Parco S. Chiara",PM10,2022-05-13,4,31,µg/mc
"Parco S. Chiara",PM10,2022-05-13,5,32,µg/mc
"Parco S. Chiara",PM10,2022-05-13,6,32,µg/mc
"Parco S. Chiara",PM10,2022-05-13,7,32,µg/mc
"Parco S. Chiara",PM10,2022-05-13,8,29,µg/mc
"Parco S. Chiara",PM10,2022-05-13,9,28,µg/mc
"Parco S. Chiara",PM10,2022-05-13,10,26,µg/mc
"Parco S. Chiara",PM10,2022-05-13,11,23,µg/mc
"Parco S. Chiara",PM10,2022-05-13,12,20,µg/mc
"Parco S. Chiara",PM10,2022-05-13,13,18,µg/mc
"Parco S. Chiara",PM10,2022-05-13,14,18,µg/mc
"Parco S. Chiara",PM10,2022-05-13,15,25,µg/mc
"Parco S. Chiara",PM10,2022-05-13,16,32,µg/mc
"Parco S. Chiara",PM10,2022-05-13,17,34,µg/mc
"Parco S. Chiara",PM10,2022-05-13,18,29,µg/mc
"Parco S. Chiara",PM10,2022-05-13,19,29,µg/mc
"Parco S. Chiara",PM10,2022-05-13,20,34,µg/mc
"Parco S. Chiara",PM10,2022-05-13,21,41,µg/mc
"Parco S. Chiara",PM10,2022-05-13,22,31,µg/mc
"Parco S. Chiara",PM10,2022-05-13,23,25,µg/mc
"Parco S. Chiara",PM10,2022-05-13,24,26,µg/mc
"Parco S. Chiara",PM10,2022-05-14,1,25,µg/mc
"Parco S. Chiara",PM10,2022-05-14,2,26,µg/mc
