Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2012-04-30,1,24,µg/mc
"Parco S. Chiara",PM10,2012-04-30,2,24,µg/mc
"Parco S. Chiara",PM10,2012-04-30,3,40,µg/mc
"Parco S. Chiara",PM10,2012-04-30,4,22,µg/mc
"Parco S. Chiara",PM10,2012-04-30,5,22,µg/mc
"Parco S. Chiara",PM10,2012-04-30,6,21,µg/mc
"Parco S. Chiara",PM10,2012-04-30,7,21,µg/mc
"Parco S. Chiara",PM10,2012-04-30,8,23,µg/mc
"Parco S. Chiara",PM10,2012-04-30,9,20,µg/mc
"Parco S. Chiara",PM10,2012-04-30,10,19,µg/mc
"Parco S. Chiara",PM10,2012-04-30,11,20,µg/mc
"Parco S. Chiara",PM10,2012-04-30,12,20,µg/mc
"Parco S. Chiara",PM10,2012-04-30,13,17,µg/mc
"Parco S. Chiara",PM10,2012-04-30,14,16,µg/mc
"Parco S. Chiara",PM10,2012-04-30,15,20,µg/mc
"Parco S. Chiara",PM10,2012-04-30,16,26,µg/mc
"Parco S. Chiara",PM10,2012-04-30,17,29,µg/mc
"Parco S. Chiara",PM10,2012-04-30,18,31,µg/mc
"Parco S. Chiara",PM10,2012-04-30,19,39,µg/mc
"Parco S. Chiara",PM10,2012-04-30,20,65,µg/mc
"Parco S. Chiara",PM10,2012-04-30,21,43,µg/mc
"Parco S. Chiara",PM10,2012-04-30,22,29,µg/mc
"Parco S. Chiara",PM10,2012-04-30,23,40,µg/mc
"Parco S. Chiara",PM10,2012-04-30,24,26,µg/mc
"Parco S. Chiara",PM10,2012-05-01,1,22,µg/mc
"Parco S. Chiara",PM10,2012-05-01,2,17,µg/mc
"Parco S. Chiara",PM10,2012-05-01,3,16,µg/mc
"Parco S. Chiara",PM10,2012-05-01,4,14,µg/mc
"Parco S. Chiara",PM10,2012-05-01,5,12,µg/mc
"Parco S. Chiara",PM10,2012-05-01,6,12,µg/mc
"Parco S. Chiara",PM10,2012-05-01,7,11,µg/mc
"Parco S. Chiara",PM10,2012-05-01,8,16,µg/mc
"Parco S. Chiara",PM10,2012-05-01,9,14,µg/mc
"Parco S. Chiara",PM10,2012-05-01,10,15,µg/mc
"Parco S. Chiara",PM10,2012-05-01,11,16,µg/mc
"Parco S. Chiara",PM10,2012-05-01,12,14,µg/mc
"Parco S. Chiara",PM10,2012-05-01,13,11,µg/mc
"Parco S. Chiara",PM10,2012-05-01,14,9,µg/mc
"Parco S. Chiara",PM10,2012-05-01,15,7,µg/mc
"Parco S. Chiara",PM10,2012-05-01,16,6,µg/mc
"Parco S. Chiara",PM10,2012-05-01,17,8,µg/mc
"Parco S. Chiara",PM10,2012-05-01,18,10,µg/mc
"Parco S. Chiara",PM10,2012-05-01,19,12,µg/mc
"Parco S. Chiara",PM10,2012-05-01,20,18,µg/mc
"Parco S. Chiara",PM10,2012-05-01,21,24,µg/mc
"Parco S. Chiara",PM10,2012-05-01,22,28,µg/mc
"Parco S. Chiara",PM10,2012-05-01,23,32,µg/mc
"Parco S. Chiara",PM10,2012-05-01,24,33,µg/mc
"Parco S. Chiara",PM10,2012-05-02,1,29,µg/mc
"Parco S. Chiara",PM10,2012-05-02,2,27,µg/mc
"Parco S. Chiara",PM10,2012-05-02,3,23,µg/mc
"Parco S. Chiara",PM10,2012-05-02,4,20,µg/mc
"Parco S. Chiara",PM10,2012-05-02,5,18,µg/mc
"Parco S. Chiara",PM10,2012-05-02,6,17,µg/mc
"Parco S. Chiara",PM10,2012-05-02,7,16,µg/mc
"Parco S. Chiara",PM10,2012-05-02,8,17,µg/mc
"Parco S. Chiara",PM10,2012-05-02,9,19,µg/mc
"Parco S. Chiara",PM10,2012-05-02,10,25,µg/mc
"Parco S. Chiara",PM10,2012-05-02,11,16,µg/mc
"Parco S. Chiara",PM10,2012-05-02,12,11,µg/mc
"Parco S. Chiara",PM10,2012-05-02,13,11,µg/mc
"Parco S. Chiara",PM10,2012-05-02,14,10,µg/mc
"Parco S. Chiara",PM10,2012-05-02,15,7,µg/mc
"Parco S. Chiara",PM10,2012-05-02,16,8,µg/mc
"Parco S. Chiara",PM10,2012-05-02,17,7,µg/mc
"Parco S. Chiara",PM10,2012-05-02,18,7,µg/mc
"Parco S. Chiara",PM10,2012-05-02,19,7,µg/mc
"Parco S. Chiara",PM10,2012-05-02,20,10,µg/mc
"Parco S. Chiara",PM10,2012-05-02,21,11,µg/mc
"Parco S. Chiara",PM10,2012-05-02,22,12,µg/mc
"Parco S. Chiara",PM10,2012-05-02,23,15,µg/mc
"Parco S. Chiara",PM10,2012-05-02,24,16,µg/mc
"Parco S. Chiara",PM10,2012-05-03,1,16,µg/mc
"Parco S. Chiara",PM10,2012-05-03,2,16,µg/mc
"Parco S. Chiara",PM10,2012-05-03,3,16,µg/mc
"Parco S. Chiara",PM10,2012-05-03,4,16,µg/mc
"Parco S. Chiara",PM10,2012-05-03,5,17,µg/mc
"Parco S. Chiara",PM10,2012-05-03,6,18,µg/mc
"Parco S. Chiara",PM10,2012-05-03,7,23,µg/mc
"Parco S. Chiara",PM10,2012-05-03,8,21,µg/mc
"Parco S. Chiara",PM10,2012-05-03,9,19,µg/mc
"Parco S. Chiara",PM10,2012-05-03,10,20,µg/mc
"Parco S. Chiara",PM10,2012-05-03,11,16,µg/mc
"Parco S. Chiara",PM10,2012-05-03,12,17,µg/mc
"Parco S. Chiara",PM10,2012-05-03,13,13,µg/mc
"Parco S. Chiara",PM10,2012-05-03,14,21,µg/mc
