Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2012-06-29,1,35,µg/mc
"Parco S. Chiara",PM10,2012-06-29,2,36,µg/mc
"Parco S. Chiara",PM10,2012-06-29,3,36,µg/mc
"Parco S. Chiara",PM10,2012-06-29,4,34,µg/mc
"Parco S. Chiara",PM10,2012-06-29,5,35,µg/mc
"Parco S. Chiara",PM10,2012-06-29,6,35,µg/mc
"Parco S. Chiara",PM10,2012-06-29,7,35,µg/mc
"Parco S. Chiara",PM10,2012-06-29,8,36,µg/mc
"Parco S. Chiara",PM10,2012-06-29,9,46,µg/mc
"Parco S. Chiara",PM10,2012-06-29,10,44,µg/mc
"Parco S. Chiara",PM10,2012-06-29,11,41,µg/mc
"Parco S. Chiara",PM10,2012-06-29,12,44,µg/mc
"Parco S. Chiara",PM10,2012-06-29,13,23,µg/mc
"Parco S. Chiara",PM10,2012-06-29,14,19,µg/mc
"Parco S. Chiara",PM10,2012-06-29,15,16,µg/mc
"Parco S. Chiara",PM10,2012-06-29,16,17,µg/mc
"Parco S. Chiara",PM10,2012-06-29,17,15,µg/mc
"Parco S. Chiara",PM10,2012-06-29,18,17,µg/mc
"Parco S. Chiara",PM10,2012-06-29,19,16,µg/mc
"Parco S. Chiara",PM10,2012-06-29,20,17,µg/mc
"Parco S. Chiara",PM10,2012-06-29,21,22,µg/mc
"Parco S. Chiara",PM10,2012-06-29,22,37,µg/mc
"Parco S. Chiara",PM10,2012-06-29,23,41,µg/mc
"Parco S. Chiara",PM10,2012-06-29,24,41,µg/mc
"Parco S. Chiara",PM10,2012-06-30,1,38,µg/mc
"Parco S. Chiara",PM10,2012-06-30,2,40,µg/mc
"Parco S. Chiara",PM10,2012-06-30,3,41,µg/mc
"Parco S. Chiara",PM10,2012-06-30,4,39,µg/mc
"Parco S. Chiara",PM10,2012-06-30,5,39,µg/mc
"Parco S. Chiara",PM10,2012-06-30,6,41,µg/mc
"Parco S. Chiara",PM10,2012-06-30,7,40,µg/mc
"Parco S. Chiara",PM10,2012-06-30,8,41,µg/mc
"Parco S. Chiara",PM10,2012-06-30,9,37,µg/mc
"Parco S. Chiara",PM10,2012-06-30,10,34,µg/mc
"Parco S. Chiara",PM10,2012-06-30,11,27,µg/mc
"Parco S. Chiara",PM10,2012-06-30,12,20,µg/mc
"Parco S. Chiara",PM10,2012-06-30,13,17,µg/mc
"Parco S. Chiara",PM10,2012-06-30,14,16,µg/mc
"Parco S. Chiara",PM10,2012-06-30,15,19,µg/mc
"Parco S. Chiara",PM10,2012-06-30,16,22,µg/mc
"Parco S. Chiara",PM10,2012-06-30,17,26,µg/mc
"Parco S. Chiara",PM10,2012-06-30,18,31,µg/mc
"Parco S. Chiara",PM10,2012-06-30,19,38,µg/mc
"Parco S. Chiara",PM10,2012-06-30,20,44,µg/mc
"Parco S. Chiara",PM10,2012-06-30,21,40,µg/mc
"Parco S. Chiara",PM10,2012-06-30,22,45,µg/mc
"Parco S. Chiara",PM10,2012-06-30,23,52,µg/mc
"Parco S. Chiara",PM10,2012-06-30,24,56,µg/mc
"Parco S. Chiara",PM10,2012-07-01,1,57,µg/mc
"Parco S. Chiara",PM10,2012-07-01,2,55,µg/mc
"Parco S. Chiara",PM10,2012-07-01,3,55,µg/mc
"Parco S. Chiara",PM10,2012-07-01,4,55,µg/mc
"Parco S. Chiara",PM10,2012-07-01,5,55,µg/mc
"Parco S. Chiara",PM10,2012-07-01,6,51,µg/mc
"Parco S. Chiara",PM10,2012-07-01,7,48,µg/mc
"Parco S. Chiara",PM10,2012-07-01,8,45,µg/mc
"Parco S. Chiara",PM10,2012-07-01,9,43,µg/mc
"Parco S. Chiara",PM10,2012-07-01,10,42,µg/mc
"Parco S. Chiara",PM10,2012-07-01,11,36,µg/mc
"Parco S. Chiara",PM10,2012-07-01,12,29,µg/mc
"Parco S. Chiara",PM10,2012-07-01,13,26,µg/mc
"Parco S. Chiara",PM10,2012-07-01,14,23,µg/mc
"Parco S. Chiara",PM10,2012-07-01,15,22,µg/mc
"Parco S. Chiara",PM10,2012-07-01,16,28,µg/mc
"Parco S. Chiara",PM10,2012-07-01,17,31,µg/mc
"Parco S. Chiara",PM10,2012-07-01,18,34,µg/mc
"Parco S. Chiara",PM10,2012-07-01,19,37,µg/mc
"Parco S. Chiara",PM10,2012-07-01,20,38,µg/mc
"Parco S. Chiara",PM10,2012-07-01,21,47,µg/mc
"Parco S. Chiara",PM10,2012-07-01,22,55,µg/mc
"Parco S. Chiara",PM10,2012-07-01,23,56,µg/mc
"Parco S. Chiara",PM10,2012-07-01,24,60,µg/mc
"Parco S. Chiara",PM10,2012-07-02,1,59,µg/mc
"Parco S. Chiara",PM10,2012-07-02,2,56,µg/mc
"Parco S. Chiara",PM10,2012-07-02,3,55,µg/mc
"Parco S. Chiara",PM10,2012-07-02,4,55,µg/mc
"Parco S. Chiara",PM10,2012-07-02,5,55,µg/mc
"Parco S. Chiara",PM10,2012-07-02,6,55,µg/mc
"Parco S. Chiara",PM10,2012-07-02,7,56,µg/mc
"Parco S. Chiara",PM10,2012-07-02,8,55,µg/mc
"Parco S. Chiara",PM10,2012-07-02,9,51,µg/mc
"Parco S. Chiara",PM10,2012-07-02,10,46,µg/mc
"Parco S. Chiara",PM10,2012-07-02,11,44,µg/mc
"Parco S. Chiara",PM10,2012-07-02,12,40,µg/mc
"Parco S. Chiara",PM10,2012-07-02,13,37,µg/mc
"Parco S. Chiara",PM10,2012-07-02,14,37,µg/mc
"Parco S. Chiara",PM10,2012-07-02,15,36,µg/mc
"Parco S. Chiara",PM10,2012-07-02,16,36,µg/mc
