Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2016-02-09,1,34,µg/mc
"Parco S. Chiara",PM10,2016-02-09,2,36,µg/mc
"Parco S. Chiara",PM10,2016-02-09,3,33,µg/mc
"Parco S. Chiara",PM10,2016-02-09,4,32,µg/mc
"Parco S. Chiara",PM10,2016-02-09,5,31,µg/mc
"Parco S. Chiara",PM10,2016-02-09,6,29,µg/mc
"Parco S. Chiara",PM10,2016-02-09,7,26,µg/mc
"Parco S. Chiara",PM10,2016-02-09,8,28,µg/mc
"Parco S. Chiara",PM10,2016-02-09,9,28,µg/mc
"Parco S. Chiara",PM10,2016-02-09,10,28,µg/mc
"Parco S. Chiara",PM10,2016-02-09,11,31,µg/mc
"Parco S. Chiara",PM10,2016-02-09,12,31,µg/mc
"Parco S. Chiara",PM10,2016-02-09,13,32,µg/mc
"Parco S. Chiara",PM10,2016-02-09,14,36,µg/mc
"Parco S. Chiara",PM10,2016-02-09,15,34,µg/mc
"Parco S. Chiara",PM10,2016-02-09,16,28,µg/mc
"Parco S. Chiara",PM10,2016-02-09,17,23,µg/mc
"Parco S. Chiara",PM10,2016-02-09,18,19,µg/mc
"Parco S. Chiara",PM10,2016-02-09,19,20,µg/mc
"Parco S. Chiara",PM10,2016-02-09,20,17,µg/mc
"Parco S. Chiara",PM10,2016-02-09,21,10,µg/mc
"Parco S. Chiara",PM10,2016-02-09,22,6,µg/mc
"Parco S. Chiara",PM10,2016-02-09,23,5,µg/mc
"Parco S. Chiara",PM10,2016-02-09,24,3,µg/mc
"Parco S. Chiara",PM10,2016-02-10,1,3,µg/mc
"Parco S. Chiara",PM10,2016-02-10,2,4,µg/mc
"Parco S. Chiara",PM10,2016-02-10,3,5,µg/mc
"Parco S. Chiara",PM10,2016-02-10,4,6,µg/mc
"Parco S. Chiara",PM10,2016-02-10,5,7,µg/mc
"Parco S. Chiara",PM10,2016-02-10,6,3,µg/mc
"Parco S. Chiara",PM10,2016-02-10,7,1,µg/mc
"Parco S. Chiara",PM10,2016-02-10,8,2,µg/mc
"Parco S. Chiara",PM10,2016-02-10,9,2,µg/mc
"Parco S. Chiara",PM10,2016-02-10,10,2,µg/mc
"Parco S. Chiara",PM10,2016-02-10,11,2,µg/mc
