Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2018-07-28,1,24,µg/mc
"Parco S. Chiara",PM10,2018-07-28,2,24,µg/mc
"Parco S. Chiara",PM10,2018-07-28,3,19,µg/mc
"Parco S. Chiara",PM10,2018-07-28,4,20,µg/mc
"Parco S. Chiara",PM10,2018-07-28,5,19,µg/mc
"Parco S. Chiara",PM10,2018-07-28,6,18,µg/mc
"Parco S. Chiara",PM10,2018-07-28,7,17,µg/mc
"Parco S. Chiara",PM10,2018-07-28,8,15,µg/mc
"Parco S. Chiara",PM10,2018-07-28,9,15,µg/mc
"Parco S. Chiara",PM10,2018-07-28,10,13,µg/mc
"Parco S. Chiara",PM10,2018-07-28,11,11,µg/mc
"Parco S. Chiara",PM10,2018-07-28,12,7,µg/mc
"Parco S. Chiara",PM10,2018-07-28,13,5,µg/mc
"Parco S. Chiara",PM10,2018-07-28,14,5,µg/mc
"Parco S. Chiara",PM10,2018-07-28,15,7,µg/mc
"Parco S. Chiara",PM10,2018-07-28,16,13,µg/mc
"Parco S. Chiara",PM10,2018-07-28,17,12,µg/mc
"Parco S. Chiara",PM10,2018-07-28,18,14,µg/mc
"Parco S. Chiara",PM10,2018-07-28,19,21,µg/mc
"Parco S. Chiara",PM10,2018-07-28,20,23,µg/mc
"Parco S. Chiara",PM10,2018-07-28,21,21,µg/mc
"Parco S. Chiara",PM10,2018-07-28,22,16,µg/mc
"Parco S. Chiara",PM10,2018-07-28,23,17,µg/mc
"Parco S. Chiara",PM10,2018-07-28,24,19,µg/mc
"Parco S. Chiara",PM10,2018-07-29,1,18,µg/mc
"Parco S. Chiara",PM10,2018-07-29,2,19,µg/mc
"Parco S. Chiara",PM10,2018-07-29,3,23,µg/mc
"Parco S. Chiara",PM10,2018-07-29,4,25,µg/mc
"Parco S. Chiara",PM10,2018-07-29,5,23,µg/mc
"Parco S. Chiara",PM10,2018-07-29,6,23,µg/mc
