Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2013-08-23,1,26,µg/mc
"Parco S. Chiara",PM10,2013-08-23,2,26,µg/mc
"Parco S. Chiara",PM10,2013-08-23,3,25,µg/mc
"Parco S. Chiara",PM10,2013-08-23,4,23,µg/mc
"Parco S. Chiara",PM10,2013-08-23,5,23,µg/mc
"Parco S. Chiara",PM10,2013-08-23,6,23,µg/mc
"Parco S. Chiara",PM10,2013-08-23,7,23,µg/mc
"Parco S. Chiara",PM10,2013-08-23,8,23,µg/mc
"Parco S. Chiara",PM10,2013-08-23,9,22,µg/mc
"Parco S. Chiara",PM10,2013-08-23,10,21,µg/mc
"Parco S. Chiara",PM10,2013-08-23,11,20,µg/mc
"Parco S. Chiara",PM10,2013-08-23,12,18,µg/mc
"Parco S. Chiara",PM10,2013-08-23,13,17,µg/mc
"Parco S. Chiara",PM10,2013-08-23,14,14,µg/mc
"Parco S. Chiara",PM10,2013-08-23,15,9,µg/mc
"Parco S. Chiara",PM10,2013-08-23,16,10,µg/mc
"Parco S. Chiara",PM10,2013-08-23,17,14,µg/mc
"Parco S. Chiara",PM10,2013-08-23,18,20,µg/mc
"Parco S. Chiara",PM10,2013-08-23,19,27,µg/mc
"Parco S. Chiara",PM10,2013-08-23,20,30,µg/mc
"Parco S. Chiara",PM10,2013-08-23,21,30,µg/mc
"Parco S. Chiara",PM10,2013-08-23,22,27,µg/mc
"Parco S. Chiara",PM10,2013-08-23,23,25,µg/mc
"Parco S. Chiara",PM10,2013-08-23,24,24,µg/mc
"Parco S. Chiara",PM10,2013-08-24,1,25,µg/mc
"Parco S. Chiara",PM10,2013-08-24,2,24,µg/mc
"Parco S. Chiara",PM10,2013-08-24,3,26,µg/mc
"Parco S. Chiara",PM10,2013-08-24,4,25,µg/mc
"Parco S. Chiara",PM10,2013-08-24,5,23,µg/mc
"Parco S. Chiara",PM10,2013-08-24,6,20,µg/mc
"Parco S. Chiara",PM10,2013-08-24,7,18,µg/mc
"Parco S. Chiara",PM10,2013-08-24,8,13,µg/mc
"Parco S. Chiara",PM10,2013-08-24,9,12,µg/mc
"Parco S. Chiara",PM10,2013-08-24,10,11,µg/mc
"Parco S. Chiara",PM10,2013-08-24,11,9,µg/mc
"Parco S. Chiara",PM10,2013-08-24,12,6,µg/mc
"Parco S. Chiara",PM10,2013-08-24,13,5,µg/mc
"Parco S. Chiara",PM10,2013-08-24,14,4,µg/mc
"Parco S. Chiara",PM10,2013-08-24,15,3,µg/mc
"Parco S. Chiara",PM10,2013-08-24,16,4,µg/mc
"Parco S. Chiara",PM10,2013-08-24,17,11,µg/mc
"Parco S. Chiara",PM10,2013-08-24,18,18,µg/mc
"Parco S. Chiara",PM10,2013-08-24,19,21,µg/mc
"Parco S. Chiara",PM10,2013-08-24,20,21,µg/mc
"Parco S. Chiara",PM10,2013-08-24,21,21,µg/mc
"Parco S. Chiara",PM10,2013-08-24,22,23,µg/mc
"Parco S. Chiara",PM10,2013-08-24,23,25,µg/mc
