Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2022-03-09,1,28,µg/mc
"Parco S. Chiara",PM10,2022-03-09,2,28,µg/mc
"Parco S. Chiara",PM10,2022-03-09,3,29,µg/mc
"Parco S. Chiara",PM10,2022-03-09,4,29,µg/mc
"Parco S. Chiara",PM10,2022-03-09,5,30,µg/mc
"Parco S. Chiara",PM10,2022-03-09,6,32,µg/mc
"Parco S. Chiara",PM10,2022-03-09,7,34,µg/mc
"Parco S. Chiara",PM10,2022-03-09,8,37,µg/mc
"Parco S. Chiara",PM10,2022-03-09,9,38,µg/mc
"Parco S. Chiara",PM10,2022-03-09,10,34,µg/mc
"Parco S. Chiara",PM10,2022-03-09,11,31,µg/mc
"Parco S. Chiara",PM10,2022-03-09,12,27,µg/mc
"Parco S. Chiara",PM10,2022-03-09,13,27,µg/mc
"Parco S. Chiara",PM10,2022-03-09,14,26,µg/mc
"Parco S. Chiara",PM10,2022-03-09,15,26,µg/mc
"Parco S. Chiara",PM10,2022-03-09,16,26,µg/mc
"Parco S. Chiara",PM10,2022-03-09,17,31,µg/mc
"Parco S. Chiara",PM10,2022-03-09,18,38,µg/mc
"Parco S. Chiara",PM10,2022-03-09,19,37,µg/mc
"Parco S. Chiara",PM10,2022-03-09,20,39,µg/mc
"Parco S. Chiara",PM10,2022-03-09,21,42,µg/mc
"Parco S. Chiara",PM10,2022-03-09,22,40,µg/mc
"Parco S. Chiara",PM10,2022-03-09,23,37,µg/mc
"Parco S. Chiara",PM10,2022-03-09,24,36,µg/mc
"Parco S. Chiara",PM10,2022-03-10,1,35,µg/mc
"Parco S. Chiara",PM10,2022-03-10,2,35,µg/mc
"Parco S. Chiara",PM10,2022-03-10,3,36,µg/mc
"Parco S. Chiara",PM10,2022-03-10,4,34,µg/mc
"Parco S. Chiara",PM10,2022-03-10,5,32,µg/mc
"Parco S. Chiara",PM10,2022-03-10,6,30,µg/mc
"Parco S. Chiara",PM10,2022-03-10,7,30,µg/mc
"Parco S. Chiara",PM10,2022-03-10,8,31,µg/mc
"Parco S. Chiara",PM10,2022-03-10,9,28,µg/mc
"Parco S. Chiara",PM10,2022-03-10,10,24,µg/mc
"Parco S. Chiara",PM10,2022-03-10,11,22,µg/mc
"Parco S. Chiara",PM10,2022-03-10,12,18,µg/mc
"Parco S. Chiara",PM10,2022-03-10,13,17,µg/mc
"Parco S. Chiara",PM10,2022-03-10,14,16,µg/mc
"Parco S. Chiara",PM10,2022-03-10,15,13,µg/mc
"Parco S. Chiara",PM10,2022-03-10,16,20,µg/mc
"Parco S. Chiara",PM10,2022-03-10,17,31,µg/mc
"Parco S. Chiara",PM10,2022-03-10,18,40,µg/mc
"Parco S. Chiara",PM10,2022-03-10,19,45,µg/mc
"Parco S. Chiara",PM10,2022-03-10,20,47,µg/mc
"Parco S. Chiara",PM10,2022-03-10,21,50,µg/mc
"Parco S. Chiara",PM10,2022-03-10,22,50,µg/mc
"Parco S. Chiara",PM10,2022-03-10,23,50,µg/mc
"Parco S. Chiara",PM10,2022-03-10,24,47,µg/mc
"Parco S. Chiara",PM10,2022-03-11,1,44,µg/mc
"Parco S. Chiara",PM10,2022-03-11,2,44,µg/mc
"Parco S. Chiara",PM10,2022-03-11,3,45,µg/mc
"Parco S. Chiara",PM10,2022-03-11,4,45,µg/mc
"Parco S. Chiara",PM10,2022-03-11,5,45,µg/mc
"Parco S. Chiara",PM10,2022-03-11,6,44,µg/mc
"Parco S. Chiara",PM10,2022-03-11,7,44,µg/mc
"Parco S. Chiara",PM10,2022-03-11,8,46,µg/mc
"Parco S. Chiara",PM10,2022-03-11,9,50,µg/mc
"Parco S. Chiara",PM10,2022-03-11,10,50,µg/mc
"Parco S. Chiara",PM10,2022-03-11,11,48,µg/mc
"Parco S. Chiara",PM10,2022-03-11,12,48,µg/mc
"Parco S. Chiara",PM10,2022-03-11,13,47,µg/mc
"Parco S. Chiara",PM10,2022-03-11,14,42,µg/mc
"Parco S. Chiara",PM10,2022-03-11,15,37,µg/mc
"Parco S. Chiara",PM10,2022-03-11,16,31,µg/mc
"Parco S. Chiara",PM10,2022-03-11,17,27,µg/mc
"Parco S. Chiara",PM10,2022-03-11,18,25,µg/mc
"Parco S. Chiara",PM10,2022-03-11,19,24,µg/mc
"Parco S. Chiara",PM10,2022-03-11,20,25,µg/mc
"Parco S. Chiara",PM10,2022-03-11,21,25,µg/mc
"Parco S. Chiara",PM10,2022-03-11,22,25,µg/mc
"Parco S. Chiara",PM10,2022-03-11,23,26,µg/mc
"Parco S. Chiara",PM10,2022-03-11,24,27,µg/mc
"Parco S. Chiara",PM10,2022-03-12,1,26,µg/mc
"Parco S. Chiara",PM10,2022-03-12,2,26,µg/mc
"Parco S. Chiara",PM10,2022-03-12,3,25,µg/mc
"Parco S. Chiara",PM10,2022-03-12,4,23,µg/mc
"Parco S. Chiara",PM10,2022-03-12,5,27,µg/mc
"Parco S. Chiara",PM10,2022-03-12,6,31,µg/mc
"Parco S. Chiara",PM10,2022-03-12,7,28,µg/mc
"Parco S. Chiara",PM10,2022-03-12,8,30,µg/mc
"Parco S. Chiara",PM10,2022-03-12,9,25,µg/mc
"Parco S. Chiara",PM10,2022-03-12,10,23,µg/mc
"Parco S. Chiara",PM10,2022-03-12,11,23,µg/mc
"Parco S. Chiara",PM10,2022-03-12,12,24,µg/mc
"Parco S. Chiara",PM10,2022-03-12,13,26,µg/mc
"Parco S. Chiara",PM10,2022-03-12,14,31,µg/mc
"Parco S. Chiara",PM10,2022-03-12,15,30,µg/mc
"Parco S. Chiara",PM10,2022-03-12,16,29,µg/mc
"Parco S. Chiara",PM10,2022-03-12,17,29,µg/mc
"Parco S. Chiara",PM10,2022-03-12,18,29,µg/mc
"Parco S. Chiara",PM10,2022-03-12,19,31,µg/mc
"Parco S. Chiara",PM10,2022-03-12,20,33,µg/mc
"Parco S. Chiara",PM10,2022-03-12,21,34,µg/mc
"Parco S. Chiara",PM10,2022-03-12,22,34,µg/mc
"Parco S. Chiara",PM10,2022-03-12,23,34,µg/mc
"Parco S. Chiara",PM10,2022-03-12,24,34,µg/mc
"Parco S. Chiara",PM10,2022-03-13,1,34,µg/mc
"Parco S. Chiara",PM10,2022-03-13,2,33,µg/mc
"Parco S. Chiara",PM10,2022-03-13,3,32,µg/mc
"Parco S. Chiara",PM10,2022-03-13,4,31,µg/mc
"Parco S. Chiara",PM10,2022-03-13,5,31,µg/mc
"Parco S. Chiara",PM10,2022-03-13,6,30,µg/mc
"Parco S. Chiara",PM10,2022-03-13,7,29,µg/mc
"Parco S. Chiara",PM10,2022-03-13,8,31,µg/mc
"Parco S. Chiara",PM10,2022-03-13,9,32,µg/mc
"Parco S. Chiara",PM10,2022-03-13,10,30,µg/mc
"Parco S. Chiara",PM10,2022-03-13,11,27,µg/mc
"Parco S. Chiara",PM10,2022-03-13,12,22,µg/mc
"Parco S. Chiara",PM10,2022-03-13,13,18,µg/mc
"Parco S. Chiara",PM10,2022-03-13,14,14,µg/mc
"Parco S. Chiara",PM10,2022-03-13,15,16,µg/mc
"Parco S. Chiara",PM10,2022-03-13,16,17,µg/mc
"Parco S. Chiara",PM10,2022-03-13,17,16,µg/mc
"Parco S. Chiara",PM10,2022-03-13,18,16,µg/mc
"Parco S. Chiara",PM10,2022-03-13,19,15,µg/mc
"Parco S. Chiara",PM10,2022-03-13,20,15,µg/mc
"Parco S. Chiara",PM10,2022-03-13,21,16,µg/mc
"Parco S. Chiara",PM10,2022-03-13,22,18,µg/mc
"Parco S. Chiara",PM10,2022-03-13,23,19,µg/mc
"Parco S. Chiara",PM10,2022-03-13,24,19,µg/mc
"Parco S. Chiara",PM10,2022-03-14,1,18,µg/mc
"Parco S. Chiara",PM10,2022-03-14,2,19,µg/mc
"Parco S. Chiara",PM10,2022-03-14,3,19,µg/mc
"Parco S. Chiara",PM10,2022-03-14,4,18,µg/mc
"Parco S. Chiara",PM10,2022-03-14,5,18,µg/mc
"Parco S. Chiara",PM10,2022-03-14,6,18,µg/mc
"Parco S. Chiara",PM10,2022-03-14,7,19,µg/mc
"Parco S. Chiara",PM10,2022-03-14,8,21,µg/mc
"Parco S. Chiara",PM10,2022-03-14,9,22,µg/mc
"Parco S. Chiara",PM10,2022-03-14,10,22,µg/mc
"Parco S. Chiara",PM10,2022-03-14,11,21,µg/mc
"Parco S. Chiara",PM10,2022-03-14,12,20,µg/mc
"Parco S. Chiara",PM10,2022-03-14,13,20,µg/mc
"Parco S. Chiara",PM10,2022-03-14,14,19,µg/mc
"Parco S. Chiara",PM10,2022-03-14,15,19,µg/mc
"Parco S. Chiara",PM10,2022-03-14,16,20,µg/mc
"Parco S. Chiara",PM10,2022-03-14,17,28,µg/mc
"Parco S. Chiara",PM10,2022-03-14,18,35,µg/mc
"Parco S. Chiara",PM10,2022-03-14,19,38,µg/mc
"Parco S. Chiara",PM10,2022-03-14,20,40,µg/mc
"Parco S. Chiara",PM10,2022-03-14,21,43,µg/mc
"Parco S. Chiara",PM10,2022-03-14,22,47,µg/mc
"Parco S. Chiara",PM10,2022-03-14,23,46,µg/mc
"Parco S. Chiara",PM10,2022-03-14,24,45,µg/mc
"Parco S. Chiara",PM10,2022-03-15,1,45,µg/mc
"Parco S. Chiara",PM10,2022-03-15,2,45,µg/mc
"Parco S. Chiara",PM10,2022-03-15,3,45,µg/mc
"Parco S. Chiara",PM10,2022-03-15,4,46,µg/mc
"Parco S. Chiara",PM10,2022-03-15,5,49,µg/mc
"Parco S. Chiara",PM10,2022-03-15,6,51,µg/mc
"Parco S. Chiara",PM10,2022-03-15,7,52,µg/mc
