Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2012-08-28,1,12,µg/mc
"Parco S. Chiara",PM10,2012-08-28,2,12,µg/mc
"Parco S. Chiara",PM10,2012-08-28,3,15,µg/mc
"Parco S. Chiara",PM10,2012-08-28,4,18,µg/mc
"Parco S. Chiara",PM10,2012-08-28,5,17,µg/mc
"Parco S. Chiara",PM10,2012-08-28,6,22,µg/mc
"Parco S. Chiara",PM10,2012-08-28,7,19,µg/mc
"Parco S. Chiara",PM10,2012-08-28,8,21,µg/mc
"Parco S. Chiara",PM10,2012-08-28,9,23,µg/mc
"Parco S. Chiara",PM10,2012-08-28,10,25,µg/mc
"Parco S. Chiara",PM10,2012-08-28,11,20,µg/mc
"Parco S. Chiara",PM10,2012-08-28,12,14,µg/mc
"Parco S. Chiara",PM10,2012-08-28,13,15,µg/mc
"Parco S. Chiara",PM10,2012-08-28,14,15,µg/mc
"Parco S. Chiara",PM10,2012-08-28,15,16,µg/mc
"Parco S. Chiara",PM10,2012-08-28,16,20,µg/mc
"Parco S. Chiara",PM10,2012-08-28,17,20,µg/mc
"Parco S. Chiara",PM10,2012-08-28,18,22,µg/mc
"Parco S. Chiara",PM10,2012-08-28,19,24,µg/mc
"Parco S. Chiara",PM10,2012-08-28,20,23,µg/mc
"Parco S. Chiara",PM10,2012-08-28,21,24,µg/mc
"Parco S. Chiara",PM10,2012-08-28,22,24,µg/mc
"Parco S. Chiara",PM10,2012-08-28,23,23,µg/mc
"Parco S. Chiara",PM10,2012-08-28,24,24,µg/mc
"Parco S. Chiara",PM10,2012-08-29,1,21,µg/mc
"Parco S. Chiara",PM10,2012-08-29,2,21,µg/mc
"Parco S. Chiara",PM10,2012-08-29,3,23,µg/mc
"Parco S. Chiara",PM10,2012-08-29,4,20,µg/mc
"Parco S. Chiara",PM10,2012-08-29,5,20,µg/mc
"Parco S. Chiara",PM10,2012-08-29,6,20,µg/mc
"Parco S. Chiara",PM10,2012-08-29,7,20,µg/mc
"Parco S. Chiara",PM10,2012-08-29,8,21,µg/mc
"Parco S. Chiara",PM10,2012-08-29,9,24,µg/mc
"Parco S. Chiara",PM10,2012-08-29,10,21,µg/mc
"Parco S. Chiara",PM10,2012-08-29,11,17,µg/mc
"Parco S. Chiara",PM10,2012-08-29,12,18,µg/mc
"Parco S. Chiara",PM10,2012-08-29,13,15,µg/mc
"Parco S. Chiara",PM10,2012-08-29,14,14,µg/mc
"Parco S. Chiara",PM10,2012-08-29,15,12,µg/mc
"Parco S. Chiara",PM10,2012-08-29,16,10,µg/mc
"Parco S. Chiara",PM10,2012-08-29,17,19,µg/mc
"Parco S. Chiara",PM10,2012-08-29,18,24,µg/mc
"Parco S. Chiara",PM10,2012-08-29,19,24,µg/mc
"Parco S. Chiara",PM10,2012-08-29,20,28,µg/mc
"Parco S. Chiara",PM10,2012-08-29,21,32,µg/mc
"Parco S. Chiara",PM10,2012-08-29,22,29,µg/mc
"Parco S. Chiara",PM10,2012-08-29,23,24,µg/mc
"Parco S. Chiara",PM10,2012-08-29,24,24,µg/mc
"Parco S. Chiara",PM10,2012-08-30,1,23,µg/mc
"Parco S. Chiara",PM10,2012-08-30,2,25,µg/mc
"Parco S. Chiara",PM10,2012-08-30,3,24,µg/mc
"Parco S. Chiara",PM10,2012-08-30,4,24,µg/mc
"Parco S. Chiara",PM10,2012-08-30,5,26,µg/mc
"Parco S. Chiara",PM10,2012-08-30,6,26,µg/mc
"Parco S. Chiara",PM10,2012-08-30,7,25,µg/mc
"Parco S. Chiara",PM10,2012-08-30,8,28,µg/mc
"Parco S. Chiara",PM10,2012-08-30,9,31,µg/mc
"Parco S. Chiara",PM10,2012-08-30,10,28,µg/mc
"Parco S. Chiara",PM10,2012-08-30,11,25,µg/mc
"Parco S. Chiara",PM10,2012-08-30,12,23,µg/mc
"Parco S. Chiara",PM10,2012-08-30,13,21,µg/mc
"Parco S. Chiara",PM10,2012-08-30,14,18,µg/mc
"Parco S. Chiara",PM10,2012-08-30,15,23,µg/mc
"Parco S. Chiara",PM10,2012-08-30,16,21,µg/mc
"Parco S. Chiara",PM10,2012-08-30,17,20,µg/mc
"Parco S. Chiara",PM10,2012-08-30,18,23,µg/mc
"Parco S. Chiara",PM10,2012-08-30,19,28,µg/mc
"Parco S. Chiara",PM10,2012-08-30,20,27,µg/mc
"Parco S. Chiara",PM10,2012-08-30,21,29,µg/mc
"Parco S. Chiara",PM10,2012-08-30,22,29,µg/mc
"Parco S. Chiara",PM10,2012-08-30,23,41,µg/mc
"Parco S. Chiara",PM10,2012-08-30,24,46,µg/mc
"Parco S. Chiara",PM10,2012-08-31,1,45,µg/mc
"Parco S. Chiara",PM10,2012-08-31,2,67,µg/mc
"Parco S. Chiara",PM10,2012-08-31,3,74,µg/mc
"Parco S. Chiara",PM10,2012-08-31,4,70,µg/mc
"Parco S. Chiara",PM10,2012-08-31,5,62,µg/mc
"Parco S. Chiara",PM10,2012-08-31,6,28,µg/mc
"Parco S. Chiara",PM10,2012-08-31,7,7,µg/mc
"Parco S. Chiara",PM10,2012-08-31,8,6,µg/mc
"Parco S. Chiara",PM10,2012-08-31,9,7,µg/mc
"Parco S. Chiara",PM10,2012-08-31,10,7,µg/mc
"Parco S. Chiara",PM10,2012-08-31,11,8,µg/mc
"Parco S. Chiara",PM10,2012-08-31,12,6,µg/mc
"Parco S. Chiara",PM10,2012-08-31,13,6,µg/mc
"Parco S. Chiara",PM10,2012-08-31,14,6,µg/mc
"Parco S. Chiara",PM10,2012-08-31,15,6,µg/mc
"Parco S. Chiara",PM10,2012-08-31,16,6,µg/mc
"Parco S. Chiara",PM10,2012-08-31,17,6,µg/mc
"Parco S. Chiara",PM10,2012-08-31,18,4,µg/mc
"Parco S. Chiara",PM10,2012-08-31,19,3,µg/mc
"Parco S. Chiara",PM10,2012-08-31,20,3,µg/mc
"Parco S. Chiara",PM10,2012-08-31,21,3,µg/mc
"Parco S. Chiara",PM10,2012-08-31,22,3,µg/mc
"Parco S. Chiara",PM10,2012-08-31,23,3,µg/mc
"Parco S. Chiara",PM10,2012-08-31,24,3,µg/mc
"Parco S. Chiara",PM10,2012-09-01,1,3,µg/mc
"Parco S. Chiara",PM10,2012-09-01,2,3,µg/mc
"Parco S. Chiara",PM10,2012-09-01,3,4,µg/mc
