Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-03-25,1,30,µg/mc
"Parco S. Chiara",PM10,2019-03-25,2,27,µg/mc
"Parco S. Chiara",PM10,2019-03-25,3,23,µg/mc
"Parco S. Chiara",PM10,2019-03-25,4,22,µg/mc
"Parco S. Chiara",PM10,2019-03-25,5,21,µg/mc
"Parco S. Chiara",PM10,2019-03-25,6,19,µg/mc
"Parco S. Chiara",PM10,2019-03-25,7,19,µg/mc
"Parco S. Chiara",PM10,2019-03-25,8,18,µg/mc
"Parco S. Chiara",PM10,2019-03-25,9,15,µg/mc
"Parco S. Chiara",PM10,2019-03-25,10,14,µg/mc
"Parco S. Chiara",PM10,2019-03-25,11,11,µg/mc
"Parco S. Chiara",PM10,2019-03-25,12,10,µg/mc
"Parco S. Chiara",PM10,2019-03-25,13,8,µg/mc
"Parco S. Chiara",PM10,2019-03-25,14,7,µg/mc
"Parco S. Chiara",PM10,2019-03-25,15,8,µg/mc
"Parco S. Chiara",PM10,2019-03-25,16,8,µg/mc
"Parco S. Chiara",PM10,2019-03-25,17,9,µg/mc
"Parco S. Chiara",PM10,2019-03-25,18,7,µg/mc
"Parco S. Chiara",PM10,2019-03-25,19,9,µg/mc
"Parco S. Chiara",PM10,2019-03-25,20,9,µg/mc
"Parco S. Chiara",PM10,2019-03-25,21,7,µg/mc
"Parco S. Chiara",PM10,2019-03-25,22,6,µg/mc
"Parco S. Chiara",PM10,2019-03-25,23,5,µg/mc
"Parco S. Chiara",PM10,2019-03-25,24,5,µg/mc
"Parco S. Chiara",PM10,2019-03-26,1,4,µg/mc
"Parco S. Chiara",PM10,2019-03-26,2,4,µg/mc
"Parco S. Chiara",PM10,2019-03-26,3,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,4,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,5,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,6,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,7,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,8,4,µg/mc
"Parco S. Chiara",PM10,2019-03-26,9,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,10,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,11,2,µg/mc
"Parco S. Chiara",PM10,2019-03-26,12,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,13,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,14,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,15,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,16,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,17,3,µg/mc
"Parco S. Chiara",PM10,2019-03-26,18,4,µg/mc
"Parco S. Chiara",PM10,2019-03-26,19,4,µg/mc
"Parco S. Chiara",PM10,2019-03-26,20,5,µg/mc
"Parco S. Chiara",PM10,2019-03-26,21,5,µg/mc
"Parco S. Chiara",PM10,2019-03-26,22,5,µg/mc
"Parco S. Chiara",PM10,2019-03-26,23,6,µg/mc
"Parco S. Chiara",PM10,2019-03-26,24,5,µg/mc
"Parco S. Chiara",PM10,2019-03-27,1,6,µg/mc
"Parco S. Chiara",PM10,2019-03-27,2,8,µg/mc
"Parco S. Chiara",PM10,2019-03-27,3,8,µg/mc
"Parco S. Chiara",PM10,2019-03-27,4,8,µg/mc
"Parco S. Chiara",PM10,2019-03-27,5,8,µg/mc
"Parco S. Chiara",PM10,2019-03-27,6,7,µg/mc
"Parco S. Chiara",PM10,2019-03-27,7,8,µg/mc
"Parco S. Chiara",PM10,2019-03-27,8,9,µg/mc
"Parco S. Chiara",PM10,2019-03-27,9,9,µg/mc
"Parco S. Chiara",PM10,2019-03-27,10,8,µg/mc
"Parco S. Chiara",PM10,2019-03-27,11,6,µg/mc
"Parco S. Chiara",PM10,2019-03-27,12,6,µg/mc
"Parco S. Chiara",PM10,2019-03-27,13,5,µg/mc
"Parco S. Chiara",PM10,2019-03-27,14,5,µg/mc
"Parco S. Chiara",PM10,2019-03-27,15,7,µg/mc
"Parco S. Chiara",PM10,2019-03-27,16,11,µg/mc
"Parco S. Chiara",PM10,2019-03-27,17,12,µg/mc
