Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2021-05-13,1,5,µg/mc
"Parco S. Chiara",PM10,2021-05-13,2,4,µg/mc
"Parco S. Chiara",PM10,2021-05-13,3,6,µg/mc
"Parco S. Chiara",PM10,2021-05-13,4,6,µg/mc
"Parco S. Chiara",PM10,2021-05-13,5,8,µg/mc
"Parco S. Chiara",PM10,2021-05-13,6,10,µg/mc
"Parco S. Chiara",PM10,2021-05-13,7,11,µg/mc
"Parco S. Chiara",PM10,2021-05-13,8,10,µg/mc
"Parco S. Chiara",PM10,2021-05-13,9,9,µg/mc
"Parco S. Chiara",PM10,2021-05-13,10,8,µg/mc
"Parco S. Chiara",PM10,2021-05-13,11,8,µg/mc
"Parco S. Chiara",PM10,2021-05-13,12,6,µg/mc
"Parco S. Chiara",PM10,2021-05-13,13,4,µg/mc
"Parco S. Chiara",PM10,2021-05-13,14,4,µg/mc
"Parco S. Chiara",PM10,2021-05-13,15,4,µg/mc
"Parco S. Chiara",PM10,2021-05-13,16,3,µg/mc
"Parco S. Chiara",PM10,2021-05-13,17,2,µg/mc
"Parco S. Chiara",PM10,2021-05-13,18,1,µg/mc
"Parco S. Chiara",PM10,2021-05-13,19,0,µg/mc
"Parco S. Chiara",PM10,2021-05-13,20,2,µg/mc
"Parco S. Chiara",PM10,2021-05-13,21,4,µg/mc
"Parco S. Chiara",PM10,2021-05-13,22,6,µg/mc
"Parco S. Chiara",PM10,2021-05-13,23,6,µg/mc
"Parco S. Chiara",PM10,2021-05-13,24,4,µg/mc
"Parco S. Chiara",PM10,2021-05-14,1,4,µg/mc
"Parco S. Chiara",PM10,2021-05-14,2,5,µg/mc
"Parco S. Chiara",PM10,2021-05-14,3,5,µg/mc
"Parco S. Chiara",PM10,2021-05-14,4,7,µg/mc
"Parco S. Chiara",PM10,2021-05-14,5,8,µg/mc
"Parco S. Chiara",PM10,2021-05-14,6,9,µg/mc
"Parco S. Chiara",PM10,2021-05-14,7,9,µg/mc
