Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2020-01-19,1,12,µg/mc
"Parco S. Chiara",PM10,2020-01-19,2,11,µg/mc
"Parco S. Chiara",PM10,2020-01-19,3,9,µg/mc
"Parco S. Chiara",PM10,2020-01-19,4,9,µg/mc
"Parco S. Chiara",PM10,2020-01-19,5,8,µg/mc
"Parco S. Chiara",PM10,2020-01-19,6,8,µg/mc
"Parco S. Chiara",PM10,2020-01-19,7,7,µg/mc
"Parco S. Chiara",PM10,2020-01-19,8,8,µg/mc
"Parco S. Chiara",PM10,2020-01-19,9,8,µg/mc
"Parco S. Chiara",PM10,2020-01-19,10,8,µg/mc
"Parco S. Chiara",PM10,2020-01-19,11,7,µg/mc
"Parco S. Chiara",PM10,2020-01-19,12,6,µg/mc
"Parco S. Chiara",PM10,2020-01-19,13,4,µg/mc
"Parco S. Chiara",PM10,2020-01-19,14,4,µg/mc
"Parco S. Chiara",PM10,2020-01-19,15,4,µg/mc
"Parco S. Chiara",PM10,2020-01-19,16,4,µg/mc
"Parco S. Chiara",PM10,2020-01-19,17,4,µg/mc
"Parco S. Chiara",PM10,2020-01-19,18,4,µg/mc
"Parco S. Chiara",PM10,2020-01-19,19,4,µg/mc
"Parco S. Chiara",PM10,2020-01-19,20,5,µg/mc
"Parco S. Chiara",PM10,2020-01-19,21,5,µg/mc
"Parco S. Chiara",PM10,2020-01-19,22,5,µg/mc
"Parco S. Chiara",PM10,2020-01-19,23,5,µg/mc
"Parco S. Chiara",PM10,2020-01-19,24,5,µg/mc
"Parco S. Chiara",PM10,2020-01-20,1,7,µg/mc
"Parco S. Chiara",PM10,2020-01-20,2,8,µg/mc
"Parco S. Chiara",PM10,2020-01-20,3,8,µg/mc
"Parco S. Chiara",PM10,2020-01-20,4,8,µg/mc
"Parco S. Chiara",PM10,2020-01-20,5,8,µg/mc
"Parco S. Chiara",PM10,2020-01-20,6,7,µg/mc
"Parco S. Chiara",PM10,2020-01-20,7,7,µg/mc
"Parco S. Chiara",PM10,2020-01-20,8,8,µg/mc
"Parco S. Chiara",PM10,2020-01-20,9,10,µg/mc
"Parco S. Chiara",PM10,2020-01-20,10,11,µg/mc
"Parco S. Chiara",PM10,2020-01-20,11,9,µg/mc
"Parco S. Chiara",PM10,2020-01-20,12,9,µg/mc
"Parco S. Chiara",PM10,2020-01-20,13,7,µg/mc
"Parco S. Chiara",PM10,2020-01-20,14,8,µg/mc
"Parco S. Chiara",PM10,2020-01-20,15,8,µg/mc
"Parco S. Chiara",PM10,2020-01-20,16,13,µg/mc
"Parco S. Chiara",PM10,2020-01-20,17,18,µg/mc
"Parco S. Chiara",PM10,2020-01-20,18,23,µg/mc
"Parco S. Chiara",PM10,2020-01-20,19,25,µg/mc
"Parco S. Chiara",PM10,2020-01-20,20,30,µg/mc
"Parco S. Chiara",PM10,2020-01-20,21,29,µg/mc
"Parco S. Chiara",PM10,2020-01-20,22,29,µg/mc
"Parco S. Chiara",PM10,2020-01-20,23,31,µg/mc
"Parco S. Chiara",PM10,2020-01-20,24,30,µg/mc
"Parco S. Chiara",PM10,2020-01-21,1,27,µg/mc
