Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2016-10-06,1,6,µg/mc
"Parco S. Chiara",PM10,2016-10-06,2,7,µg/mc
"Parco S. Chiara",PM10,2016-10-06,3,6,µg/mc
"Parco S. Chiara",PM10,2016-10-06,4,7,µg/mc
"Parco S. Chiara",PM10,2016-10-06,5,7,µg/mc
"Parco S. Chiara",PM10,2016-10-06,6,7,µg/mc
"Parco S. Chiara",PM10,2016-10-06,7,7,µg/mc
"Parco S. Chiara",PM10,2016-10-06,8,8,µg/mc
"Parco S. Chiara",PM10,2016-10-06,9,7,µg/mc
"Parco S. Chiara",PM10,2016-10-06,10,6,µg/mc
"Parco S. Chiara",PM10,2016-10-06,11,3,µg/mc
"Parco S. Chiara",PM10,2016-10-06,12,2,µg/mc
"Parco S. Chiara",PM10,2016-10-06,13,2,µg/mc
"Parco S. Chiara",PM10,2016-10-06,14,3,µg/mc
"Parco S. Chiara",PM10,2016-10-06,15,5,µg/mc
"Parco S. Chiara",PM10,2016-10-06,16,6,µg/mc
"Parco S. Chiara",PM10,2016-10-06,17,8,µg/mc
"Parco S. Chiara",PM10,2016-10-06,18,9,µg/mc
"Parco S. Chiara",PM10,2016-10-06,19,11,µg/mc
"Parco S. Chiara",PM10,2016-10-06,20,14,µg/mc
"Parco S. Chiara",PM10,2016-10-06,21,14,µg/mc
"Parco S. Chiara",PM10,2016-10-06,22,14,µg/mc
"Parco S. Chiara",PM10,2016-10-06,23,13,µg/mc
"Parco S. Chiara",PM10,2016-10-06,24,13,µg/mc
"Parco S. Chiara",PM10,2016-10-07,1,12,µg/mc
"Parco S. Chiara",PM10,2016-10-07,2,12,µg/mc
"Parco S. Chiara",PM10,2016-10-07,3,12,µg/mc
"Parco S. Chiara",PM10,2016-10-07,4,12,µg/mc
"Parco S. Chiara",PM10,2016-10-07,5,10,µg/mc
"Parco S. Chiara",PM10,2016-10-07,6,9,µg/mc
"Parco S. Chiara",PM10,2016-10-07,7,9,µg/mc
"Parco S. Chiara",PM10,2016-10-07,8,10,µg/mc
