Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2016-12-05,1,23,µg/mc
"Parco S. Chiara",PM10,2016-12-05,2,21,µg/mc
"Parco S. Chiara",PM10,2016-12-05,3,19,µg/mc
"Parco S. Chiara",PM10,2016-12-05,4,20,µg/mc
"Parco S. Chiara",PM10,2016-12-05,5,20,µg/mc
"Parco S. Chiara",PM10,2016-12-05,6,19,µg/mc
"Parco S. Chiara",PM10,2016-12-05,7,19,µg/mc
"Parco S. Chiara",PM10,2016-12-05,8,20,µg/mc
"Parco S. Chiara",PM10,2016-12-05,9,22,µg/mc
"Parco S. Chiara",PM10,2016-12-05,10,22,µg/mc
"Parco S. Chiara",PM10,2016-12-05,11,21,µg/mc
"Parco S. Chiara",PM10,2016-12-05,12,17,µg/mc
"Parco S. Chiara",PM10,2016-12-05,13,14,µg/mc
"Parco S. Chiara",PM10,2016-12-05,14,14,µg/mc
"Parco S. Chiara",PM10,2016-12-05,15,13,µg/mc
"Parco S. Chiara",PM10,2016-12-05,16,14,µg/mc
"Parco S. Chiara",PM10,2016-12-05,17,20,µg/mc
"Parco S. Chiara",PM10,2016-12-05,18,28,µg/mc
"Parco S. Chiara",PM10,2016-12-05,19,37,µg/mc
"Parco S. Chiara",PM10,2016-12-05,20,36,µg/mc
"Parco S. Chiara",PM10,2016-12-05,21,36,µg/mc
"Parco S. Chiara",PM10,2016-12-05,22,35,µg/mc
"Parco S. Chiara",PM10,2016-12-05,23,32,µg/mc
"Parco S. Chiara",PM10,2016-12-05,24,32,µg/mc
"Parco S. Chiara",PM10,2016-12-06,1,27,µg/mc
"Parco S. Chiara",PM10,2016-12-06,2,24,µg/mc
"Parco S. Chiara",PM10,2016-12-06,3,22,µg/mc
"Parco S. Chiara",PM10,2016-12-06,4,19,µg/mc
"Parco S. Chiara",PM10,2016-12-06,5,18,µg/mc
"Parco S. Chiara",PM10,2016-12-06,6,17,µg/mc
"Parco S. Chiara",PM10,2016-12-06,7,17,µg/mc
"Parco S. Chiara",PM10,2016-12-06,8,22,µg/mc
"Parco S. Chiara",PM10,2016-12-06,9,23,µg/mc
"Parco S. Chiara",PM10,2016-12-06,10,21,µg/mc
"Parco S. Chiara",PM10,2016-12-06,11,18,µg/mc
"Parco S. Chiara",PM10,2016-12-06,12,17,µg/mc
"Parco S. Chiara",PM10,2016-12-06,13,14,µg/mc
"Parco S. Chiara",PM10,2016-12-06,14,12,µg/mc
"Parco S. Chiara",PM10,2016-12-06,15,13,µg/mc
"Parco S. Chiara",PM10,2016-12-06,16,14,µg/mc
"Parco S. Chiara",PM10,2016-12-06,17,22,µg/mc
"Parco S. Chiara",PM10,2016-12-06,18,27,µg/mc
"Parco S. Chiara",PM10,2016-12-06,19,32,µg/mc
"Parco S. Chiara",PM10,2016-12-06,20,36,µg/mc
"Parco S. Chiara",PM10,2016-12-06,21,42,µg/mc
"Parco S. Chiara",PM10,2016-12-06,22,39,µg/mc
"Parco S. Chiara",PM10,2016-12-06,23,36,µg/mc
"Parco S. Chiara",PM10,2016-12-06,24,33,µg/mc
"Parco S. Chiara",PM10,2016-12-07,1,27,µg/mc
"Parco S. Chiara",PM10,2016-12-07,2,27,µg/mc
"Parco S. Chiara",PM10,2016-12-07,3,25,µg/mc
"Parco S. Chiara",PM10,2016-12-07,4,23,µg/mc
"Parco S. Chiara",PM10,2016-12-07,5,20,µg/mc
"Parco S. Chiara",PM10,2016-12-07,6,20,µg/mc
"Parco S. Chiara",PM10,2016-12-07,7,19,µg/mc
"Parco S. Chiara",PM10,2016-12-07,8,19,µg/mc
"Parco S. Chiara",PM10,2016-12-07,9,22,µg/mc
"Parco S. Chiara",PM10,2016-12-07,10,24,µg/mc
"Parco S. Chiara",PM10,2016-12-07,11,21,µg/mc
"Parco S. Chiara",PM10,2016-12-07,12,17,µg/mc
"Parco S. Chiara",PM10,2016-12-07,13,15,µg/mc
"Parco S. Chiara",PM10,2016-12-07,14,14,µg/mc
"Parco S. Chiara",PM10,2016-12-07,15,15,µg/mc
"Parco S. Chiara",PM10,2016-12-07,16,18,µg/mc
"Parco S. Chiara",PM10,2016-12-07,17,24,µg/mc
"Parco S. Chiara",PM10,2016-12-07,18,32,µg/mc
"Parco S. Chiara",PM10,2016-12-07,19,34,µg/mc
"Parco S. Chiara",PM10,2016-12-07,20,39,µg/mc
"Parco S. Chiara",PM10,2016-12-07,21,46,µg/mc
"Parco S. Chiara",PM10,2016-12-07,22,47,µg/mc
"Parco S. Chiara",PM10,2016-12-07,23,36,µg/mc
"Parco S. Chiara",PM10,2016-12-07,24,33,µg/mc
"Parco S. Chiara",PM10,2016-12-08,1,32,µg/mc
"Parco S. Chiara",PM10,2016-12-08,2,31,µg/mc
"Parco S. Chiara",PM10,2016-12-08,3,27,µg/mc
"Parco S. Chiara",PM10,2016-12-08,4,25,µg/mc
"Parco S. Chiara",PM10,2016-12-08,5,22,µg/mc
"Parco S. Chiara",PM10,2016-12-08,6,21,µg/mc
"Parco S. Chiara",PM10,2016-12-08,7,20,µg/mc
"Parco S. Chiara",PM10,2016-12-08,8,19,µg/mc
"Parco S. Chiara",PM10,2016-12-08,9,21,µg/mc
"Parco S. Chiara",PM10,2016-12-08,10,22,µg/mc
"Parco S. Chiara",PM10,2016-12-08,11,23,µg/mc
"Parco S. Chiara",PM10,2016-12-08,12,17,µg/mc
"Parco S. Chiara",PM10,2016-12-08,13,15,µg/mc
"Parco S. Chiara",PM10,2016-12-08,14,15,µg/mc
"Parco S. Chiara",PM10,2016-12-08,15,17,µg/mc
"Parco S. Chiara",PM10,2016-12-08,16,18,µg/mc
"Parco S. Chiara",PM10,2016-12-08,17,25,µg/mc
"Parco S. Chiara",PM10,2016-12-08,18,31,µg/mc
