Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2015-06-14,1,29,µg/mc
"Parco S. Chiara",PM10,2015-06-14,2,30,µg/mc
"Parco S. Chiara",PM10,2015-06-14,3,27,µg/mc
"Parco S. Chiara",PM10,2015-06-14,4,24,µg/mc
"Parco S. Chiara",PM10,2015-06-14,5,22,µg/mc
"Parco S. Chiara",PM10,2015-06-14,6,21,µg/mc
"Parco S. Chiara",PM10,2015-06-14,7,20,µg/mc
"Parco S. Chiara",PM10,2015-06-14,8,19,µg/mc
"Parco S. Chiara",PM10,2015-06-14,9,19,µg/mc
"Parco S. Chiara",PM10,2015-06-14,10,22,µg/mc
"Parco S. Chiara",PM10,2015-06-14,11,24,µg/mc
"Parco S. Chiara",PM10,2015-06-14,12,20,µg/mc
"Parco S. Chiara",PM10,2015-06-14,13,21,µg/mc
"Parco S. Chiara",PM10,2015-06-14,14,20,µg/mc
"Parco S. Chiara",PM10,2015-06-14,15,16,µg/mc
"Parco S. Chiara",PM10,2015-06-14,16,20,µg/mc
"Parco S. Chiara",PM10,2015-06-14,17,22,µg/mc
"Parco S. Chiara",PM10,2015-06-14,18,24,µg/mc
"Parco S. Chiara",PM10,2015-06-14,19,18,µg/mc
"Parco S. Chiara",PM10,2015-06-14,20,17,µg/mc
"Parco S. Chiara",PM10,2015-06-14,21,18,µg/mc
"Parco S. Chiara",PM10,2015-06-14,22,19,µg/mc
"Parco S. Chiara",PM10,2015-06-14,23,17,µg/mc
"Parco S. Chiara",PM10,2015-06-14,24,19,µg/mc
"Parco S. Chiara",PM10,2015-06-15,1,20,µg/mc
"Parco S. Chiara",PM10,2015-06-15,2,20,µg/mc
"Parco S. Chiara",PM10,2015-06-15,3,22,µg/mc
"Parco S. Chiara",PM10,2015-06-15,4,20,µg/mc
"Parco S. Chiara",PM10,2015-06-15,5,19,µg/mc
"Parco S. Chiara",PM10,2015-06-15,6,18,µg/mc
"Parco S. Chiara",PM10,2015-06-15,7,19,µg/mc
"Parco S. Chiara",PM10,2015-06-15,8,18,µg/mc
"Parco S. Chiara",PM10,2015-06-15,9,18,µg/mc
"Parco S. Chiara",PM10,2015-06-15,10,12,µg/mc
"Parco S. Chiara",PM10,2015-06-15,11,12,µg/mc
"Parco S. Chiara",PM10,2015-06-15,12,13,µg/mc
"Parco S. Chiara",PM10,2015-06-15,13,11,µg/mc
"Parco S. Chiara",PM10,2015-06-15,14,12,µg/mc
"Parco S. Chiara",PM10,2015-06-15,15,14,µg/mc
"Parco S. Chiara",PM10,2015-06-15,16,18,µg/mc
"Parco S. Chiara",PM10,2015-06-15,17,18,µg/mc
"Parco S. Chiara",PM10,2015-06-15,18,18,µg/mc
"Parco S. Chiara",PM10,2015-06-15,19,17,µg/mc
"Parco S. Chiara",PM10,2015-06-15,20,16,µg/mc
"Parco S. Chiara",PM10,2015-06-15,21,17,µg/mc
"Parco S. Chiara",PM10,2015-06-15,22,17,µg/mc
"Parco S. Chiara",PM10,2015-06-15,23,16,µg/mc
"Parco S. Chiara",PM10,2015-06-15,24,15,µg/mc
"Parco S. Chiara",PM10,2015-06-16,1,14,µg/mc
"Parco S. Chiara",PM10,2015-06-16,2,15,µg/mc
"Parco S. Chiara",PM10,2015-06-16,3,15,µg/mc
"Parco S. Chiara",PM10,2015-06-16,4,15,µg/mc
"Parco S. Chiara",PM10,2015-06-16,5,14,µg/mc
"Parco S. Chiara",PM10,2015-06-16,6,11,µg/mc
"Parco S. Chiara",PM10,2015-06-16,7,11,µg/mc
"Parco S. Chiara",PM10,2015-06-16,8,9,µg/mc
"Parco S. Chiara",PM10,2015-06-16,9,6,µg/mc
"Parco S. Chiara",PM10,2015-06-16,10,5,µg/mc
"Parco S. Chiara",PM10,2015-06-16,11,4,µg/mc
"Parco S. Chiara",PM10,2015-06-16,12,4,µg/mc
"Parco S. Chiara",PM10,2015-06-16,13,3,µg/mc
"Parco S. Chiara",PM10,2015-06-16,14,3,µg/mc
"Parco S. Chiara",PM10,2015-06-16,15,2,µg/mc
"Parco S. Chiara",PM10,2015-06-16,16,3,µg/mc
"Parco S. Chiara",PM10,2015-06-16,17,6,µg/mc
"Parco S. Chiara",PM10,2015-06-16,18,6,µg/mc
"Parco S. Chiara",PM10,2015-06-16,19,8,µg/mc
"Parco S. Chiara",PM10,2015-06-16,20,8,µg/mc
"Parco S. Chiara",PM10,2015-06-16,21,9,µg/mc
"Parco S. Chiara",PM10,2015-06-16,22,10,µg/mc
"Parco S. Chiara",PM10,2015-06-16,23,11,µg/mc
"Parco S. Chiara",PM10,2015-06-16,24,10,µg/mc
"Parco S. Chiara",PM10,2015-06-17,1,10,µg/mc
"Parco S. Chiara",PM10,2015-06-17,2,10,µg/mc
"Parco S. Chiara",PM10,2015-06-17,3,10,µg/mc
"Parco S. Chiara",PM10,2015-06-17,4,11,µg/mc
"Parco S. Chiara",PM10,2015-06-17,5,11,µg/mc
"Parco S. Chiara",PM10,2015-06-17,6,11,µg/mc
"Parco S. Chiara",PM10,2015-06-17,7,10,µg/mc
"Parco S. Chiara",PM10,2015-06-17,8,9,µg/mc
"Parco S. Chiara",PM10,2015-06-17,9,10,µg/mc
"Parco S. Chiara",PM10,2015-06-17,10,8,µg/mc
"Parco S. Chiara",PM10,2015-06-17,11,6,µg/mc
"Parco S. Chiara",PM10,2015-06-17,12,4,µg/mc
"Parco S. Chiara",PM10,2015-06-17,13,3,µg/mc
"Parco S. Chiara",PM10,2015-06-17,14,5,µg/mc
"Parco S. Chiara",PM10,2015-06-17,15,4,µg/mc
"Parco S. Chiara",PM10,2015-06-17,16,5,µg/mc
"Parco S. Chiara",PM10,2015-06-17,17,7,µg/mc
"Parco S. Chiara",PM10,2015-06-17,18,10,µg/mc
"Parco S. Chiara",PM10,2015-06-17,19,14,µg/mc
"Parco S. Chiara",PM10,2015-06-17,20,18,µg/mc
"Parco S. Chiara",PM10,2015-06-17,21,21,µg/mc
"Parco S. Chiara",PM10,2015-06-17,22,25,µg/mc
"Parco S. Chiara",PM10,2015-06-17,23,23,µg/mc
"Parco S. Chiara",PM10,2015-06-17,24,22,µg/mc
"Parco S. Chiara",PM10,2015-06-18,1,22,µg/mc
"Parco S. Chiara",PM10,2015-06-18,2,22,µg/mc
"Parco S. Chiara",PM10,2015-06-18,3,23,µg/mc
"Parco S. Chiara",PM10,2015-06-18,4,23,µg/mc
"Parco S. Chiara",PM10,2015-06-18,5,20,µg/mc
"Parco S. Chiara",PM10,2015-06-18,6,19,µg/mc
"Parco S. Chiara",PM10,2015-06-18,7,18,µg/mc
"Parco S. Chiara",PM10,2015-06-18,8,18,µg/mc
"Parco S. Chiara",PM10,2015-06-18,9,16,µg/mc
"Parco S. Chiara",PM10,2015-06-18,10,13,µg/mc
"Parco S. Chiara",PM10,2015-06-18,11,13,µg/mc
"Parco S. Chiara",PM10,2015-06-18,12,11,µg/mc
"Parco S. Chiara",PM10,2015-06-18,13,14,µg/mc
"Parco S. Chiara",PM10,2015-06-18,14,14,µg/mc
"Parco S. Chiara",PM10,2015-06-18,15,13,µg/mc
"Parco S. Chiara",PM10,2015-06-18,16,13,µg/mc
"Parco S. Chiara",PM10,2015-06-18,17,14,µg/mc
"Parco S. Chiara",PM10,2015-06-18,18,20,µg/mc
"Parco S. Chiara",PM10,2015-06-18,19,25,µg/mc
"Parco S. Chiara",PM10,2015-06-18,20,31,µg/mc
"Parco S. Chiara",PM10,2015-06-18,21,38,µg/mc
"Parco S. Chiara",PM10,2015-06-18,22,34,µg/mc
"Parco S. Chiara",PM10,2015-06-18,23,33,µg/mc
"Parco S. Chiara",PM10,2015-06-18,24,33,µg/mc
"Parco S. Chiara",PM10,2015-06-19,1,32,µg/mc
"Parco S. Chiara",PM10,2015-06-19,2,30,µg/mc
"Parco S. Chiara",PM10,2015-06-19,3,28,µg/mc
"Parco S. Chiara",PM10,2015-06-19,4,32,µg/mc
"Parco S. Chiara",PM10,2015-06-19,5,30,µg/mc
"Parco S. Chiara",PM10,2015-06-19,6,28,µg/mc
"Parco S. Chiara",PM10,2015-06-19,7,28,µg/mc
"Parco S. Chiara",PM10,2015-06-19,8,30,µg/mc
"Parco S. Chiara",PM10,2015-06-19,9,24,µg/mc
"Parco S. Chiara",PM10,2015-06-19,10,20,µg/mc
"Parco S. Chiara",PM10,2015-06-19,11,15,µg/mc
"Parco S. Chiara",PM10,2015-06-19,12,8,µg/mc
"Parco S. Chiara",PM10,2015-06-19,13,7,µg/mc
"Parco S. Chiara",PM10,2015-06-19,14,8,µg/mc
"Parco S. Chiara",PM10,2015-06-19,15,12,µg/mc
"Parco S. Chiara",PM10,2015-06-19,16,15,µg/mc
"Parco S. Chiara",PM10,2015-06-19,17,17,µg/mc
"Parco S. Chiara",PM10,2015-06-19,18,21,µg/mc
"Parco S. Chiara",PM10,2015-06-19,19,33,µg/mc
"Parco S. Chiara",PM10,2015-06-19,20,35,µg/mc
"Parco S. Chiara",PM10,2015-06-19,21,33,µg/mc
"Parco S. Chiara",PM10,2015-06-19,22,29,µg/mc
"Parco S. Chiara",PM10,2015-06-19,23,26,µg/mc
"Parco S. Chiara",PM10,2015-06-19,24,19,µg/mc
"Parco S. Chiara",PM10,2015-06-20,1,13,µg/mc
"Parco S. Chiara",PM10,2015-06-20,2,11,µg/mc
"Parco S. Chiara",PM10,2015-06-20,3,13,µg/mc
"Parco S. Chiara",PM10,2015-06-20,4,14,µg/mc
"Parco S. Chiara",PM10,2015-06-20,5,13,µg/mc
"Parco S. Chiara",PM10,2015-06-20,6,14,µg/mc
"Parco S. Chiara",PM10,2015-06-20,7,13,µg/mc
"Parco S. Chiara",PM10,2015-06-20,8,12,µg/mc
"Parco S. Chiara",PM10,2015-06-20,9,12,µg/mc
"Parco S. Chiara",PM10,2015-06-20,10,11,µg/mc
