Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2022-01-08,1,19,µg/mc
"Parco S. Chiara",PM10,2022-01-08,2,19,µg/mc
"Parco S. Chiara",PM10,2022-01-08,3,18,µg/mc
"Parco S. Chiara",PM10,2022-01-08,4,18,µg/mc
"Parco S. Chiara",PM10,2022-01-08,5,17,µg/mc
"Parco S. Chiara",PM10,2022-01-08,6,15,µg/mc
"Parco S. Chiara",PM10,2022-01-08,7,15,µg/mc
"Parco S. Chiara",PM10,2022-01-08,8,15,µg/mc
"Parco S. Chiara",PM10,2022-01-08,9,16,µg/mc
"Parco S. Chiara",PM10,2022-01-08,10,16,µg/mc
"Parco S. Chiara",PM10,2022-01-08,11,17,µg/mc
"Parco S. Chiara",PM10,2022-01-08,12,14,µg/mc
"Parco S. Chiara",PM10,2022-01-08,13,11,µg/mc
"Parco S. Chiara",PM10,2022-01-08,14,10,µg/mc
"Parco S. Chiara",PM10,2022-01-08,15,11,µg/mc
"Parco S. Chiara",PM10,2022-01-08,16,12,µg/mc
"Parco S. Chiara",PM10,2022-01-08,17,16,µg/mc
"Parco S. Chiara",PM10,2022-01-08,18,21,µg/mc
"Parco S. Chiara",PM10,2022-01-08,19,24,µg/mc
"Parco S. Chiara",PM10,2022-01-08,20,28,µg/mc
"Parco S. Chiara",PM10,2022-01-08,21,25,µg/mc
"Parco S. Chiara",PM10,2022-01-08,22,27,µg/mc
"Parco S. Chiara",PM10,2022-01-08,23,27,µg/mc
"Parco S. Chiara",PM10,2022-01-08,24,27,µg/mc
"Parco S. Chiara",PM10,2022-01-09,1,23,µg/mc
"Parco S. Chiara",PM10,2022-01-09,2,26,µg/mc
"Parco S. Chiara",PM10,2022-01-09,3,25,µg/mc
"Parco S. Chiara",PM10,2022-01-09,4,24,µg/mc
"Parco S. Chiara",PM10,2022-01-09,5,23,µg/mc
"Parco S. Chiara",PM10,2022-01-09,6,21,µg/mc
"Parco S. Chiara",PM10,2022-01-09,7,19,µg/mc
"Parco S. Chiara",PM10,2022-01-09,8,16,µg/mc
"Parco S. Chiara",PM10,2022-01-09,9,16,µg/mc
"Parco S. Chiara",PM10,2022-01-09,10,16,µg/mc
"Parco S. Chiara",PM10,2022-01-09,11,14,µg/mc
"Parco S. Chiara",PM10,2022-01-09,12,15,µg/mc
"Parco S. Chiara",PM10,2022-01-09,13,14,µg/mc
"Parco S. Chiara",PM10,2022-01-09,14,12,µg/mc
"Parco S. Chiara",PM10,2022-01-09,15,13,µg/mc
"Parco S. Chiara",PM10,2022-01-09,16,14,µg/mc
"Parco S. Chiara",PM10,2022-01-09,17,15,µg/mc
"Parco S. Chiara",PM10,2022-01-09,18,18,µg/mc
"Parco S. Chiara",PM10,2022-01-09,19,21,µg/mc
"Parco S. Chiara",PM10,2022-01-09,20,23,µg/mc
"Parco S. Chiara",PM10,2022-01-09,21,25,µg/mc
"Parco S. Chiara",PM10,2022-01-09,22,27,µg/mc
"Parco S. Chiara",PM10,2022-01-09,23,28,µg/mc
"Parco S. Chiara",PM10,2022-01-09,24,27,µg/mc
"Parco S. Chiara",PM10,2022-01-10,1,27,µg/mc
"Parco S. Chiara",PM10,2022-01-10,2,26,µg/mc
"Parco S. Chiara",PM10,2022-01-10,3,21,µg/mc
"Parco S. Chiara",PM10,2022-01-10,4,21,µg/mc
"Parco S. Chiara",PM10,2022-01-10,5,22,µg/mc
"Parco S. Chiara",PM10,2022-01-10,6,22,µg/mc
"Parco S. Chiara",PM10,2022-01-10,7,16,µg/mc
"Parco S. Chiara",PM10,2022-01-10,8,13,µg/mc
"Parco S. Chiara",PM10,2022-01-10,9,12,µg/mc
"Parco S. Chiara",PM10,2022-01-10,10,14,µg/mc
"Parco S. Chiara",PM10,2022-01-10,11,13,µg/mc
"Parco S. Chiara",PM10,2022-01-10,12,11,µg/mc
"Parco S. Chiara",PM10,2022-01-10,13,9,µg/mc
"Parco S. Chiara",PM10,2022-01-10,14,11,µg/mc
"Parco S. Chiara",PM10,2022-01-10,15,10,µg/mc
"Parco S. Chiara",PM10,2022-01-10,16,15,µg/mc
"Parco S. Chiara",PM10,2022-01-10,17,23,µg/mc
"Parco S. Chiara",PM10,2022-01-10,18,16,µg/mc
"Parco S. Chiara",PM10,2022-01-10,19,12,µg/mc
"Parco S. Chiara",PM10,2022-01-10,20,11,µg/mc
"Parco S. Chiara",PM10,2022-01-10,21,10,µg/mc
"Parco S. Chiara",PM10,2022-01-10,22,10,µg/mc
"Parco S. Chiara",PM10,2022-01-10,23,10,µg/mc
"Parco S. Chiara",PM10,2022-01-10,24,9,µg/mc
"Parco S. Chiara",PM10,2022-01-11,1,9,µg/mc
"Parco S. Chiara",PM10,2022-01-11,2,9,µg/mc
"Parco S. Chiara",PM10,2022-01-11,3,9,µg/mc
"Parco S. Chiara",PM10,2022-01-11,4,8,µg/mc
"Parco S. Chiara",PM10,2022-01-11,5,7,µg/mc
"Parco S. Chiara",PM10,2022-01-11,6,7,µg/mc
"Parco S. Chiara",PM10,2022-01-11,7,6,µg/mc
"Parco S. Chiara",PM10,2022-01-11,8,7,µg/mc
"Parco S. Chiara",PM10,2022-01-11,9,7,µg/mc
"Parco S. Chiara",PM10,2022-01-11,10,8,µg/mc
"Parco S. Chiara",PM10,2022-01-11,11,7,µg/mc
"Parco S. Chiara",PM10,2022-01-11,12,8,µg/mc
"Parco S. Chiara",PM10,2022-01-11,13,6,µg/mc
"Parco S. Chiara",PM10,2022-01-11,14,10,µg/mc
"Parco S. Chiara",PM10,2022-01-11,15,10,µg/mc
"Parco S. Chiara",PM10,2022-01-11,16,15,µg/mc
"Parco S. Chiara",PM10,2022-01-11,17,16,µg/mc
"Parco S. Chiara",PM10,2022-01-11,18,16,µg/mc
"Parco S. Chiara",PM10,2022-01-11,19,20,µg/mc
"Parco S. Chiara",PM10,2022-01-11,20,23,µg/mc
"Parco S. Chiara",PM10,2022-01-11,21,25,µg/mc
"Parco S. Chiara",PM10,2022-01-11,22,25,µg/mc
"Parco S. Chiara",PM10,2022-01-11,23,23,µg/mc
"Parco S. Chiara",PM10,2022-01-11,24,22,µg/mc
"Parco S. Chiara",PM10,2022-01-12,1,22,µg/mc
"Parco S. Chiara",PM10,2022-01-12,2,19,µg/mc
"Parco S. Chiara",PM10,2022-01-12,3,19,µg/mc
"Parco S. Chiara",PM10,2022-01-12,4,18,µg/mc
"Parco S. Chiara",PM10,2022-01-12,5,15,µg/mc
"Parco S. Chiara",PM10,2022-01-12,6,14,µg/mc
"Parco S. Chiara",PM10,2022-01-12,7,12,µg/mc
"Parco S. Chiara",PM10,2022-01-12,8,14,µg/mc
"Parco S. Chiara",PM10,2022-01-12,9,15,µg/mc
"Parco S. Chiara",PM10,2022-01-12,10,18,µg/mc
"Parco S. Chiara",PM10,2022-01-12,11,15,µg/mc
"Parco S. Chiara",PM10,2022-01-12,12,29,µg/mc
"Parco S. Chiara",PM10,2022-01-12,13,13,µg/mc
"Parco S. Chiara",PM10,2022-01-12,14,14,µg/mc
"Parco S. Chiara",PM10,2022-01-12,15,32,µg/mc
"Parco S. Chiara",PM10,2022-01-12,16,28,µg/mc
"Parco S. Chiara",PM10,2022-01-12,17,27,µg/mc
"Parco S. Chiara",PM10,2022-01-12,18,35,µg/mc
"Parco S. Chiara",PM10,2022-01-12,19,34,µg/mc
"Parco S. Chiara",PM10,2022-01-12,20,32,µg/mc
"Parco S. Chiara",PM10,2022-01-12,21,32,µg/mc
"Parco S. Chiara",PM10,2022-01-12,22,36,µg/mc
"Parco S. Chiara",PM10,2022-01-12,23,34,µg/mc
"Parco S. Chiara",PM10,2022-01-12,24,31,µg/mc
"Parco S. Chiara",PM10,2022-01-13,1,30,µg/mc
"Parco S. Chiara",PM10,2022-01-13,2,28,µg/mc
"Parco S. Chiara",PM10,2022-01-13,3,27,µg/mc
"Parco S. Chiara",PM10,2022-01-13,4,25,µg/mc
"Parco S. Chiara",PM10,2022-01-13,5,24,µg/mc
"Parco S. Chiara",PM10,2022-01-13,6,24,µg/mc
"Parco S. Chiara",PM10,2022-01-13,7,23,µg/mc
"Parco S. Chiara",PM10,2022-01-13,8,34,µg/mc
"Parco S. Chiara",PM10,2022-01-13,9,28,µg/mc
"Parco S. Chiara",PM10,2022-01-13,10,33,µg/mc
