Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2012-03-01,1,14,µg/mc
"Parco S. Chiara",PM10,2012-03-01,2,17,µg/mc
"Parco S. Chiara",PM10,2012-03-01,3,16,µg/mc
"Parco S. Chiara",PM10,2012-03-01,4,11,µg/mc
"Parco S. Chiara",PM10,2012-03-01,5,10,µg/mc
"Parco S. Chiara",PM10,2012-03-01,6,10,µg/mc
"Parco S. Chiara",PM10,2012-03-01,7,13,µg/mc
"Parco S. Chiara",PM10,2012-03-01,8,18,µg/mc
"Parco S. Chiara",PM10,2012-03-01,9,29,µg/mc
"Parco S. Chiara",PM10,2012-03-01,10,19,µg/mc
"Parco S. Chiara",PM10,2012-03-01,11,13,µg/mc
"Parco S. Chiara",PM10,2012-03-01,12,8,µg/mc
"Parco S. Chiara",PM10,2012-03-01,13,6,µg/mc
"Parco S. Chiara",PM10,2012-03-01,14,7,µg/mc
"Parco S. Chiara",PM10,2012-03-01,15,10,µg/mc
"Parco S. Chiara",PM10,2012-03-01,16,36,µg/mc
"Parco S. Chiara",PM10,2012-03-01,17,69,µg/mc
"Parco S. Chiara",PM10,2012-03-01,18,82,µg/mc
"Parco S. Chiara",PM10,2012-03-01,19,77,µg/mc
"Parco S. Chiara",PM10,2012-03-01,20,66,µg/mc
"Parco S. Chiara",PM10,2012-03-01,21,55,µg/mc
"Parco S. Chiara",PM10,2012-03-01,22,52,µg/mc
"Parco S. Chiara",PM10,2012-03-01,23,50,µg/mc
"Parco S. Chiara",PM10,2012-03-01,24,49,µg/mc
"Parco S. Chiara",PM10,2012-03-02,1,46,µg/mc
"Parco S. Chiara",PM10,2012-03-02,2,43,µg/mc
"Parco S. Chiara",PM10,2012-03-02,3,37,µg/mc
"Parco S. Chiara",PM10,2012-03-02,4,29,µg/mc
"Parco S. Chiara",PM10,2012-03-02,5,26,µg/mc
"Parco S. Chiara",PM10,2012-03-02,6,24,µg/mc
"Parco S. Chiara",PM10,2012-03-02,7,21,µg/mc
"Parco S. Chiara",PM10,2012-03-02,8,20,µg/mc
"Parco S. Chiara",PM10,2012-03-02,9,20,µg/mc
"Parco S. Chiara",PM10,2012-03-02,10,14,µg/mc
"Parco S. Chiara",PM10,2012-03-02,11,11,µg/mc
"Parco S. Chiara",PM10,2012-03-02,12,8,µg/mc
"Parco S. Chiara",PM10,2012-03-02,13,6,µg/mc
"Parco S. Chiara",PM10,2012-03-02,14,6,µg/mc
"Parco S. Chiara",PM10,2012-03-02,15,5,µg/mc
"Parco S. Chiara",PM10,2012-03-02,16,11,µg/mc
"Parco S. Chiara",PM10,2012-03-02,17,49,µg/mc
"Parco S. Chiara",PM10,2012-03-02,18,95,µg/mc
"Parco S. Chiara",PM10,2012-03-02,19,104,µg/mc
"Parco S. Chiara",PM10,2012-03-02,20,105,µg/mc
"Parco S. Chiara",PM10,2012-03-02,21,85,µg/mc
"Parco S. Chiara",PM10,2012-03-02,22,75,µg/mc
"Parco S. Chiara",PM10,2012-03-02,23,72,µg/mc
"Parco S. Chiara",PM10,2012-03-02,24,68,µg/mc
"Parco S. Chiara",PM10,2012-03-03,1,66,µg/mc
"Parco S. Chiara",PM10,2012-03-03,2,78,µg/mc
"Parco S. Chiara",PM10,2012-03-03,3,71,µg/mc
"Parco S. Chiara",PM10,2012-03-03,4,63,µg/mc
"Parco S. Chiara",PM10,2012-03-03,5,50,µg/mc
"Parco S. Chiara",PM10,2012-03-03,6,47,µg/mc
"Parco S. Chiara",PM10,2012-03-03,7,45,µg/mc
