Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2020-09-15,1,29,µg/mc
"Parco S. Chiara",PM10,2020-09-15,2,28,µg/mc
"Parco S. Chiara",PM10,2020-09-15,3,28,µg/mc
"Parco S. Chiara",PM10,2020-09-15,4,28,µg/mc
"Parco S. Chiara",PM10,2020-09-15,5,27,µg/mc
"Parco S. Chiara",PM10,2020-09-15,6,27,µg/mc
"Parco S. Chiara",PM10,2020-09-15,7,27,µg/mc
"Parco S. Chiara",PM10,2020-09-15,8,27,µg/mc
"Parco S. Chiara",PM10,2020-09-15,9,27,µg/mc
"Parco S. Chiara",PM10,2020-09-15,10,25,µg/mc
"Parco S. Chiara",PM10,2020-09-15,11,23,µg/mc
"Parco S. Chiara",PM10,2020-09-15,12,20,µg/mc
"Parco S. Chiara",PM10,2020-09-15,13,18,µg/mc
"Parco S. Chiara",PM10,2020-09-15,14,17,µg/mc
"Parco S. Chiara",PM10,2020-09-15,15,16,µg/mc
"Parco S. Chiara",PM10,2020-09-15,16,15,µg/mc
"Parco S. Chiara",PM10,2020-09-15,17,18,µg/mc
"Parco S. Chiara",PM10,2020-09-15,18,24,µg/mc
"Parco S. Chiara",PM10,2020-09-15,19,27,µg/mc
"Parco S. Chiara",PM10,2020-09-15,20,29,µg/mc
"Parco S. Chiara",PM10,2020-09-15,21,29,µg/mc
"Parco S. Chiara",PM10,2020-09-15,22,28,µg/mc
"Parco S. Chiara",PM10,2020-09-15,23,26,µg/mc
"Parco S. Chiara",PM10,2020-09-15,24,26,µg/mc
"Parco S. Chiara",PM10,2020-09-16,1,24,µg/mc
"Parco S. Chiara",PM10,2020-09-16,2,25,µg/mc
"Parco S. Chiara",PM10,2020-09-16,3,25,µg/mc
"Parco S. Chiara",PM10,2020-09-16,4,26,µg/mc
"Parco S. Chiara",PM10,2020-09-16,5,25,µg/mc
"Parco S. Chiara",PM10,2020-09-16,6,24,µg/mc
"Parco S. Chiara",PM10,2020-09-16,7,25,µg/mc
"Parco S. Chiara",PM10,2020-09-16,8,25,µg/mc
"Parco S. Chiara",PM10,2020-09-16,9,26,µg/mc
"Parco S. Chiara",PM10,2020-09-16,10,23,µg/mc
"Parco S. Chiara",PM10,2020-09-16,11,20,µg/mc
"Parco S. Chiara",PM10,2020-09-16,12,19,µg/mc
"Parco S. Chiara",PM10,2020-09-16,13,17,µg/mc
"Parco S. Chiara",PM10,2020-09-16,14,17,µg/mc
"Parco S. Chiara",PM10,2020-09-16,15,20,µg/mc
"Parco S. Chiara",PM10,2020-09-16,16,20,µg/mc
"Parco S. Chiara",PM10,2020-09-16,17,22,µg/mc
"Parco S. Chiara",PM10,2020-09-16,18,29,µg/mc
"Parco S. Chiara",PM10,2020-09-16,19,34,µg/mc
"Parco S. Chiara",PM10,2020-09-16,20,35,µg/mc
"Parco S. Chiara",PM10,2020-09-16,21,30,µg/mc
"Parco S. Chiara",PM10,2020-09-16,22,23,µg/mc
"Parco S. Chiara",PM10,2020-09-16,23,21,µg/mc
"Parco S. Chiara",PM10,2020-09-16,24,20,µg/mc
"Parco S. Chiara",PM10,2020-09-17,1,20,µg/mc
"Parco S. Chiara",PM10,2020-09-17,2,19,µg/mc
"Parco S. Chiara",PM10,2020-09-17,3,17,µg/mc
"Parco S. Chiara",PM10,2020-09-17,4,17,µg/mc
"Parco S. Chiara",PM10,2020-09-17,5,17,µg/mc
"Parco S. Chiara",PM10,2020-09-17,6,16,µg/mc
"Parco S. Chiara",PM10,2020-09-17,7,17,µg/mc
"Parco S. Chiara",PM10,2020-09-17,8,16,µg/mc
"Parco S. Chiara",PM10,2020-09-17,9,16,µg/mc
"Parco S. Chiara",PM10,2020-09-17,10,15,µg/mc
"Parco S. Chiara",PM10,2020-09-17,11,14,µg/mc
"Parco S. Chiara",PM10,2020-09-17,12,12,µg/mc
"Parco S. Chiara",PM10,2020-09-17,13,12,µg/mc
"Parco S. Chiara",PM10,2020-09-17,14,13,µg/mc
"Parco S. Chiara",PM10,2020-09-17,15,11,µg/mc
"Parco S. Chiara",PM10,2020-09-17,16,10,µg/mc
"Parco S. Chiara",PM10,2020-09-17,17,9,µg/mc
"Parco S. Chiara",PM10,2020-09-17,18,13,µg/mc
"Parco S. Chiara",PM10,2020-09-17,19,16,µg/mc
"Parco S. Chiara",PM10,2020-09-17,20,18,µg/mc
"Parco S. Chiara",PM10,2020-09-17,21,18,µg/mc
"Parco S. Chiara",PM10,2020-09-17,22,17,µg/mc
"Parco S. Chiara",PM10,2020-09-17,23,15,µg/mc
"Parco S. Chiara",PM10,2020-09-17,24,15,µg/mc
"Parco S. Chiara",PM10,2020-09-18,1,14,µg/mc
"Parco S. Chiara",PM10,2020-09-18,2,14,µg/mc
"Parco S. Chiara",PM10,2020-09-18,3,15,µg/mc
"Parco S. Chiara",PM10,2020-09-18,4,15,µg/mc
"Parco S. Chiara",PM10,2020-09-18,5,14,µg/mc
"Parco S. Chiara",PM10,2020-09-18,6,14,µg/mc
"Parco S. Chiara",PM10,2020-09-18,7,16,µg/mc
"Parco S. Chiara",PM10,2020-09-18,8,16,µg/mc
"Parco S. Chiara",PM10,2020-09-18,9,16,µg/mc
"Parco S. Chiara",PM10,2020-09-18,10,14,µg/mc
"Parco S. Chiara",PM10,2020-09-18,11,12,µg/mc
"Parco S. Chiara",PM10,2020-09-18,12,11,µg/mc
"Parco S. Chiara",PM10,2020-09-18,13,11,µg/mc
"Parco S. Chiara",PM10,2020-09-18,14,13,µg/mc
"Parco S. Chiara",PM10,2020-09-18,15,16,µg/mc
"Parco S. Chiara",PM10,2020-09-18,16,17,µg/mc
"Parco S. Chiara",PM10,2020-09-18,17,21,µg/mc
"Parco S. Chiara",PM10,2020-09-18,18,23,µg/mc
"Parco S. Chiara",PM10,2020-09-18,19,25,µg/mc
"Parco S. Chiara",PM10,2020-09-18,20,26,µg/mc
"Parco S. Chiara",PM10,2020-09-18,21,26,µg/mc
"Parco S. Chiara",PM10,2020-09-18,22,26,µg/mc
"Parco S. Chiara",PM10,2020-09-18,23,26,µg/mc
"Parco S. Chiara",PM10,2020-09-18,24,27,µg/mc
"Parco S. Chiara",PM10,2020-09-19,1,26,µg/mc
"Parco S. Chiara",PM10,2020-09-19,2,26,µg/mc
"Parco S. Chiara",PM10,2020-09-19,3,25,µg/mc
"Parco S. Chiara",PM10,2020-09-19,4,24,µg/mc
"Parco S. Chiara",PM10,2020-09-19,5,24,µg/mc
"Parco S. Chiara",PM10,2020-09-19,6,25,µg/mc
"Parco S. Chiara",PM10,2020-09-19,7,24,µg/mc
"Parco S. Chiara",PM10,2020-09-19,8,25,µg/mc
"Parco S. Chiara",PM10,2020-09-19,9,25,µg/mc
"Parco S. Chiara",PM10,2020-09-19,10,22,µg/mc
"Parco S. Chiara",PM10,2020-09-19,11,19,µg/mc
"Parco S. Chiara",PM10,2020-09-19,12,19,µg/mc
"Parco S. Chiara",PM10,2020-09-19,13,18,µg/mc
"Parco S. Chiara",PM10,2020-09-19,14,19,µg/mc
"Parco S. Chiara",PM10,2020-09-19,15,21,µg/mc
"Parco S. Chiara",PM10,2020-09-19,16,22,µg/mc
"Parco S. Chiara",PM10,2020-09-19,17,21,µg/mc
"Parco S. Chiara",PM10,2020-09-19,18,22,µg/mc
"Parco S. Chiara",PM10,2020-09-19,19,22,µg/mc
"Parco S. Chiara",PM10,2020-09-19,20,22,µg/mc
"Parco S. Chiara",PM10,2020-09-19,21,23,µg/mc
"Parco S. Chiara",PM10,2020-09-19,22,23,µg/mc
"Parco S. Chiara",PM10,2020-09-19,23,23,µg/mc
"Parco S. Chiara",PM10,2020-09-19,24,23,µg/mc
"Parco S. Chiara",PM10,2020-09-20,1,23,µg/mc
"Parco S. Chiara",PM10,2020-09-20,2,24,µg/mc
"Parco S. Chiara",PM10,2020-09-20,3,24,µg/mc
"Parco S. Chiara",PM10,2020-09-20,4,24,µg/mc
"Parco S. Chiara",PM10,2020-09-20,5,24,µg/mc
"Parco S. Chiara",PM10,2020-09-20,6,23,µg/mc
"Parco S. Chiara",PM10,2020-09-20,7,23,µg/mc
"Parco S. Chiara",PM10,2020-09-20,8,23,µg/mc
"Parco S. Chiara",PM10,2020-09-20,9,21,µg/mc
"Parco S. Chiara",PM10,2020-09-20,10,19,µg/mc
"Parco S. Chiara",PM10,2020-09-20,11,17,µg/mc
"Parco S. Chiara",PM10,2020-09-20,12,17,µg/mc
"Parco S. Chiara",PM10,2020-09-20,13,17,µg/mc
"Parco S. Chiara",PM10,2020-09-20,14,17,µg/mc
"Parco S. Chiara",PM10,2020-09-20,15,18,µg/mc
"Parco S. Chiara",PM10,2020-09-20,16,20,µg/mc
"Parco S. Chiara",PM10,2020-09-20,17,22,µg/mc
"Parco S. Chiara",PM10,2020-09-20,18,25,µg/mc
"Parco S. Chiara",PM10,2020-09-20,19,28,µg/mc
"Parco S. Chiara",PM10,2020-09-20,20,27,µg/mc
"Parco S. Chiara",PM10,2020-09-20,21,26,µg/mc
"Parco S. Chiara",PM10,2020-09-20,22,26,µg/mc
"Parco S. Chiara",PM10,2020-09-20,23,26,µg/mc
"Parco S. Chiara",PM10,2020-09-20,24,26,µg/mc
"Parco S. Chiara",PM10,2020-09-21,1,27,µg/mc
"Parco S. Chiara",PM10,2020-09-21,2,28,µg/mc
"Parco S. Chiara",PM10,2020-09-21,3,28,µg/mc
"Parco S. Chiara",PM10,2020-09-21,4,28,µg/mc
"Parco S. Chiara",PM10,2020-09-21,5,26,µg/mc
"Parco S. Chiara",PM10,2020-09-21,6,26,µg/mc
"Parco S. Chiara",PM10,2020-09-21,7,28,µg/mc
"Parco S. Chiara",PM10,2020-09-21,8,25,µg/mc
"Parco S. Chiara",PM10,2020-09-21,9,23,µg/mc
"Parco S. Chiara",PM10,2020-09-21,10,24,µg/mc
